# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.6381378E-01   -0.0000000E+00    3.1915382E+01
 0.0100   -1.6283349E-01   -2.0462260E-04    3.1756408E+01
 0.0200   -1.6159533E-01   -8.1226671E-04    3.1284228E+01
 0.0300   -1.6004773E-01   -1.8100972E-03    3.0512835E+01
 0.0400   -1.5813615E-01   -3.1795160E-03    2.9464791E+01
 0.0500   -1.5580105E-01   -4.8946344E-03    2.8170121E+01
 0.0600   -1.5297674E-01   -6.9205048E-03    2.6664889E+01
 0.0700   -1.4959694E-01   -9.2114638E-03    2.4989526E+01
 0.0800   -1.4560818E-01   -1.1710504E-02    2.3187035E+01
 0.0900   -1.4098339E-01   -1.4350361E-02    2.1301170E+01
 0.1000   -1.3572599E-01   -1.7055831E-02    1.9374714E+01
 0.1100   -1.2986237E-01   -1.9745974E-02    1.7447920E+01
 0.1200   -1.2342897E-01   -2.2335180E-02    1.5557220E+01
 0.1300   -1.1646173E-01   -2.4733171E-02    1.3734221E+01
 0.1400   -1.0899136E-01   -2.6844665E-02    1.2005042E+01
 0.1500   -1.0104381E-01   -2.8569463E-02    1.0389977E+01
 0.1600   -9.2643210E-02   -2.9803236E-02    8.9034700E+00
 0.1700   -8.3814599E-02   -3.0438790E-02    7.5543650E+00
 0.1800   -7.4584635E-02   -3.0367164E-02    6.3463798E+00
 0.1900   -6.4980197E-02   -2.9478005E-02    5.2787432E+00
 0.2000   -5.5026330E-02   -2.7659251E-02    4.3469366E+00
 0.2100   -4.4745436E-02   -2.4796889E-02    3.5434846E+00
 0.2200   -3.4158393E-02   -2.0775556E-02    2.8587430E+00
 0.2300   -2.3286642E-02   -1.5480052E-02    2.2816431E+00
 0.2400   -1.2153722E-02   -8.7971432E-03    1.8003596E+00
 0.2500   -7.8554878E-04   -6.1696857E-04    1.4028810E+00
 0.2600    1.0790239E-02    9.1661641E-03    1.0774714E+00
 0.2700    2.2545216E-02    2.0653412E-02    8.1302137E-01
 0.2800    3.4450963E-02    3.3941208E-02    5.9929492E-01
 0.2900    4.6479543E-02    4.9121058E-02    4.2708154E-01
 0.3000    5.8603636E-02    6.6279150E-02    2.8826872E-01
 0.3100    7.0796369E-02    8.5495692E-02    1.7584983E-01
 0.3200    8.3031052E-02    1.0684405E-01    8.3883002E-02
 0.3300    9.5280998E-02    1.3038993E-01    7.4155885E-03
 0.3400    1.0751954E-01    1.5619067E-01   -5.7613138E-02
 0.3500    1.1972021E-01    1.8429494E-01   -1.1448033E-01
 0.3600    1.3185699E-01    2.1474252E-01   -1.6579036E-01
 0.3700    1.4390454E-01    2.4756418E-01   -2.1358176E-01
 0.3800    1.5583823E-01    2.8278155E-01   -2.5942580E-01
 0.3900    1.6763416E-01    3.2040671E-01   -3.0451428E-01
 0.4000    1.7926898E-01    3.6044168E-01   -3.4973526E-01
 0.4100    1.9071990E-01    4.0287803E-01   -3.9573709E-01
 0.4200    2.0196474E-01    4.4769682E-01   -4.4298137E-01
 0.4300    2.1298224E-01    4.9486891E-01   -4.9178610E-01
 0.4400    2.2375220E-01    5.4435541E-01   -5.4236001E-01
 0.4500    2.3425565E-01    5.9610801E-01   -5.9482931E-01
 0.4600    2.4447479E-01    6.5006922E-01   -6.4925795E-01
