# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -3.2307773E-01   -0.0000000E+00    3.9894228E+01
 0.0100   -3.2078520E-01   -4.0311058E-04    3.9695658E+01
 0.0200   -3.1789024E-01   -1.5978906E-03    3.9105867E+01
 0.0300   -3.1427313E-01   -3.5543454E-03    3.8142336E+01
 0.0400   -3.0980791E-01   -6.2290577E-03    3.6833243E+01
 0.0500   -3.0435802E-01   -9.5616891E-03    3.5216094E+01
 0.0600   -2.9777368E-01   -1.3470964E-02    3.3335931E+01
 0.0700   -2.8990488E-01   -1.7850955E-02    3.1243244E+01
 0.0800   -2.8063245E-01   -2.2569801E-02    2.8991725E+01
 0.0900   -2.6989971E-01   -2.7472445E-02    2.6635997E+01
 0.1000   -2.5772188E-01   -3.2386287E-02    2.4229459E+01
 0.1100   -2.4416844E-01   -3.7126565E-02    2.1822344E+01
 0.1200   -2.2933303E-01   -4.1499128E-02    1.9460105E+01
 0.1300   -2.1330872E-01   -4.5300727E-02    1.7182160E+01
 0.1400   -1.9617695E-01   -4.8318553E-02    1.5021065E+01
 0.1500   -1.7800839E-01   -5.0330686E-02    1.3002090E+01
 0.1600   -1.5886930E-01   -5.1108108E-02    1.1143192E+01
 0.1700   -1.3882761E-01   -5.0417762E-02    9.4553255E+00
 0.1800   -1.1795473E-01   -4.8025317E-02    7.9430411E+00
 0.1900   -9.6322840E-02   -4.3696469E-02    6.6052779E+00
 0.2000   -7.4000781E-02   -3.7196849E-02    5.4362935E+00
 0.2100   -5.1052319E-02   -2.8292018E-02    4.4266516E+00
 0.2200   -2.7538269E-02   -1.6749115E-02    3.5642084E+00
 0.2300   -3.5205177E-03   -2.3403029E-03    2.8350441E+00
 0.2400    2.0935089E-02    1.5153298E-02    2.2242997E+00
 0.2500    4.5758413E-02    3.5938574E-02    1.7168915E+00
 0.2600    7.0876531E-02    6.0208667E-02    1.2980883E+00
 0.2700    9.6215601E-02    8.8141998E-02    9.5395148E-01
 0.2800    1.2170221E-01    1.1990144E-01    6.7164372E-01
 0.2900    1.4726408E-01    1.5563335E-01    4.3961989E-01
 0.3000    1.7283033E-01    1.9546650E-01    2.4771834E-01
 0.3100    1.9833159E-01    2.3951083E-01    8.7171078E-02
 0.3200    2.2369995E-01    2.8785628E-01   -4.9447460E-02
 0.3300    2.4886896E-01    3.4057164E-01   -1.6831474E-01
 0.3400    2.7377363E-01    3.9770341E-01   -2.7448150E-01
 0.3500    2.9835062E-01    4.5927510E-01   -3.7200683E-01
 0.3600    3.2253866E-01    5.2528698E-01   -4.6409679E-01
 0.3700    3.4627909E-01    5.9571643E-01   -5.5323841E-01
 0.3800    3.6951620E-01    6.7051815E-01   -6.4132345E-01
 0.3900    3.9219696E-01    7.4962368E-01   -7.2975813E-01
 0.4000    4.1427062E-01    8.3294051E-01   -8.1955749E-01
 0.4100    4.3568852E-01    9.2035144E-01   -9.1142528E-01
 0.4200    4.5640442E-01    1.0117152E+00   -1.0058209E+00
 0.4300    4.7637526E-01    1.1068684E+00   -1.1030149E+00
 0.4400    4.9556189E-01    1.2056274E+00   -1.2031332E+00
 0.4500    5.1392929E-01    1.3077908E+00   -1.3061924E+00
 0.4600    5.3144646E-01    1.4131395E+00   -1.4121254E+00
 0.4700    5.4808601E-01    1.5214381E+00   -1.5208011E+00
 0.4800    5.6382375E-01    1.6324343E+00   -1.6320381E+00
 0.4900    5.7863829E-01    1.7458591E+00   -1.7456152E+00
 0.5000    5.9251096E-01    1.8614281E+00   -1.8612794E+00
 0.5100    6.0542614E-01    1.9788432E+00   -1.9787535E+00
 0.5200    6.1737197E-01    2.0977970E+00   -2.0977434E+00
 0.5300    6.2834079E-01    2.2179761E+00   -2.2179443E+00
 0.5400    6.3832883E-01    2.3390626E+00   -2.3390440E+00
 0.5500    6.4733544E-01    2.4607338E+00   -2.4607230E+00
 0.5600    6.5536242E-01    2.5826613E+00   -2.5826551E+00
 0.5700    6.6241386E-01    2.7045125E+00   -2.7045089E+00
 0.5800    6.6849647E-01    2.8259532E+00   -2.8259513E+00
 0.5900    6.7361976E-01    2.9466510E+00   -2.9466499E+00
 0.6000    6.7779594E-01    3.0662766E+00   -3.0662760E+00
 0.6100    6.8103961E-01    3.1845048E+00   -3.1845044E+00
 0.6200    6.8336758E-01    3.3010159E+00   -3.3010157E+00
 0.6300    6.8479879E-01    3.4154973E+00   -3.4154972E+00
 0.6400    6.8535435E-01    3.5276459E+00   -3.5276458E+00
 0.6500    6.8505743E-01    3.6371697E+00   -3.6371696E+00
 0.6600    6.8393303E-01    3.7437886E+00   -3.7437886E+00
 0.6700    6.8200761E-01    3.8472348E+00   -3.8472347E+00
 0.6800    6.7930885E-01    3.9472530E+00   -3.9472530E+00
 0.6900    6.7586560E-01    4.0436018E+00   -4.0436018E+00
 0.7000    6.7170786E-01    4.1360557E+00   -4.1360557E+00
 0.7100    6.6686682E-01    4.2244062E+00   -4.2244062E+00
 0.7200    6.6137477E-01    4.3084641E+00   -4.3084641E+00
 0.7300    6.5526489E-01    4.3880593E+00   -4.3880593E+00
 0.7400    6.4857108E-01    4.4630410E+00   -4.4630410E+00
 0.7500    6.4132772E-01    4.5332785E+00   -4.5332785E+00
 0.7600    6.3356961E-01    4.5986609E+00   -4.5986609E+00
 0.7700    6.2533173E-01    4.6590973E+00   -4.6590973E+00
 0.7800    6.1664922E-01    4.7145176E+00   -4.7145176E+00
 0.7900    6.0755725E-01    4.7648722E+00   -4.7648722E+00
 0.8000    5.9809105E-01    4.8101337E+00   -4.8101337E+00
 0.8100    5.8828592E-01    4.8502972E+00   -4.8502972E+00
 0.8200    5.7817714E-01    4.8853815E+00   -4.8853815E+00
 0.8300    5.6779992E-01    4.9154284E+00   -4.9154284E+00
 0.8400    5.5718925E-01    4.9405029E+00   -4.9405029E+00
 0.8500    5.4637973E-01    4.9606924E+00   -4.9606924E+00
 0.8600    5.3540552E-01    4.9761058E+00   -4.9761058E+00
 0.8700    5.2430022E-01    4.9868742E+00   -4.9868742E+00
 0.8800    5.1309687E-01    4.9931495E+00   -4.9931495E+00
 0.8900    5.0182783E-01    4.9951049E+00   -4.9951049E+00
 0.9000    4.9052470E-01    4.9929333E+00   -4.9929333E+00
 0.9100    4.7921823E-01    4.9868462E+00   -4.9868462E+00
 0.9200    4.6793801E-01    4.9770710E+00   -4.9770710E+00
 0.9300    4.5671217E-01    4.9638465E+00   -4.9638465E+00
 0.9400    4.4556677E-01    4.9474153E+00   -4.9474153E+00
 0.9500    4.3452515E-01    4.9280147E+00   -4.9280147E+00
 0.9600    4.2360721E-01    4.9058659E+00   -4.9058659E+00
 0.9700    4.1282901E-01    4.8811656E+00   -4.8811656E+00
