# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.6228773E-01   -0.0000000E+00    4.7873074E+01
 0.0100   -1.5865815E-01   -1.9937571E-04    4.7634505E+01
 0.0200   -1.5407605E-01   -7.7447070E-04    4.6925898E+01
 0.0300   -1.4835369E-01   -1.6778407E-03    4.5768216E+01
 0.0400   -1.4129499E-01   -2.8409044E-03    4.4195258E+01
 0.0500   -1.3268914E-01   -4.1685523E-03    4.2252008E+01
 0.0600   -1.2230674E-01   -5.5330267E-03    3.9992485E+01
 0.0700   -1.0992003E-01   -6.7683496E-03    3.7477240E+01
 0.0800   -9.5351744E-02   -7.6686422E-03    3.4770655E+01
 0.0900   -7.8524779E-02   -7.9928489E-03    3.1938223E+01
 0.1000   -5.9476986E-02   -7.4740985E-03    2.9043961E+01
 0.1100   -3.8333348E-02   -5.8287038E-03    2.6148090E+01
 0.1200   -1.5258386E-02   -2.7610924E-03    2.3305088E+01
 0.1300    9.5830073E-03    2.0351592E-03    2.0562196E+01
 0.1400    3.6043290E-02    8.8774934E-03    1.7958418E+01
 0.1500    6.3991625E-02    1.8093206E-02    1.5524018E+01
 0.1600    9.3304611E-02    3.0016008E-02    1.3280484E+01
 0.1700    1.2385745E-01    4.4981076E-02    1.1240908E+01
 0.1800    1.5552091E-01    6.3320403E-02    9.4106986E+00
 0.1900    1.8816450E-01    8.5360070E-02    7.7885377E+00
 0.2000    2.2166175E-01    1.1141935E-01    6.3674966E+00
 0.2100    2.5589259E-01    1.4180977E-01    5.1362217E+00
 0.2200    2.9074084E-01    1.7683216E-01    4.0801190E+00
 0.2300    3.2608942E-01    2.1677153E-01    3.1824730E+00
 0.2400    3.6181714E-01    2.6189155E-01    2.4254521E+00
 0.2500    3.9779882E-01    3.1243046E-01    1.7909656E+00
 0.2600    4.3390763E-01    3.6859874E-01    1.2613576E+00
 0.2700    4.7001750E-01    4.3057759E-01    8.1993459E-01
 0.2800    5.0600427E-01    4.9851716E-01    4.5133703E-01
 0.2900    5.4174614E-01    5.7253453E-01    1.4176936E-01
 0.3000    5.7712397E-01    6.5271183E-01   -1.2089002E-01
 0.3100    6.1202222E-01    7.3909530E-01   -3.4707701E-01
 0.3200    6.4632994E-01    8.3169501E-01   -5.4560443E-01
 0.3300    6.7994141E-01    9.3048469E-01   -7.2377642E-01
 0.3400    7.1275595E-01    1.0354009E+00   -8.8753462E-01
 0.3500    7.4467774E-01    1.1463423E+00   -1.0416204E+00
 0.3600    7.7561612E-01    1.2631697E+00   -1.1897414E+00
 0.3700    8.0548652E-01    1.3857076E+00   -1.3347339E+00
 0.3800    8.3421108E-01    1.5137460E+00   -1.4787124E+00
 0.3900    8.6171833E-01    1.6470410E+00   -1.6232023E+00
 0.4000    8.8794214E-01    1.7853136E+00   -1.7692540E+00
 0.4100    9.1282118E-01    1.9282498E+00   -1.9175384E+00
 0.4200    9.3629937E-01    2.0755021E+00   -2.0684289E+00
 0.4300    9.5832726E-01    2.2266944E+00   -2.2220702E+00
 0.4400    9.7886324E-01    2.3814268E+00   -2.3784337E+00
