# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.2807039E-01    0.0000000E+00    5.5851919E+01
 0.0100    1.3355420E-01    1.6782916E-04    5.5573189E+01
 0.0200    1.4047537E-01    7.0610622E-04    5.4745271E+01
 0.0300    1.4911505E-01    1.6864515E-03    5.3392608E+01
 0.0400    1.5976486E-01    3.2122631E-03    5.1554607E+01
 0.0500    1.7273576E-01    5.4266540E-03    4.9283719E+01
 0.0600    1.8836358E-01    8.5213674E-03    4.6642923E+01
 0.0700    2.0697876E-01    1.2744762E-02    4.3702806E+01
 0.0800    2.2883323E-01    1.8403860E-02    4.0538414E+01
 0.0900    2.5402585E-01    2.5856682E-02    3.7226078E+01
 0.1000    2.8248036E-01    3.5497529E-02    3.3840404E+01
 0.1100    3.1398741E-01    4.7742754E-02    3.0451562E+01
 0.1200    3.4827642E-01    6.3022616E-02    2.7123025E+01
 0.1300    3.8507477E-01    8.1778970E-02    2.3909824E+01
 0.1400    4.2413490E-01    1.0446479E-01    2.0857380E+01
 0.1500    4.6523412E-01    1.3154185E-01    1.8000922E+01
 0.1600    5.0816181E-01    1.6347519E-01    1.5365442E+01
 0.1700    5.5270694E-01    2.0072553E-01    1.2966145E+01
 0.1800    5.9865320E-01    2.4374189E-01    1.0809280E+01
 0.1900    6.4578234E-01    2.9295656E-01    8.8932575E+00
 0.2000    6.9388063E-01    3.4878245E-01    7.2099529E+00
 0.2100    7.4274215E-01    4.1161057E-01    5.7460929E+00
 0.2200    7.9216647E-01    4.8180542E-01    4.4846376E+00
 0.2300    8.4195350E-01    5.5969785E-01    3.4060874E+00
 0.2400    8.9190025E-01    6.4557787E-01    2.4896564E+00
 0.2500    9.4180163E-01    7.3968927E-01    1.7142728E+00
 0.2600    9.9145365E-01    8.4222664E-01    1.0593890E+00
 0.2700    1.0406561E+00    9.5333298E-01    5.0559789E-01
 0.2800    1.0892132E+00    1.0730966E+00    3.5066623E-02
 0.2900    1.1369334E+00    1.2015473E+00   -3.6819276E-01
 0.3000    1.1836297E+00    1.3386537E+00   -7.1819493E-01
 0.3100    1.2291226E+00    1.4843231E+00   -1.0269685E+00
 0.3200    1.2732424E+00    1.6384036E+00   -1.3046313E+00
 0.3300    1.3158313E+00    1.8006859E+00   -1.5595263E+00
 0.3400    1.3567433E+00    1.9709036E+00   -1.7983930E+00
 0.3500    1.3958423E+00    2.1487323E+00   -2.0265567E+00
 0.3600    1.4330023E+00    2.3337900E+00   -2.2481237E+00
 0.3700    1.4681091E+00    2.5256411E+00   -2.4661719E+00
 0.3800    1.5010605E+00    2.7238003E+00   -2.6829277E+00
 0.3900    1.5317665E+00    2.9277343E+00   -2.8999225E+00
 0.4000    1.5601470E+00    3.1368618E+00   -3.1181255E+00
 0.4100    1.5861310E+00    3.3505541E+00   -3.3380575E+00
 0.4200    1.6096574E+00    3.5681400E+00   -3.5598880E+00
 0.4300    1.6306772E+00    3.7889143E+00   -3.7835194E+00
 0.4400    1.6491558E+00    4.0121476E+00   -4.0086556E+00
 0.4500    1.6650726E+00    4.2370937E+00   -4.2348560E+00
 0.4600    1.6784204E+00    4.4629938E+00   -4.4615741E+00
 0.4700    1.6892034E+00    4.6890788E+00   -4.6881870E+00
 0.4800    1.6974356E+00    4.9145714E+00   -4.9140169E+00
 0.4900    1.7031400E+00    5.1386895E+00   -5.1383481E+00
 0.5000    1.7063479E+00    5.3606501E+00   -5.3604419E+00
 0.5100    1.7070993E+00    5.5796762E+00   -5.5795506E+00
 0.5200    1.7054436E+00    5.7950062E+00   -5.7949312E+00
 0.5300    1.7014397E+00    6.0059011E+00   -6.0058567E+00
 0.5400    1.6951553E+00    6.2116486E+00   -6.2116226E+00
 0.5500    1.6866645E+00    6.4115636E+00   -6.4115485E+00
 0.5600    1.6760468E+00    6.6049883E+00   -6.6049797E+00
 0.5700    1.6633861E+00    6.7912957E+00   -6.7912908E+00
 0.5800    1.6487711E+00    6.9698947E+00   -6.9698919E+00
 0.5900    1.6322951E+00    7.1402359E+00   -7.1402343E+00
 0.6000    1.6140553E+00    7.3018142E+00   -7.3018133E+00
 0.6100    1.5941522E+00    7.4541704E+00   -7.4541700E+00
 0.6200    1.5726883E+00    7.5968913E+00   -7.5968910E+00
 0.6300    1.5497678E+00    7.7296103E+00   -7.7296102E+00
 0.6400    1.5254957E+00    7.8520094E+00   -7.8520093E+00
 0.6500    1.4999778E+00    7.9638195E+00   -7.9638194E+00
 0.6600    1.4733198E+00    8.0648214E+00   -8.0648213E+00
 0.6700    1.4456271E+00    8.1548458E+00   -8.1548458E+00
 0.6800    1.4170044E+00    8.2337732E+00   -8.2337732E+00
 0.6900    1.3875553E+00    8.3015337E+00   -8.3015337E+00
 0.7000    1.3573815E+00    8.3581058E+00   -8.3581058E+00
 0.7100    1.3265830E+00    8.4035152E+00   -8.4035152E+00
 0.7200    1.2952574E+00    8.4378333E+00   -8.4378333E+00
 0.7300    1.2634996E+00    8.4611750E+00   -8.4611750E+00
 0.7400    1.2314015E+00    8.4736979E+00   -8.4736979E+00
 0.7500    1.1990521E+00    8.4756001E+00   -8.4756001E+00
 0.7600    1.1665373E+00    8.4671192E+00   -8.4671192E+00
 0.7700    1.1339395E+00    8.4485307E+00   -8.4485307E+00
 0.7800    1.1013379E+00    8.4201469E+00   -8.4201469E+00
 0.7900    1.0688086E+00    8.3823152E+00   -8.3823152E+00
 0.8000    1.0364239E+00    8.3354160E+00   -8.3354160E+00
 0.8100    1.0042530E+00    8.2798609E+00   -8.2798609E+00
 0.8200    9.7236122E-01    8.2160902E+00   -8.2160902E+00
 0.8300    9.4081063E-01    8.1445720E+00   -8.1445720E+00
 0.8400    9.0965995E-01    8.0658011E+00   -8.0658011E+00
 0.8500    8.7896471E-01    7.9802989E+00   -7.9802989E+00
 0.8600    8.4877731E-01    7.8886108E+00   -7.8886108E+00
 0.8700    8.1914686E-01    7.7913039E+00   -7.7913039E+00
 0.8800    7.9011896E-01    7.6889616E+00   -7.6889616E+00
 0.8900    7.6173548E-01    7.5821795E+00   -7.5821795E+00
 0.9000    7.3403442E-01    7.4715604E+00   -7.4715604E+00
 0.9100    7.0704972E-01    7.3577089E+00   -7.3577089E+00
 0.9200    6.8081068E-01    7.2412223E+00   -7.2412223E+00
 0.9300    6.5534099E-01    7.1226745E+00   -7.1226745E+00
 0.9400    6.3065745E-01    7.0025965E+00   -7.0025965E+00
 0.9500    6.0676886E-01    6.8814564E+00   -6.8814564E+00
 0.9600    5.8367583E-01    6.7596474E+00   -6.7596474E+00
 0.9700    5.6137151E-01    6.6374872E+00   -6.6374872E+00
 0.9800    5.3984320E-01    6.5152285E+00   -6.5152285E+00
 0.9900    5.1907426E-01    6.3930743E+00   -6.3930743E+00
 1.0000    4.9904567E-01    6.2711929E+00   -6.2711929E+00
 1.0100    4.7973712E-01    6.1497284E+00   -6.1497284E+00
 1.0200    4.6112764E-01    6.0288067E+00   -6.0288067E+00
 1.0300    4.4319596E-01    5.9085389E+00   -5.9085389E+00
 1.0400    4.2592072E-01    5.7890235E+00   -5.7890235E+00
 1.0500    4.0928070E-01    5.6703482E+00   -5.6703482E+00
 1.0600    3.9325495E-01    5.5525924E+00   -5.5525924E+00
 1.0700    3.7782300E-01    5.4358293E+00   -5.4358293E+00
 1.0800    3.6296490E-01    5.3201271E+00   -5.3201271E+00
 1.0900    3.4866134E-01    5.2055505E+00   -5.2055505E+00
 1.1000    3.3489354E-01    5.0921596E+00   -5.0921596E+00
 1.1100    3.2164319E-01    4.9800097E+00   -4.9800097E+00
 1.1200    3.0889245E-01    4.8691505E+00   -4.8691505E+00
 1.1300    2.9662389E-01    4.7596265E+00   -4.7596265E+00
 1.1400    2.8482063E-01    4.6514784E+00   -4.6514784E+00
 1.1500    2.7346637E-01    4.5447445E+00   -4.5447445E+00
 1.1600    2.6254544E-01    4.4394618E+00   -4.4394618E+00
 1.1700    2.5204277E-01    4.3356661E+00   -4.3356661E+00
 1.1800    2.4194381E-01    4.2333911E+00   -4.2333911E+00
 1.1900    2.3223446E-01    4.1326673E+00   -4.1326673E+00
 1.2000    2.2290102E-01    4.0335218E+00   -4.0335218E+00
 1.2100    2.1393020E-01    3.9359784E+00   -3.9359784E+00
 1.2200    2.0530918E-01    3.8400591E+00   -3.8400591E+00
 1.2300    1.9702560E-01    3.7457841E+00   -3.7457841E+00
 1.2400    1.8906750E-01    3.6531719E+00   -3.6531719E+00
 1.2500    1.8142329E-01    3.5622379E+00   -3.5622379E+00
 1.2600    1.7408169E-01    3.4729942E+00   -3.4729942E+00
 1.2700    1.6703179E-01    3.3854502E+00   -3.3854502E+00
 1.2800    1.6026300E-01    3.2996135E+00   -3.2996135E+00
 1.2900    1.5376515E-01    3.2154902E+00   -3.2154902E+00
 1.3000    1.4752838E-01    3.1330849E+00   -3.1330849E+00
 1.3100    1.4154316E-01    3.0523993E+00   -3.0523993E+00
 1.3200    1.3580017E-01    2.9734323E+00   -2.9734323E+00
 1.3300    1.3029037E-01    2.8961793E+00   -2.8961793E+00
 1.3400    1.2500490E-01    2.8206324E+00   -2.8206324E+00
 1.3500    1.1993515E-01    2.7467799E+00   -2.7467799E+00
 1.3600    1.1507273E-01    2.6746077E+00   -2.6746077E+00
 1.3700    1.1040952E-01    2.6040992E+00   -2.6040992E+00
 1.3800    1.0593770E-01    2.5352370E+00   -2.5352370E+00
 1.3900    1.0164971E-01    2.4680025E+00   -2.4680025E+00
 1.4000    9.7538288E-02    2.4023765E+00   -2.4023765E+00
 1.4100    9.3596390E-02    2.3383375E+00   -2.3383375E+00
 1.4200    8.9817157E-02    2.2758617E+00   -2.2758617E+00
 1.4300    8.6193917E-02    2.2149226E+00   -2.2149226E+00
 1.4400    8.2720194E-02    2.1554919E+00   -2.1554919E+00
 1.4500    7.9389734E-02    2.0975398E+00   -2.0975398E+00
 1.4600    7.6196528E-02    2.0410364E+00   -2.0410364E+00
 1.4700    7.3134817E-02    1.9859518E+00   -1.9859518E+00
 1.4800    7.0199083E-02    1.9322563E+00   -1.9322563E+00
 1.4900    6.7384025E-02    1.8799199E+00   -1.8799199E+00
 1.5000    6.4684540E-02    1.8289123E+00   -1.8289123E+00
 1.5100    6.2095719E-02    1.7792027E+00   -1.7792027E+00
 1.5200    5.9612851E-02    1.7307603E+00   -1.7307603E+00
 1.5300    5.7231428E-02    1.6835550E+00   -1.6835550E+00
 1.5400    5.4947142E-02    1.6375569E+00   -1.6375569E+00
 1.5500    5.2755875E-02    1.5927371E+00   -1.5927371E+00
 1.5600    5.0653687E-02    1.5490667E+00   -1.5490667E+00
 1.5700    4.8636809E-02    1.5065177E+00   -1.5065177E+00
 1.5800    4.6701638E-02    1.4650625E+00   -1.4650625E+00
 1.5900    4.4844733E-02    1.4246742E+00   -1.4246742E+00
 1.6000    4.3062816E-02    1.3853269E+00   -1.3853269E+00
 1.6100    4.1352772E-02    1.3469958E+00   -1.3469958E+00
 1.6200    3.9711635E-02    1.3096573E+00   -1.3096573E+00
 1.6300    3.8136577E-02    1.2732884E+00   -1.2732884E+00
 1.6400    3.6624897E-02    1.2378670E+00   -1.2378670E+00
 1.6500    3.5174010E-02    1.2033713E+00   -1.2033713E+00
 1.6600    3.3781450E-02    1.1697804E+00   -1.1697804E+00
 1.6700    3.2444869E-02    1.1370743E+00   -1.1370743E+00
 1.6800    3.1162027E-02    1.1052337E+00   -1.1052337E+00
 1.6900    2.9930783E-02    1.0742401E+00   -1.0742401E+00
 1.7000    2.8749087E-02    1.0440751E+00   -1.0440751E+00
 1.7100    2.7614966E-02    1.0147209E+00   -1.0147209E+00
 1.7200    2.6526526E-02    9.8615945E-01   -9.8615945E-01
 1.7300    2.5481948E-02    9.5837328E-01   -9.5837328E-01
 1.7400    2.4479483E-02    9.3134505E-01   -9.3134505E-01
 1.7500    2.3517455E-02    9.0505774E-01   -9.0505774E-01
 1.7600    2.2594254E-02    8.7949467E-01   -8.7949467E-01
 1.7700    2.1708337E-02    8.5463948E-01   -8.5463948E-01
