# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.2272290E-01    0.0000000E+00    6.3830765E+01
 0.0100    4.3116724E-01    5.4182073E-04    6.3511866E+01
 0.0200    4.4182257E-01    2.2208424E-03    6.2564610E+01
 0.0300    4.5511854E-01    5.1472695E-03    6.1016903E+01
 0.0400    4.7149812E-01    9.4800323E-03    5.8913742E+01
 0.0500    4.9143029E-01    1.5438738E-02    5.6315014E+01
 0.0600    5.1541818E-01    2.3316969E-02    5.3292619E+01
 0.0700    5.4395307E-01    3.3494028E-02    4.9927135E+01
 0.0800    5.7740248E-01    4.6437463E-02    4.6304211E+01
 0.0900    6.1589620E-01    6.2690598E-02    4.2510949E+01
 0.1000    6.5929244E-01    8.2849132E-02    3.8632467E+01
 0.1100    7.0724256E-01    1.0753841E-01    3.4748810E+01
 0.1200    7.5930177E-01    1.3740001E-01    3.0932369E+01
 0.1300    8.1502059E-01    1.7308728E-01    2.7245887E+01
 0.1400    8.7398703E-01    2.1526376E-01    2.3741131E+01
 0.1500    9.3582737E-01    2.6459895E-01    2.0458216E+01
 0.1600    1.0001877E+00    3.2175946E-01    1.7425574E+01
 0.1700    1.0667157E+00    3.8739711E-01    1.4660455E+01
 0.1800    1.1350533E+00    4.6213743E-01    1.2169888E+01
 0.1900    1.2048406E+00    5.4657109E-01    9.9519593E+00
 0.2000    1.2757234E+00    6.4124852E-01    7.9973061E+00
 0.2100    1.3473582E+00    7.4667487E-01    6.2907005E+00
 0.2200    1.4194094E+00    8.6330233E-01    4.8126325E+00
 0.2300    1.4915434E+00    9.9151987E-01    3.5408062E+00
 0.2400    1.5634255E+00    1.1316432E+00    2.4514816E+00
 0.2500    1.6347227E+00    1.2839082E+00    1.5206198E+00
 0.2600    1.7051088E+00    1.4484672E+00    7.2480788E-01
 0.2700    1.7742676E+00    1.6253860E+00    4.1963583E-02
 0.2800    1.8418925E+00    1.8146389E+00   -5.4816662E-01
 0.2900    1.9076847E+00    2.0161018E+00   -1.0636966E+00
 0.3000    1.9713529E+00    2.2295476E+00   -1.5204519E+00
 0.3100    2.0326186E+00    2.4546476E+00   -1.9319566E+00
 0.3200    2.0912219E+00    2.6909766E+00   -2.3095225E+00
 0.3300    2.1469253E+00    2.9380195E+00   -2.6624085E+00
 0.3400    2.1995136E+00    3.1951728E+00   -2.9980177E+00
 0.3500    2.2487907E+00    3.4617443E+00   -3.3221151E+00
 0.3600    2.2945790E+00    3.7369551E+00   -3.6390508E+00
 0.3700    2.3367212E+00    4.0199459E+00   -3.9519810E+00
 0.3800    2.3750817E+00    4.3097851E+00   -4.2630735E+00
 0.3900    2.4095456E+00    4.6054729E+00   -4.5736880E+00
 0.4000    2.4400152E+00    4.9059416E+00   -4.8845288E+00
 0.4100    2.4664079E+00    5.2100570E+00   -5.1957751E+00
 0.4200    2.4886579E+00    5.5166274E+00   -5.5071965E+00
 0.4300    2.5067207E+00    5.8244204E+00   -5.8182548E+00
 0.4400    2.5205755E+00    6.1321805E+00   -6.1281897E+00
 0.4500    2.5302266E+00    6.4386423E+00   -6.4360849E+00
 0.4600    2.5357003E+00    6.7425388E+00   -6.7409163E+00
 0.4700    2.5370427E+00    7.0426053E+00   -7.0415862E+00
 0.4800    2.5343162E+00    7.3375848E+00   -7.3369509E+00
 0.4900    2.5275982E+00    7.6262328E+00   -7.6258425E+00
 0.5000    2.5169800E+00    7.9073258E+00   -7.9070879E+00
 0.5100    2.5025668E+00    8.1796722E+00   -8.1795287E+00
 0.5200    2.4844791E+00    8.4421272E+00   -8.4420415E+00
 0.5300    2.4628522E+00    8.6936059E+00   -8.6935552E+00
 0.5400    2.4378353E+00    8.9330908E+00   -8.9330611E+00
 0.5500    2.4095884E+00    9.1596336E+00   -9.1596163E+00
 0.5600    2.3782796E+00    9.3723572E+00   -9.3723473E+00
 0.5700    2.3440848E+00    9.5704619E+00   -9.5704563E+00
 0.5800    2.3071872E+00    9.7532348E+00   -9.7532316E+00
 0.5900    2.2677769E+00    9.9200581E+00   -9.9200563E+00
 0.6000    2.2260501E+00    1.0070413E+01   -1.0070412E+01
