# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.2098551E+00    0.0000000E+00    5.5851919E+01
 0.0100    3.2082127E+00    4.0315590E-03    5.5569325E+01
 0.0200    3.2061369E+00    1.6115802E-02    5.4729861E+01
 0.0300    3.2035389E+00    3.6231172E-02    5.3358063E+01
 0.0400    3.2003235E+00    6.4346322E-02    5.1493473E+01
 0.0500    3.1963844E+00    1.0041738E-01    4.9188728E+01
 0.0600    3.1916027E+00    1.4438470E-01    4.6507060E+01
 0.0700    3.1858558E+00    1.9616976E-01    4.3519381E+01
 0.0800    3.1790410E+00    2.5567365E-01    4.0301144E+01
 0.0900    3.1710987E+00    3.2277853E-01    3.6929156E+01
 0.1000    3.1620183E+00    3.9735094E-01    3.3478550E+01
 0.1100    3.1518263E+00    4.7924491E-01    3.0020060E+01
 0.1200    3.1405634E+00    5.6830297E-01    2.6617745E+01
 0.1300    3.1282671E+00    6.6435530E-01    2.3327248E+01
 0.1400    3.1149640E+00    7.6721833E-01    2.0194627E+01
 0.1500    3.1006713E+00    8.7669417E-01    1.7255769E+01
 0.1600    3.0854034E+00    9.9257147E-01    1.4536345E+01
 0.1700    3.0691770E+00    1.1146272E+00    1.2052244E+01
 0.1800    3.0520119E+00    1.2426279E+00    9.8103943E+00
 0.1900    3.0339275E+00    1.3763290E+00    7.8098851E+00
 0.2000    3.0149368E+00    1.5154725E+00    6.0432628E+00
 0.2100    2.9950449E+00    1.6597848E+00    4.4979186E+00
 0.2200    2.9742515E+00    1.8089765E+00    3.1574665E+00
 0.2300    2.9525570E+00    1.9627448E+00    2.0030405E+00
 0.2400    2.9299664E+00    2.1207769E+00    1.0144573E+00
 0.2500    2.9064912E+00    2.2827528E+00    1.7120922E-01
 0.2600    2.8821479E+00    2.4483462E+00   -5.4673049E-01
 0.2700    2.8569558E+00    2.6172241E+00   -1.1582932E+00
 0.2800    2.8309336E+00    2.7890456E+00   -1.6808824E+00
 0.2900    2.8040981E+00    2.9634599E+00   -2.1301054E+00
 0.3000    2.7764629E+00    3.1401056E+00   -2.5196468E+00
 0.3100    2.7480410E+00    3.3186118E+00   -2.8612571E+00
 0.3200    2.7188462E+00    3.4986013E+00   -3.1648290E+00
 0.3300    2.6888950E+00    3.6796930E+00   -3.4385333E+00
 0.3400    2.6582062E+00    3.8615029E+00   -3.6889922E+00
 0.3500    2.6268000E+00    4.0436444E+00   -3.9214688E+00
 0.3600    2.5946972E+00    4.2257281E+00   -4.1400618E+00
 0.3700    2.5619196E+00    4.4073628E+00   -4.3478936E+00
 0.3800    2.5284897E+00    4.5881568E+00   -4.5472842E+00
 0.3900    2.4944309E+00    4.7677180E+00   -4.7399062E+00
 0.4000    2.4597668E+00    4.9456545E+00   -4.9269183E+00
 0.4100    2.4245208E+00    5.1215744E+00   -5.1090777E+00
 0.4200    2.3887167E+00    5.2950869E+00   -5.2868349E+00
 0.4300    2.3523793E+00    5.4658048E+00   -5.4604099E+00
 0.4400    2.3155342E+00    5.6333458E+00   -5.6298539E+00
 0.4500    2.2782085E+00    5.7973346E+00   -5.7950969E+00
 0.4600    2.2404304E+00    5.9574031E+00   -5.9559834E+00
 0.4700    2.2022286E+00    6.1131911E+00   -6.1122993E+00
 0.4800    2.1636323E+00    6.2643468E+00   -6.2637922E+00
 0.4900    2.1246712E+00    6.4105274E+00   -6.4101860E+00
 0.5000    2.0853757E+00    6.5514011E+00   -6.5511929E+00
 0.5100    2.0457768E+00    6.6866480E+00   -6.6865224E+00
 0.5200    2.0059062E+00    6.8159622E+00   -6.8158872E+00
 0.5300    1.9657963E+00    6.9390518E+00   -6.9390074E+00
 0.5400    1.9254797E+00    7.0556386E+00   -7.0556126E+00
 0.5500    1.8849885E+00    7.1654581E+00   -7.1654430E+00
 0.5600    1.8443551E+00    7.2682600E+00   -7.2682513E+00
 0.5700    1.8036117E+00    7.3638106E+00   -7.3638056E+00
 0.5800    1.7627913E+00    7.4518954E+00   -7.4518926E+00
 0.5900    1.7219279E+00    7.5323215E+00   -7.5323199E+00
 0.6000    1.6810558E+00    7.6049173E+00   -7.6049165E+00
 0.6100    1.6402096E+00    7.6695324E+00   -7.6695319E+00
 0.6200    1.5994235E+00    7.7260358E+00   -7.7260355E+00
 0.6300    1.5587313E+00    7.7743167E+00   -7.7743166E+00
 0.6400    1.5181665E+00    7.8142846E+00   -7.8142845E+00
 0.6500    1.4777620E+00    7.8458694E+00   -7.8458694E+00
 0.6600    1.4375503E+00    7.8690222E+00   -7.8690222E+00
 0.6700    1.3975633E+00    7.8837157E+00   -7.8837157E+00
 0.6800    1.3578329E+00    7.8899460E+00   -7.8899460E+00
 0.6900    1.3183910E+00    7.8877341E+00   -7.8877341E+00
 0.7000    1.2792691E+00    7.8771272E+00   -7.8771272E+00
 0.7100    1.2404989E+00    7.8581979E+00   -7.8581979E+00
 0.7200    1.2021112E+00    7.8310411E+00   -7.8310411E+00
 0.7300    1.1641355E+00    7.7957717E+00   -7.7957717E+00
 0.7400    1.1266000E+00    7.7525227E+00   -7.7525227E+00
 0.7500    1.0895317E+00    7.7014455E+00   -7.7014455E+00
 0.7600    1.0529565E+00    7.6427115E+00   -7.6427115E+00
 0.7700    1.0168997E+00    7.5765142E+00   -7.5765142E+00
 0.7800    9.8138621E-01    7.5030704E+00   -7.5030704E+00
 0.7900    9.4644003E-01    7.4226186E+00   -7.4226186E+00
 0.8000    9.1208434E-01    7.3354175E+00   -7.3354175E+00
 0.8100    8.7834105E-01    7.2417426E+00   -7.2417426E+00
