# total charge: 2.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    8.7068285E+00    0.0000000E+00    1.5957691E+01
 0.0100    8.6740833E+00    1.0900175E-02    1.5867202E+01
 0.0200    8.6327866E+00    4.3393118E-02    1.5598315E+01
 0.0300    8.5813032E+00    9.7052253E-02    1.5158460E+01
 0.0400    8.5179725E+00    1.7126400E-01    1.4559542E+01
 0.0500    8.4410673E+00    2.6518395E-01    1.3817429E+01
 0.0600    8.3487644E+00    3.7768920E-01    1.2951295E+01
 0.0700    8.2393157E+00    5.0733765E-01    1.1982820E+01
 0.0800    8.1114710E+00    6.5236320E-01    1.0935299E+01
 0.0900    7.9649102E+00    8.1072911E-01    9.8326809E+00
 0.1000    7.8003706E+00    9.8022347E-01    8.6986055E+00
 0.1100    7.6193947E+00    1.1585525E+00    7.5555346E+00
 0.1200    7.4239015E+00    1.3433976E+00    6.4240446E+00
 0.1300    7.2158301E+00    1.5324378E+00    5.3223058E+00
 0.1400    6.9969707E+00    1.7233599E+00    4.2657387E+00
 0.1500    6.7689496E+00    1.9138754E+00    3.2668284E+00
 0.1600    6.5332838E+00    2.1017514E+00    2.3350819E+00
 0.1700    6.2914369E+00    2.2848492E+00    1.4771139E+00
 0.1800    6.0448464E+00    2.4611617E+00    6.9684464E-01
 0.1900    5.7949211E+00    2.6288427E+00   -4.2100611E-03
 0.2000    5.5430237E+00    2.7862276E+00   -6.2658895E-01
 0.2100    5.2904588E+00    2.9318503E+00   -1.1725065E+00
 0.2200    5.0384714E+00    3.0644604E+00   -1.6454767E+00
 0.2300    4.7882502E+00    3.1830420E+00   -2.0499605E+00
 0.2400    4.5409250E+00    3.2868257E+00   -2.3910445E+00
 0.2500    4.2975534E+00    3.3752905E+00   -2.6741585E+00
 0.2600    4.0591052E+00    3.4481557E+00   -2.9048370E+00
 0.2700    3.8264572E+00    3.5053732E+00   -3.0885358E+00
 0.2800    3.6004001E+00    3.5471266E+00   -3.2305085E+00
 0.2900    3.3816497E+00    3.5738349E+00   -3.3357336E+00
 0.3000    3.1708484E+00    3.5861451E+00   -3.4088712E+00
 0.3100    2.9685500E+00    3.5849048E+00   -3.4542320E+00
 0.3200    2.7751996E+00    3.5711167E+00   -3.4757532E+00
 0.3300    2.5911236E+00    3.5458950E+00   -3.4769922E+00
 0.3400    2.4165367E+00    3.5104362E+00   -3.4611474E+00
 0.3500    2.2515575E+00    3.4660035E+00   -3.4310962E+00
 0.3600    2.0962195E+00    3.4139065E+00   -3.3894304E+00
 0.3700    1.9504728E+00    3.3554688E+00   -3.3384776E+00
 0.3800    1.8141849E+00    3.2919907E+00   -3.2803128E+00
 0.3900    1.6871475E+00    3.2247210E+00   -3.2167748E+00
