# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.6179713E+00    0.0000000E+00    6.3830765E+01
 0.0100    4.6146937E+00    5.7989952E-03    6.3506609E+01
 0.0200    4.6105520E+00    2.3175162E-02    6.2543656E+01
 0.0300    4.6053710E+00    5.2085519E-02    6.0969965E+01
 0.0400    4.5989630E+00    9.2467638E-02    5.8830755E+01
 0.0500    4.5911205E+00    1.4423430E-01    5.6186218E+01
 0.0600    4.5816116E+00    2.0726722E-01    5.3108669E+01
 0.0700    4.5701986E+00    2.8141096E-01    4.9679218E+01
 0.0800    4.5566838E+00    3.6647025E-01    4.5984178E+01
 0.0900    4.5409549E+00    4.6221291E-01    4.2111427E+01
 0.1000    4.5229991E+00    5.6837683E-01    3.8146939E+01
 0.1100    4.5028778E+00    6.8467645E-01    3.4171672E+01
 0.1200    4.4806830E+00    8.1080529E-01    3.0258964E+01
 0.1300    4.4565024E+00    9.4643482E-01    2.6472540E+01
 0.1400    4.4304032E+00    1.0912121E+00    2.2865182E+01
 0.1500    4.4024349E+00    1.2447592E+00    1.9478056E+01
 0.1600    4.3726407E+00    1.4066745E+00    1.6340659E+01
 0.1700    4.3410677E+00    1.5765374E+00    1.3471315E+01
 0.1800    4.3077691E+00    1.7539100E+00    1.0878115E+01
 0.1900    4.2727977E+00    1.9383375E+00    8.5601929E+00
 0.2000    4.2361962E+00    2.1293445E+00    6.5092102E+00
 0.2100    4.1979938E+00    2.3264314E+00    4.7109440E+00
 0.2200    4.1582113E+00    2.5290754E+00    3.1468594E+00
 0.2300    4.1168710E+00    2.7367353E+00    1.7955907E+00
 0.2400    4.0740037E+00    2.9488573E+00    6.3426750E-01
 0.2500    4.0296511E+00    3.1648806E+00   -3.6035249E-01
 0.2600    3.9838633E+00    3.3842387E+00   -1.2109637E+00
 0.2700    3.9366947E+00    3.6063604E+00   -1.9390109E+00
 0.2800    3.8881994E+00    3.8306675E+00   -2.5641952E+00
 0.2900    3.8384286E+00    4.0565733E+00   -3.1041681E+00
 0.3000    3.7874302E+00    4.2834826E+00   -3.5743869E+00
 0.3100    3.7352506E+00    4.5107940E+00   -3.9881030E+00
 0.3200    3.6819379E+00    4.7379043E+00   -4.3564501E+00
 0.3300    3.6275433E+00    4.9642124E+00   -4.6886013E+00
 0.3400    3.5721212E+00    5.1891220E+00   -4.9919669E+00
 0.3500    3.5157273E+00    5.4120417E+00   -5.2724125E+00
 0.3600    3.4584186E+00    5.6323862E+00   -5.5344819E+00
 0.3700    3.4002526E+00    5.8495774E+00   -5.7816126E+00
 0.3800    3.3412880E+00    6.0630474E+00   -6.0163359E+00
 0.3900    3.2815839E+00    6.2722390E+00   -6.2404541E+00
 0.4000    3.2211997E+00    6.4766062E+00   -6.4551934E+00
 0.4100    3.1601936E+00    6.6756148E+00   -6.6613329E+00
 0.4200    3.0986239E+00    6.8687436E+00   -6.8593127E+00
 0.4300    3.0365488E+00    7.0554878E+00   -7.0493221E+00
 0.4400    2.9740278E+00    7.2353617E+00   -7.2313709E+00
 0.4500    2.9111212E+00    7.4079012E+00   -7.4053438E+00
 0.4600    2.8478899E+00    7.5726647E+00   -7.5710422E+00
 0.4700    2.7843950E+00    7.7292333E+00   -7.7282142E+00
 0.4800    2.7206970E+00    7.8772116E+00   -7.8765778E+00
 0.4900    2.6568563E+00    8.0162284E+00   -8.0158381E+00
 0.5000    2.5929326E+00    8.1459380E+00   -8.1457001E+00
 0.5100    2.5289854E+00    8.2660216E+00   -8.2658780E+00
 0.5200    2.4650734E+00    8.3761877E+00   -8.3761019E+00
 0.5300    2.4012549E+00    8.4761741E+00   -8.4761234E+00
 0.5400    2.3375878E+00    8.5657485E+00   -8.5657188E+00
 0.5500    2.2741294E+00    8.6447097E+00   -8.6446925E+00
 0.5600    2.2109364E+00    8.7128886E+00   -8.7128787E+00
 0.5700    2.1480647E+00    8.7701484E+00   -8.7701428E+00
 0.5800    2.0855698E+00    8.8163855E+00   -8.8163823E+00
 0.5900    2.0235056E+00    8.8515292E+00   -8.8515274E+00
 0.6000    1.9619256E+00    8.8755421E+00   -8.8755411E+00
 0.6100    1.9008814E+00    8.8884196E+00   -8.8884191E+00
 0.6200    1.8404235E+00    8.8901895E+00   -8.8901893E+00
 0.6300    1.7806008E+00    8.8809113E+00   -8.8809112E+00
 0.6400    1.7214604E+00    8.8606757E+00   -8.8606756E+00
 0.6500    1.6630477E+00    8.8296054E+00   -8.8296054E+00
 0.6600    1.6054072E+00    8.7878561E+00   -8.7878561E+00
 0.6700    1.5485819E+00    8.7356184E+00   -8.7356184E+00
 0.6800    1.4926142E+00    8.6731179E+00   -8.6731179E+00
 0.6900    1.4375447E+00    8.6006132E+00   -8.6006132E+00
 0.7000    1.3834125E+00    8.5183923E+00   -8.5183923E+00
 0.7100    1.3302538E+00    8.4267689E+00   -8.4267689E+00
 0.7200    1.2781027E+00    8.3260809E+00   -8.3260809E+00
 0.7300    1.2269908E+00    8.2166901E+00   -8.2166901E+00
 0.7400    1.1769479E+00    8.0989837E+00   -8.0989837E+00
 0.7500    1.1280016E+00    7.9733736E+00   -7.9733736E+00
 0.7600    1.0801781E+00    7.8402949E+00   -7.8402949E+00
 0.7700    1.0335010E+00    7.7002034E+00   -7.7002034E+00
 0.7800    9.8799205E-01    7.5535746E+00   -7.5535746E+00
 0.7900    9.4367113E-01    7.4009031E+00   -7.4009031E+00
 0.8000    9.0055593E-01    7.2427006E+00   -7.2427006E+00
 0.8100    8.5866191E-01    7.0794921E+00   -7.0794921E+00
 0.8200    8.1800195E-01    6.9118119E+00   -6.9118119E+00
 0.8300    7.7858647E-01    6.7402018E+00   -6.7402018E+00
 0.8400    7.4042370E-01    6.5652119E+00   -6.5652119E+00
 0.8500    7.0351990E-01    6.3873998E+00   -6.3873998E+00
 0.8600    6.6787918E-01    6.2073277E+00   -6.2073277E+00
 0.8700    6.3350309E-01    6.0255557E+00   -6.0255557E+00
 0.8800    6.0039043E-01    5.8426379E+00   -5.8426379E+00
 0.8900    5.6853749E-01    5.6591211E+00   -5.6591211E+00
 0.9000    5.3793849E-01    5.4755469E+00   -5.4755469E+00
 0.9100    5.0858594E-01    5.2924528E+00   -5.2924528E+00
 0.9200    4.8047070E-01    5.1103710E+00   -5.1103710E+00
 0.9300    4.5358175E-01    4.9298231E+00   -4.9298231E+00
 0.9400    4.2790587E-01    4.7513149E+00   -4.7513149E+00
 0.9500    4.0342752E-01    4.5753318E+00   -4.5753318E+00
 0.9600    3.8012884E-01    4.4023357E+00   -4.4023357E+00
