# total charge: 3.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.8146012E-01    0.0000000E+00    2.3936537E+01
 0.0100    4.8111921E-01    6.0459223E-04    2.3816548E+01
 0.0200    4.8068873E-01    2.4162051E-03    2.3460145E+01
 0.0300    4.8015092E-01    5.4303789E-03    2.2877839E+01
 0.0400    4.7948702E-01    9.6406585E-03    2.2086568E+01
 0.0500    4.7867657E-01    1.5038068E-02    2.1108882E+01
 0.0600    4.7769671E-01    2.1610490E-02    1.9971866E+01
 0.0700    4.7652362E-01    2.9342045E-02    1.8705894E+01
 0.0800    4.7513651E-01    3.8212746E-02    1.7343280E+01
 0.0900    4.7352217E-01    4.8198686E-02    1.5916916E+01
 0.1000    4.7167699E-01    5.9272679E-02    1.4458971E+01
 0.1100    4.6960643E-01    7.1405106E-02    1.2999726E+01
 0.1200    4.6732298E-01    8.4564775E-02    1.1566599E+01
 0.1300    4.6484366E-01    9.8719621E-02    1.0183396E+01
 0.1400    4.6218637E-01    1.1383690E-01    8.8698110E+00
 0.1500    4.5936519E-01    1.2988245E-01    7.6411733E+00
 0.1600    4.5638634E-01    1.4681907E-01    6.5084310E+00
 0.1700    4.5324742E-01    1.6460501E-01    5.4783396E+00
 0.1800    4.4994135E-01    1.8319380E-01    4.5538157E+00
 0.1900    4.4646342E-01    2.0253634E-01    3.7344126E+00
 0.2000    4.4281768E-01    2.2258444E-01    3.0168735E+00
 0.2100    4.3901725E-01    2.4329324E-01    2.3957225E+00
 0.2200    4.3507613E-01    2.6461867E-01    1.8638569E+00
 0.2300    4.3099695E-01    2.8650996E-01    1.4131123E+00
 0.2400    4.2676658E-01    3.0890344E-01    1.0347684E+00
 0.2500    4.2236898E-01    3.3172782E-01    7.1997021E-01
 0.2600    4.1780968E-01    3.5492375E-01    4.6005441E-01
 0.2700    4.1313174E-01    3.7846520E-01    2.4679089E-01
 0.2800    4.0840551E-01    4.0236252E-01    7.2564571E-02
 0.2900    4.0369524E-01    4.2663795E-01   -6.9486005E-02
 0.3000    3.9902452E-01    4.5128611E-01   -1.8537520E-01
