# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.4164421E+00    0.0000000E+00    3.1915382E+01
 0.0100    1.4152737E+00    1.7784853E-03    3.1754425E+01
 0.0200    1.4137976E+00    7.1065217E-03    3.1276309E+01
 0.0300    1.4119519E+00    1.5968800E-02    3.0495056E+01
 0.0400    1.4096708E+00    2.8343114E-02    2.9433268E+01
 0.0500    1.4068819E+00    4.4198500E-02    2.8121028E+01
 0.0600    1.4035048E+00    6.3493061E-02    2.6594475E+01
 0.0700    1.3994575E+00    8.6171897E-02    2.4894143E+01
 0.0800    1.3946726E+00    1.1216623E-01    2.3063158E+01
 0.0900    1.3891137E+00    1.4139455E-01    2.1145425E+01
 0.1000    1.3827801E+00    1.7376527E-01    1.9183893E+01
 0.1100    1.3756986E+00    2.0917921E-01    1.7218995E+01
 0.1200    1.3679080E+00    2.4753081E-01    1.5287354E+01
 0.1300    1.3594467E+00    2.8870796E-01    1.3420779E+01
 0.1400    1.3503464E+00    3.3259149E-01    1.1645606E+01
 0.1500    1.3406325E+00    3.7905490E-01    9.9823528E+00
 0.1600    1.3303269E+00    4.2796495E-01    8.4457018E+00
 0.1700    1.3194519E+00    4.7918284E-01    7.0447433E+00
 0.1800    1.3080308E+00    5.3256526E-01    5.7834474E+00
 0.1900    1.2960872E+00    5.8796475E-01    4.6613004E+00
 0.2000    1.2836430E+00    6.4522932E-01    3.6740480E+00
 0.2100    1.2707168E+00    7.0420195E-01    2.8144857E+00
 0.2200    1.2573250E+00    7.6472057E-01    2.0732469E+00
 0.2300    1.2434825E+00    8.2661867E-01    1.4395444E+00
 0.2400    1.2292047E+00    8.8972655E-01    9.0183587E-01
 0.2500    1.2145096E+00    9.5387360E-01    4.4839044E-01
 0.2600    1.1994205E+00    1.0188917E+00    6.7745829E-02
 0.2700    1.1839669E+00    1.0846184E+00   -2.5094358E-01
 0.2800    1.1681820E+00    1.1508969E+00   -5.1766080E-01
 0.2900    1.1520973E+00    1.2175730E+00   -7.4137043E-01
