# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.4768395E+00    0.0000000E+00    3.9894228E+01
 0.0100    2.4745918E+00    3.1096638E-03    3.9692145E+01
 0.0200    2.4717523E+00    1.2424382E-02    3.9091845E+01
 0.0300    2.4682018E+00    2.7914704E-02    3.8110867E+01
 0.0400    2.4638137E+00    4.9537913E-02    3.6777476E+01
 0.0500    2.4584489E+00    7.7234449E-02    3.5129298E+01
 0.0600    2.4519532E+00    1.1092375E-01    3.3211537E+01
 0.0700    2.4441702E+00    1.5050031E-01    3.1074893E+01
 0.0800    2.4349720E+00    1.9583206E-01    2.8773323E+01
 0.0900    2.4242907E+00    2.4676274E-01    2.6361762E+01
 0.1000    2.4121278E+00    3.0311692E-01    2.3893956E+01
 0.1100    2.3985363E+00    3.6470484E-01    2.1420513E+01
 0.1200    2.3835908E+00    4.3132444E-01    1.8987281E+01
 0.1300    2.3673634E+00    5.0276089E-01    1.6634098E+01
 0.1400    2.3499126E+00    5.7878550E-01    1.4393961E+01
 0.1500    2.3312858E+00    6.5915554E-01    1.2292604E+01
 0.1600    2.3115268E+00    7.4361607E-01    1.0348467E+01
 0.1700    2.2906821E+00    8.3190269E-01    8.5730050E+00
 0.1800    2.2688023E+00    9.2374379E-01    6.9712720E+00
 0.1900    2.2459375E+00    1.0188605E+00    5.5427209E+00
 0.2000    2.2221310E+00    1.1169649E+00    4.2821318E+00
 0.2100    2.1974172E+00    1.2177580E+00    3.1806016E+00
 0.2200    2.1718257E+00    1.3209312E+00    2.2265281E+00
 0.2300    2.1453884E+00    1.4261706E+00    1.4065332E+00
 0.2400    2.1181446E+00    1.5331617E+00    7.0629134E-01
 0.2500    2.0901404E+00    1.6415924E+00    1.1123762E-01
 0.2600    2.0614231E+00    1.7511514E+00   -3.9285448E-01
 0.2700    2.0320357E+00    1.8615243E+00   -8.1943085E-01
 0.2800    2.0020148E+00    1.9723919E+00   -1.1808467E+00
 0.2900    1.9713943E+00    2.0834321E+00   -1.4881788E+00
 0.3000    1.9402111E+00    2.1943270E+00   -1.7511422E+00
 0.3100    1.9085104E+00    2.3047710E+00   -1.9780891E+00
 0.3200    1.8763460E+00    2.4144752E+00   -2.1760664E+00
 0.3300    1.8437753E+00    2.5231655E+00   -2.3509086E+00
 0.3400    1.8108522E+00    2.6305750E+00   -2.5073531E+00
 0.3500    1.7776222E+00    2.7364368E+00   -2.6491685E+00
 0.3600    1.7441221E+00    2.8404801E+00   -2.7792899E+00
 0.3700    1.7103840E+00    2.9424353E+00   -2.8999573E+00
 0.3800    1.6764414E+00    3.0420435E+00   -3.0128488E+00
 0.3900    1.6423341E+00    3.1390670E+00   -3.1192015E+00
 0.4000    1.6081090E+00    3.2332949E+00   -3.2199119E+00
 0.4100    1.5738160E+00    3.3245398E+00   -3.3156137E+00
 0.4200    1.5395025E+00    3.4126272E+00   -3.4067329E+00
 0.4300    1.5052074E+00    3.4973825E+00   -3.4935290E+00
 0.4400    1.4709599E+00    3.5786237E+00   -3.5761295E+00
 0.4500    1.4367809E+00    3.6561619E+00   -3.6545636E+00
 0.4600    1.4026868E+00    3.7298060E+00   -3.7287919E+00
 0.4700    1.3686942E+00    3.7993736E+00   -3.7987367E+00
 0.4800    1.3348265E+00    3.8647121E+00   -3.8643160E+00
 0.4900    1.3011191E+00    3.9257178E+00   -3.9254739E+00
 0.5000    1.2676167E+00    3.9823353E+00   -3.9821867E+00
 0.5100    1.2343620E+00    4.0345281E+00   -4.0344384E+00
 0.5200    1.2013856E+00    4.0822440E+00   -4.0821904E+00
 0.5300    1.1687063E+00    4.1254087E+00   -4.1253770E+00
 0.5400    1.1363382E+00    4.1639449E+00   -4.1639263E+00
 0.5500    1.1042952E+00    4.1977873E+00   -4.1977765E+00
 0.5600    1.0725892E+00    4.2268745E+00   -4.2268683E+00
 0.5700    1.0412277E+00    4.2511390E+00   -4.2511355E+00
 0.5800    1.0102199E+00    4.2705301E+00   -4.2705281E+00
 0.5900    9.7958858E-01    4.2850669E+00   -4.2850658E+00
 0.6000    9.4937737E-01    4.2948821E+00   -4.2948814E+00
 0.6100    9.1964530E-01    4.3002122E+00   -4.3002119E+00
 0.6200    8.9044990E-01    4.3013297E+00   -4.3013295E+00
 0.6300    8.6182953E-01    4.2984545E+00   -4.2984544E+00
 0.6400    8.3379467E-01    4.2916957E+00   -4.2916957E+00
 0.6500    8.0633006E-01    4.2810414E+00   -4.2810414E+00
 0.6600    7.7940375E-01    4.2663868E+00   -4.2663868E+00
 0.6700    7.5298021E-01    4.2475943E+00   -4.2475943E+00
 0.6800    7.2703772E-01    4.2245906E+00   -4.2245906E+00
 0.6900    7.0158495E-01    4.1974769E+00   -4.1974769E+00
 0.7000    6.7666480E-01    4.1665782E+00   -4.1665782E+00
 0.7100    6.5233815E-01    4.1323713E+00   -4.1323713E+00
 0.7200    6.2865709E-01    4.0953278E+00   -4.0953278E+00
 0.7300    6.0564625E-01    4.0557821E+00   -4.0557821E+00
 0.7400    5.8330147E-01    4.0138984E+00   -4.0138984E+00
 0.7500    5.6160037E-01    3.9697191E+00   -3.9697191E+00
 0.7600    5.4051504E-01    3.9232396E+00   -3.9232396E+00
 0.7700    5.2002185E-01    3.8744754E+00   -3.8744754E+00
 0.7800    5.0010657E-01    3.8235047E+00   -3.8235047E+00
 0.7900    4.8076437E-01    3.7704772E+00   -3.7704772E+00
 0.8000    4.6199675E-01    3.7155984E+00   -3.7155984E+00
 0.8100    4.4380993E-01    3.6591222E+00   -3.6591222E+00
 0.8200    4.2621527E-01    3.6013603E+00   -3.6013603E+00
 0.8300    4.0922708E-01    3.5426677E+00   -3.5426677E+00
 0.8400    3.9285418E-01    3.4833716E+00   -3.4833716E+00
 0.8500    3.7709010E-01    3.4236775E+00   -3.4236775E+00
 0.8600    3.6191169E-01    3.3636390E+00   -3.3636390E+00
 0.8700    3.4728978E-01    3.3032418E+00   -3.3032418E+00
 0.8800    3.3320425E-01    3.2425430E+00   -3.2425430E+00
 0.8900    3.1965182E-01    3.1817574E+00   -3.1817574E+00
 0.9000    3.0664162E-01    3.1212315E+00   -3.1212315E+00
 0.9100    2.9418428E-01    3.0613438E+00   -3.0613438E+00
 0.9200    2.8228326E-01    3.0024144E+00   -3.0024144E+00
 0.9300    2.7093220E-01    2.9446683E+00   -2.9446683E+00
 0.9400    2.6011632E-01    2.8882393E+00   -2.8882393E+00
 0.9500    2.4981499E-01    2.8331891E+00   -2.8331891E+00
 0.9600    2.4000562E-01    2.7795452E+00   -2.7795452E+00
 0.9700    2.3066974E-01    2.7273693E+00   -2.7273693E+00
 0.9800    2.2179851E-01    2.6768291E+00   -2.6768291E+00
 0.9900    2.1339294E-01    2.6282115E+00   -2.6282115E+00
 1.0000    2.0545694E-01    2.5818481E+00   -2.5818481E+00
 1.0100    1.9798696E-01    2.5379859E+00   -2.5379859E+00
 1.0200    1.9096366E-01    2.4966688E+00   -2.4966688E+00
 1.0300    1.8435003E-01    2.4576924E+00   -2.4576924E+00
 1.0400    1.7809829E-01    2.4206739E+00   -2.4206739E+00
 1.0500    1.7216389E-01    2.3852315E+00   -2.3852315E+00
 1.0600    1.6651981E-01    2.3511887E+00   -2.3511887E+00
 1.0700    1.6116108E-01    2.3186628E+00   -2.3186628E+00
 1.0800    1.5609633E-01    2.2879687E+00   -2.2879687E+00
 1.0900    1.5133309E-01    2.2594189E+00   -2.2594189E+00
 1.1000    1.4686812E-01    2.2331751E+00   -2.2331751E+00
 1.1100    1.4268726E-01    2.2092304E+00   -2.2092304E+00
 1.1200    1.3877018E-01    2.1874698E+00   -2.1874698E+00
 1.1300    1.3509404E-01    2.1677188E+00   -2.1677188E+00
 1.1400    1.3163415E-01    2.1497509E+00   -2.1497509E+00
 1.1500    1.2836411E-01    2.1332863E+00   -2.1332863E+00
 1.1600    1.2525724E-01    2.1180133E+00   -2.1180133E+00
 1.1700    1.2228871E-01    2.1036231E+00   -2.1036231E+00
 1.1800    1.1943652E-01    2.0898303E+00   -2.0898303E+00
 1.1900    1.1668141E-01    2.0763733E+00   -2.0763733E+00
 1.2000    1.1400663E-01    2.0630154E+00   -2.0630154E+00
 1.2100    1.1139866E-01    2.0495597E+00   -2.0495597E+00
 1.2200    1.0884814E-01    2.0358723E+00   -2.0358723E+00
 1.2300    1.0635034E-01    2.0218966E+00   -2.0218966E+00
 1.2400    1.0390434E-01    2.0076451E+00   -2.0076451E+00
 1.2500    1.0151154E-01    1.9931745E+00   -1.9931745E+00
 1.2600    9.9173852E-02    1.9785550E+00   -1.9785550E+00
