# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.2098581E+00    0.0000000E+00    4.7873074E+01
 0.0100    4.2055212E+00    5.2848138E-03    4.7629021E+01
 0.0200    4.2000427E+00    2.1111717E-02    4.6904012E+01
 0.0300    4.1931934E+00    4.7423900E-02    4.5719114E+01
 0.0400    4.1847301E+00    8.4138991E-02    4.4108278E+01
 0.0500    4.1743864E+00    1.3114222E-01    4.2116697E+01
 0.0600    4.1618673E+00    1.8827844E-01    3.9798674E+01
 0.0700    4.1468744E+00    2.5534469E-01    3.7215127E+01
 0.0800    4.1291650E+00    3.3208715E-01    3.4430899E+01
 0.0900    4.1086124E+00    4.1820580E-01    3.1512024E+01
 0.1000    4.0852238E+00    5.1336437E-01    2.8523123E+01
 0.1100    4.0591066E+00    6.1719968E-01    2.5525062E+01
 0.1200    4.0304109E+00    7.2932598E-01    2.2573001E+01
 0.1300    3.9992831E+00    8.4933440E-01    1.9714897E+01
 0.1400    3.9658447E+00    9.7679097E-01    1.6990505E+01
 0.1500    3.9301953E+00    1.1112365E+00    1.4430875E+01
 0.1600    3.8924265E+00    1.2521901E+00    1.2058310E+01
 0.1700    3.8526345E+00    1.3991540E+00    9.8867353E+00
 0.1800    3.8109226E+00    1.5516187E+00    7.9224003E+00
 0.1900    3.7673936E+00    1.7090630E+00    6.1648348E+00
 0.2000    3.7221382E+00    1.8709507E+00    4.6079653E+00
 0.2100    3.6752312E+00    2.0367284E+00    3.2413031E+00
 0.2200    3.6267374E+00    2.2058265E+00    2.0511247E+00
 0.2300    3.5767231E+00    2.3776661E+00    1.0215785E+00
 0.2400    3.5252641E+00    2.5516671E+00    1.3567658E-01
 0.2500    3.4724475E+00    2.7272539E+00   -6.2385780E-01
 0.2600    3.4183686E+00    2.9038585E+00   -1.2739022E+00
 0.2700    3.3631264E+00    3.0809212E+00   -1.8304090E+00
 0.2800    3.3068185E+00    3.2578890E+00   -2.3080348E+00
 0.2900    3.2495383E+00    3.4342153E+00   -2.7199114E+00
 0.3000    3.1913740E+00    3.6093590E+00   -3.0775371E+00
 0.3100    3.1324098E+00    3.7827864E+00   -3.3907681E+00
 0.3200    3.0727289E+00    3.9539764E+00   -3.6678858E+00
 0.3300    3.0124166E+00    4.1224251E+00   -3.9157168E+00
 0.3400    2.9515598E+00    4.2876496E+00   -4.1397833E+00
 0.3500    2.8902459E+00    4.4491879E+00   -4.3444660E+00
 0.3600    2.8285596E+00    4.6065968E+00   -4.5331686E+00
 0.3700    2.7665814E+00    4.7594499E+00   -4.7084763E+00
 0.3800    2.7043877E+00    4.9073384E+00   -4.8723047E+00
 0.3900    2.6420524E+00    5.0498736E+00   -5.0260349E+00
 0.4000    2.5796484E+00    5.1866908E+00   -5.1706312E+00
 0.4100    2.5172477E+00    5.3174514E+00   -5.3067400E+00
 0.4200    2.4549212E+00    5.4418429E+00   -5.4347698E+00
 0.4300    2.3927382E+00    5.5595796E+00   -5.5549554E+00
 0.4400    2.3307652E+00    5.6704007E+00   -5.6674076E+00
 0.4500    2.2690654E+00    5.7740681E+00   -5.7721500E+00
 0.4600    2.2076974E+00    5.8703645E+00   -5.8691476E+00
 0.4700    2.1467160E+00    5.9590930E+00   -5.9583286E+00
 0.4800    2.0861736E+00    6.0400814E+00   -6.0396061E+00
 0.4900    2.0261226E+00    6.1131878E+00   -6.1128951E+00
 0.5000    1.9666152E+00    6.1783037E+00   -6.1781253E+00
 0.5100    1.9077027E+00    6.2353509E+00   -6.2352432E+00
 0.5200    1.8494328E+00    6.2842741E+00   -6.2842097E+00
 0.5300    1.7918490E+00    6.3250363E+00   -6.3249982E+00
 0.5400    1.7349909E+00    6.3576203E+00   -6.3575980E+00
 0.5500    1.6788966E+00    6.3820351E+00   -6.3820221E+00
 0.5600    1.6236036E+00    6.3983195E+00   -6.3983121E+00
 0.5700    1.5691487E+00    6.4065419E+00   -6.4065377E+00
 0.5800    1.5155663E+00    6.4067944E+00   -6.4067921E+00
 0.5900    1.4628877E+00    6.3991883E+00   -6.3991870E+00
 0.6000    1.4111413E+00    6.3838530E+00   -6.3838523E+00
 0.6100    1.3603533E+00    6.3609393E+00   -6.3609389E+00
 0.6200    1.3105486E+00    6.3306218E+00   -6.3306215E+00
 0.6300    1.2617509E+00    6.2930993E+00   -6.2930992E+00
 0.6400    1.2139826E+00    6.2485933E+00   -6.2485933E+00
 0.6500    1.1672641E+00    6.1973457E+00   -6.1973456E+00
 0.6600    1.1216141E+00    6.1396157E+00   -6.1396157E+00
 0.6700    1.0770480E+00    6.0756751E+00   -6.0756751E+00
 0.6800    1.0335779E+00    6.0058007E+00   -6.0058007E+00
 0.6900    9.9121232E-01    5.9302737E+00   -5.9302737E+00
 0.7000    9.4995865E-01    5.8493909E+00   -5.8493909E+00
 0.7100    9.0982588E-01    5.7634808E+00   -5.7634808E+00
 0.7200    8.7082520E-01    5.6729094E+00   -5.6729094E+00
 0.7300    8.3296761E-01    5.5780666E+00   -5.5780666E+00
 0.7400    7.9626057E-01    5.4793433E+00   -5.4793433E+00
 0.7500    7.6070673E-01    5.3771190E+00   -5.3771190E+00
 0.7600    7.2630557E-01    5.2717696E+00   -5.2717696E+00
 0.7700    6.9305635E-01    5.1636864E+00   -5.1636864E+00
 0.7800    6.6095991E-01    5.0532896E+00   -5.0532896E+00
 0.7900    6.3001812E-01    4.9410254E+00   -4.9410254E+00
 0.8000    6.0023152E-01    4.8273483E+00   -4.8273483E+00
 0.8100    5.7159669E-01    4.7126979E+00   -4.7126979E+00
 0.8200    5.4410514E-01    4.5974858E+00   -4.5974858E+00
