# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    6.3201079E+00    0.0000000E+00    5.5851919E+01
 0.0100    6.3120730E+00    7.9319849E-03    5.5565425E+01
 0.0200    6.3019254E+00    3.1676932E-02    5.4714300E+01
 0.0300    6.2892434E+00    7.1129667E-02    5.3323164E+01
 0.0400    6.2735815E+00    1.2613784E-01    5.1431682E+01
 0.0500    6.2544540E+00    1.9648947E-01    4.9092656E+01
 0.0600    6.2313245E+00    2.8189848E-01    4.6369546E+01
 0.0700    6.2036504E+00    3.8199111E-01    4.3333560E+01
 0.0800    6.1709916E+00    4.9630059E-01    4.0060517E+01
 0.0900    6.1331217E+00    6.2427575E-01    3.6627659E+01
 0.1000    6.0900628E+00    7.6529986E-01    3.3110602E+01
 0.1100    6.0420256E+00    9.1870864E-01    2.9580596E+01
 0.1200    5.9893063E+00    1.0837993E+00    2.6102248E+01
 0.1300    5.9321999E+00    1.2598312E+00    2.2731772E+01
 0.1400    5.8709611E+00    1.4460228E+00    1.9515822E+01
 0.1500    5.8058048E+00    1.6415526E+00    1.6490911E+01
 0.1600    5.7369278E+00    1.8455644E+00    1.3683352E+01
 0.1700    5.6645289E+00    2.0571763E+00    1.1109695E+01
 0.1800    5.5888157E+00    2.2754886E+00    8.7775336E+00
 0.1900    5.5099931E+00    2.4995862E+00    6.6866278E+00
 0.2000    5.4282477E+00    2.7285349E+00    4.8302004E+00
 0.2100    5.3437420E+00    2.9613786E+00    3.1963248E+00
 0.2200    5.2566234E+00    3.1971432E+00    1.7692998E+00
 0.2300    5.1670416E+00    3.4348478E+00    5.3093750E-01
 0.2400    5.0751613E+00    3.6735182E+00   -5.3828393E-01
 0.2500    4.9811641E+00    3.9121972E+00   -1.4582351E+00
 0.2600    4.8852439E+00    4.1499495E+00   -2.2483338E+00
 0.2700    4.7875977E+00    4.3858628E+00   -2.9269319E+00
 0.2800    4.6884195E+00    4.6190471E+00   -3.5108839E+00
 0.2900    4.5878956E+00    4.8486338E+00   -4.0152793E+00
 0.3000    4.4862036E+00    5.0737767E+00   -4.4533179E+00
 0.3100    4.3835147E+00    5.2936560E+00   -4.8363014E+00
 0.3200    4.2799975E+00    5.5074852E+00   -5.1737128E+00
 0.3300    4.1758200E+00    5.7145169E+00   -5.4733572E+00
 0.3400    4.0711500E+00    5.9140475E+00   -5.7415368E+00
 0.3500    3.9661528E+00    6.1054179E+00   -5.9832423E+00
 0.3600    3.8609890E+00    6.2880131E+00   -6.2023468E+00
 0.3700    3.7558134E+00    6.4612615E+00   -6.4017923E+00
 0.3800    3.6507742E+00    6.6246361E+00   -6.5837635E+00
 0.3900    3.5460141E+00    6.7776562E+00   -6.7498444E+00
 0.4000    3.4416710E+00    6.9198902E+00   -6.9011540E+00
 0.4100    3.3378787E+00    7.0509581E+00   -7.0384615E+00
 0.4200    3.2347666E+00    7.1705322E+00   -7.1622802E+00
 0.4300    3.1324588E+00    7.2783368E+00   -7.2729419E+00
 0.4400    3.0310743E+00    7.3741472E+00   -7.3706552E+00
 0.4500    2.9307256E+00    7.4577882E+00   -7.4555505E+00
 0.4600    2.8315191E+00    7.5291340E+00   -7.5277143E+00
 0.4700    2.7335557E+00    7.5881080E+00   -7.5872163E+00
 0.4800    2.6369304E+00    7.6346831E+00   -7.6341285E+00
 0.4900    2.5417337E+00    7.6688822E+00   -7.6685407E+00
 0.5000    2.4480509E+00    7.6907786E+00   -7.6905704E+00
 0.5100    2.3559626E+00    7.7004943E+00   -7.7003686E+00
 0.5200    2.2655438E+00    7.6981968E+00   -7.6981218E+00
 0.5300    2.1768637E+00    7.6840972E+00   -7.6840528E+00
 0.5400    2.0899862E+00    7.6584486E+00   -7.6584226E+00
 0.5500    2.0049703E+00    7.6215479E+00   -7.6215328E+00
 0.5600    1.9218708E+00    7.5737352E+00   -7.5737265E+00
 0.5700    1.8407385E+00    7.5153924E+00   -7.5153875E+00
 0.5800    1.7616190E+00    7.4469399E+00   -7.4469371E+00
 0.5900    1.6845538E+00    7.3688340E+00   -7.3688325E+00
 0.6000    1.6095794E+00    7.2815656E+00   -7.2815648E+00
 0.6100    1.5367283E+00    7.1856593E+00   -7.1856588E+00
 0.6200    1.4660290E+00    7.0816719E+00   -7.0816717E+00
 0.6300    1.3975059E+00    6.9701898E+00   -6.9701897E+00
 0.6400    1.3311789E+00    6.8518247E+00   -6.8518246E+00
 0.6500    1.2670636E+00    6.7272102E+00   -6.7272102E+00
 0.6600    1.2051711E+00    6.5969993E+00   -6.5969993E+00
 0.6700    1.1455082E+00    6.4618620E+00   -6.4618620E+00
 0.6800    1.0880777E+00    6.3224818E+00   -6.3224818E+00
 0.6900    1.0328780E+00    6.1795530E+00   -6.1795530E+00
 0.7000    9.7990351E-01    6.0337770E+00   -6.0337770E+00
 0.7100    9.2914443E-01    5.8858581E+00   -5.8858581E+00
 0.7200    8.8058672E-01    5.7364999E+00   -5.7364999E+00
 0.7300    8.3421217E-01    5.5864010E+00   -5.5864010E+00
 0.7400    7.8999855E-01    5.4362522E+00   -5.4362522E+00
 0.7500    7.4791973E-01    5.2867330E+00   -5.2867330E+00
 0.7600    7.0794564E-01    5.1385071E+00   -5.1385071E+00
 0.7700    6.7004234E-01    4.9922182E+00   -4.9922182E+00
 0.7800    6.3417199E-01    4.8484858E+00   -4.8484858E+00
 0.7900    6.0029302E-01    4.7079012E+00   -4.7079012E+00
 0.8000    5.6836014E-01    4.5710234E+00   -4.5710234E+00
 0.8100    5.3832411E-01    4.4383724E+00   -4.4383724E+00
 0.8200    5.1013162E-01    4.3104222E+00   -4.3104222E+00
 0.8300    4.8372536E-01    4.1875973E+00   -4.1875973E+00
 0.8400    4.5904452E-01    4.0702703E+00   -4.0702703E+00
 0.8500    4.3602515E-01    3.9587608E+00   -3.9587608E+00
 0.8600    4.1460024E-01    3.8533310E+00   -3.8533310E+00
 0.8700    3.9469952E-01    3.7541789E+00   -3.7541789E+00
 0.8800    3.7624934E-01    3.6614319E+00   -3.6614319E+00
 0.8900    3.5917305E-01    3.5751446E+00   -3.5751446E+00
 0.9000    3.4339151E-01    3.4952999E+00   -3.4952999E+00
 0.9100    3.2882381E-01    3.4218101E+00   -3.4218101E+00
 0.9200    3.1538751E-01    3.3545171E+00   -3.3545171E+00
 0.9300    3.0299878E-01    3.2931888E+00   -3.2931888E+00
 0.9400    2.9157231E-01    3.2375155E+00   -3.2375155E+00
 0.9500    2.8102154E-01    3.1871073E+00   -3.1871073E+00
 0.9600    2.7125898E-01    3.1414956E+00   -3.1414956E+00
 0.9700    2.6219703E-01    3.1001385E+00   -3.1001385E+00
 0.9800    2.5374903E-01    3.0624317E+00   -3.0624317E+00
 0.9900    2.4583089E-01    3.0277270E+00   -3.0277270E+00
 1.0000    2.3836321E-01    2.9953605E+00   -2.9953605E+00
 1.0100    2.3127393E-01    2.9646900E+00   -2.9646900E+00
 1.0200    2.2450101E-01    2.9351378E+00   -2.9351378E+00
 1.0300    2.1799455E-01    2.9062298E+00   -2.9062298E+00
 1.0400    2.1171754E-01    2.8776196E+00   -2.8776196E+00
 1.0500    2.0564491E-01    2.8490916E+00   -2.8490916E+00
 1.0600    1.9976121E-01    2.8205432E+00   -2.8205432E+00
 1.0700    1.9405771E-01    2.7919544E+00   -2.7919544E+00
 1.0800    1.8852961E-01    2.7633566E+00   -2.7633566E+00
 1.0900    1.8317393E-01    2.7348060E+00   -2.7348060E+00
 1.1000    1.7798825E-01    2.7063662E+00   -2.7063662E+00
 1.1100    1.7296994E-01    2.6780979E+00   -2.6780979E+00
 1.1200    1.6811594E-01    2.6500545E+00   -2.6500545E+00
 1.1300    1.6342267E-01    2.6222799E+00   -2.6222799E+00
 1.1400    1.5888613E-01    2.5948099E+00   -2.5948099E+00
 1.1500    1.5450198E-01    2.5676723E+00   -2.5676723E+00
 1.1600    1.5026569E-01    2.5408888E+00   -2.5408888E+00
 1.1700    1.4617253E-01    2.5144752E+00   -2.5144752E+00
 1.1800    1.4221767E-01    2.4884415E+00   -2.4884415E+00
 1.1900    1.3839610E-01    2.4627915E+00   -2.4627915E+00
 1.2000    1.3470276E-01    2.4375237E+00   -2.4375237E+00
 1.2100    1.3113252E-01    2.4126315E+00   -2.4126315E+00
 1.2200    1.2768030E-01    2.3881050E+00   -2.3881050E+00
 1.2300    1.2434113E-01    2.3639315E+00   -2.3639315E+00
 1.2400    1.2111015E-01    2.3400966E+00   -2.3400966E+00
 1.2500    1.1798267E-01    2.3165843E+00   -2.3165843E+00
 1.2600    1.1495411E-01    2.2933771E+00   -2.2933771E+00
 1.2700    1.1202011E-01    2.2704570E+00   -2.2704570E+00
 1.2800    1.0917647E-01    2.2478062E+00   -2.2478062E+00
 1.2900    1.0641922E-01    2.2254065E+00   -2.2254065E+00
 1.3000    1.0374454E-01    2.2032401E+00   -2.2032401E+00
 1.3100    1.0114879E-01    2.1812887E+00   -2.1812887E+00
 1.3200    9.8628490E-02    2.1595343E+00   -2.1595343E+00
 1.3300    9.6180350E-02    2.1379596E+00   -2.1379596E+00
 1.3400    9.3801279E-02    2.1165485E+00   -2.1165485E+00
 1.3500    9.1488396E-02    2.0952865E+00   -2.0952865E+00
 1.3600    8.9239017E-02    2.0741610E+00   -2.0741610E+00
 1.3700    8.7050629E-02    2.0531606E+00   -2.0531606E+00
 1.3800    8.4920880E-02    2.0322752E+00   -2.0322752E+00
 1.3900    8.2847566E-02    2.0114962E+00   -2.0114962E+00
 1.4000    8.0828629E-02    1.9908161E+00   -1.9908161E+00
 1.4100    7.8862142E-02    1.9702288E+00   -1.9702288E+00
 1.4200    7.6946292E-02    1.9497290E+00   -1.9497290E+00
 1.4300    7.5079369E-02    1.9293124E+00   -1.9293124E+00
 1.4400    7.3259763E-02    1.9089755E+00   -1.9089755E+00
 1.4500    7.1485985E-02    1.8887165E+00   -1.8887165E+00
 1.4600    6.9756665E-02    1.8685352E+00   -1.8685352E+00
 1.4700    6.8070540E-02    1.8484331E+00   -1.8484331E+00
 1.4800    6.6426408E-02    1.8284120E+00   -1.8284120E+00
 1.4900    6.4823087E-02    1.8084733E+00   -1.8084733E+00
 1.5000    6.3259400E-02    1.7886174E+00   -1.7886174E+00
 1.5100    6.1734192E-02    1.7688440E+00   -1.7688440E+00
 1.5200    6.0246364E-02    1.7491533E+00   -1.7491533E+00
 1.5300    5.8794903E-02    1.7295471E+00   -1.7295471E+00
 1.5400    5.7378880E-02    1.7100286E+00   -1.7100286E+00
 1.5500    5.5997424E-02    1.6906017E+00   -1.6906017E+00
 1.5600    5.4649689E-02    1.6712705E+00   -1.6712705E+00
 1.5700    5.3334829E-02    1.6520382E+00   -1.6520382E+00
 1.5800    5.2052000E-02    1.6329070E+00   -1.6329070E+00
 1.5900    5.0800362E-02    1.6138788E+00   -1.6138788E+00
 1.6000    4.9579099E-02    1.5949551E+00   -1.5949551E+00
