# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    8.5176021E+00    0.0000000E+00    6.3830765E+01
 0.0100    8.5065345E+00    1.0689626E-02    6.3501718E+01
 0.0200    8.4925542E+00    4.2688233E-02    6.2524143E+01
 0.0300    8.4750775E+00    9.5850868E-02    6.0926200E+01
 0.0400    8.4534856E+00    1.6996741E-01    5.8753255E+01
 0.0500    8.4271023E+00    2.6474523E-01    5.6065707E+01
 0.0600    8.3951815E+00    3.7978907E-01    5.2936147E+01
 0.0700    8.3569713E+00    5.1458231E-01    4.9446047E+01
 0.0800    8.3118664E+00    6.6847996E-01    4.5682168E+01
 0.0900    8.2595621E+00    8.4072102E-01    4.1732919E+01
 0.1000    8.2000983E+00    1.0304547E+00    3.7684861E+01
 0.1100    8.1337725E+00    1.2367652E+00    3.3619583E+01
 0.1200    8.0609922E+00    1.4586828E+00    2.9611086E+01
 0.1300    7.9821541E+00    1.6951833E+00    2.5723791E+01
 0.1400    7.8975929E+00    1.9451839E+00    2.2011211E+01
 0.1500    7.8075878E+00    2.2075435E+00    1.8515272E+01
 0.1600    7.7123975E+00    2.4810712E+00    1.5266262E+01
 0.1700    7.6122896E+00    2.7645408E+00    1.2283312E+01
 0.1800    7.5075479E+00    3.0567012E+00    9.5753241E+00
 0.1900    7.3984545E+00    3.3562792E+00    7.1422512E+00
 0.2000    7.2852671E+00    3.6619747E+00    4.9765800E+00
 0.2100    7.1682098E+00    3.9724566E+00    3.0649187E+00
 0.2200    7.0474870E+00    4.2863686E+00    1.3895663E+00
 0.2300    6.9233074E+00    4.6023448E+00   -7.0018731E-02
 0.2400    6.7959010E+00    4.9190291E+00   -1.3359043E+00
 0.2500    6.6655217E+00    5.2350885E+00   -2.4305604E+00
 0.2600    6.5324374E+00    5.5492184E+00   -3.3759433E+00
 0.2700    6.3969187E+00    5.8601432E+00   -4.1927936E+00
 0.2800    6.2592307E+00    6.1666157E+00   -4.9001434E+00
 0.2900    6.1196299E+00    6.4674193E+00   -5.5150141E+00
