# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    9.6446455E+00    0.0000000E+00    7.1809610E+01
 0.0100    9.6329136E+00    1.2105076E-02    7.1439353E+01
 0.0200    9.6180945E+00    4.8345816E-02    7.0339339E+01
 0.0300    9.5995694E+00    1.0856857E-01    6.8541238E+01
 0.0400    9.5766828E+00    1.9255063E-01    6.6096075E+01
 0.0500    9.5487172E+00    2.9998180E-01    6.3071777E+01
 0.0600    9.5148798E+00    4.3044302E-01    5.9549985E+01
 0.0700    9.4743687E+00    5.8338630E-01    5.5622322E+01
 0.0800    9.4265333E+00    7.5812679E-01    5.1386353E+01
 0.0900    9.3710371E+00    9.5385540E-01    4.6941490E+01
 0.1000    9.3079076E+00    1.1696662E+00    4.2385064E+01
 0.1100    9.2374471E+00    1.4045823E+00    3.7808810E+01
 0.1200    9.1600807E+00    1.6575691E+00    3.3295921E+01
 0.1300    9.0762297E+00    1.9275340E+00    2.8918813E+01
 0.1400    8.9862532E+00    2.2133219E+00    2.4737622E+01
 0.1500    8.8904483E+00    2.5137150E+00    2.0799452E+01
 0.1600    8.7890803E+00    2.8274391E+00    1.7138311E+01
 0.1700    8.6824138E+00    3.1531758E+00    1.3775658E+01
 0.1800    8.5707243E+00    3.4895739E+00    1.0721455E+01
 0.1900    8.4542882E+00    3.8352539E+00    7.9755928E+00
 0.2000    8.3333646E+00    4.1888059E+00    5.5295680E+00
 0.2100    8.2081857E+00    4.5487873E+00    3.3682600E+00
 0.2200    8.0789630E+00    4.9137250E+00    1.4717017E+00
 0.2300    7.9459006E+00    5.2821249E+00   -1.8325807E-01
 0.2400    7.8092094E+00    5.6524850E+00   -1.6214695E+00
 0.2500    7.6691226E+00    6.0233148E+00   -2.8682207E+00
 0.2600    7.5259106E+00    6.3931606E+00   -3.9482262E+00
 0.2700    7.3798859E+00    6.7606280E+00   -4.8848597E+00
 0.2800    7.2313837E+00    7.1243842E+00   -5.6996029E+00
 0.2900    7.0807255E+00    7.4831357E+00   -6.4116798E+00
 0.3000    6.9281852E+00    7.8355929E+00   -7.0378602E+00
 0.3100    6.7739791E+00    8.1804483E+00   -7.5924208E+00
 0.3200    6.6182834E+00    8.5163830E+00   -8.0872471E+00
 0.3300    6.4612681E+00    8.8421016E+00   -8.5320392E+00
 0.3400    6.3031280E+00    9.1563803E+00   -8.9345809E+00
 0.3500    6.1441004E+00    9.4581077E+00   -9.3010248E+00
 0.3600    5.9844590E+00    9.7462997E+00   -9.6361574E+00
 0.3700    5.8244889E+00    1.0020079E+01   -9.9436183E+00
 0.3800    5.6644537E+00    1.0278626E+01   -1.0226076E+01
 0.3900    5.5045722E+00    1.0521136E+01   -1.0485378E+01
 0.4000    5.3450213E+00    1.0746803E+01   -1.0722713E+01
 0.4100    5.1859673E+00    1.0954873E+01   -1.0938806E+01
 0.4200    5.0276138E+00    1.1144751E+01   -1.1134141E+01
 0.4300    4.8702268E+00    1.1316079E+01   -1.1309142E+01
 0.4400    4.7141034E+00    1.1468703E+01   -1.1464214E+01
 0.4500    4.5594930E+00    1.1602496E+01   -1.1599619E+01
 0.4600    4.4065261E+00    1.1717147E+01   -1.1715322E+01
 0.4700    4.2552184E+00    1.1812109E+01   -1.1810962E+01
 0.4800    4.1055605E+00    1.1886796E+01   -1.1886083E+01
 0.4900    3.9576273E+00    1.1940896E+01   -1.1940457E+01
 0.5000    3.8116149E+00    1.1974541E+01   -1.1974274E+01
 0.5100    3.6677711E+00    1.1988158E+01   -1.1987996E+01
 0.5200    3.5262774E+00    1.1982102E+01   -1.1982006E+01
 0.5300    3.3871902E+00    1.1956421E+01   -1.1956364E+01
 0.5400    3.2504988E+00    1.1910977E+01   -1.1910944E+01
 0.5500    3.1162563E+00    1.1845910E+01   -1.1845890E+01
 0.5600    2.9846746E+00    1.1762047E+01   -1.1762036E+01
 0.5700    2.8560957E+00    1.1660907E+01   -1.1660901E+01
 0.5800    2.7308515E+00    1.1544202E+01   -1.1544199E+01
 0.5900    2.6091108E+00    1.1413173E+01   -1.1413171E+01
 0.6000    2.4908245E+00    1.1268224E+01   -1.1268223E+01
 0.6100    2.3758017E+00    1.1109121E+01   -1.1109121E+01
 0.6200    2.2638586E+00    1.0935598E+01   -1.0935598E+01
 0.6300    2.1549362E+00    1.0747943E+01   -1.0747943E+01
 0.6400    2.0491179E+00    1.0547190E+01   -1.0547190E+01
 0.6500    1.9465569E+00    1.0334838E+01   -1.0334838E+01
 0.6600    1.8473765E+00    1.0112375E+01   -1.0112375E+01
 0.6700    1.7516164E+00    9.8809450E+00   -9.8809450E+00
 0.6800    1.6592422E+00    9.6413418E+00   -9.6413418E+00
 0.6900    1.5701943E+00    9.3942352E+00   -9.3942352E+00
 0.7000    1.4844366E+00    9.1404506E+00   -9.1404506E+00
