# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.4058482E+01    0.0000000E+00    7.9788456E+01
 0.0100    1.4038888E+01    1.7641787E-02    7.9372868E+01
 0.0200    1.4014142E+01    7.0442759E-02    7.8138096E+01
 0.0300    1.3983214E+01    1.5814643E-01    7.6119417E+01
 0.0400    1.3945019E+01    2.8038124E-01    7.3373647E+01
 0.0500    1.3898370E+01    4.3663018E-01    6.9976435E+01
 0.0600    1.3841960E+01    6.2619552E-01    6.6018725E+01
 0.0700    1.3774467E+01    8.4816578E-01    6.1602621E+01
 0.0800    1.3694821E+01    1.1014029E+00    5.6836908E+01
 0.0900    1.3602477E+01    1.3845635E+00    5.1832486E+01
 0.1000    1.3497492E+01    1.6961449E+00    4.6698000E+01
 0.1100    1.3380383E+01    2.0345285E+00    4.1535907E+01
 0.1200    1.3251862E+01    2.3980004E+00    3.6439211E+01
 0.1300    1.3112627E+01    2.7847503E+00    3.1488968E+01
 0.1400    1.2963265E+01    3.1928634E+00    2.6752630E+01
 0.1500    1.2804267E+01    3.6203213E+00    2.2283198E+01
 0.1600    1.2636085E+01    4.0650169E+00    1.8119150E+01
 0.1700    1.2459189E+01    4.5247801E+00    1.4285035E+01
 0.1800    1.2274087E+01    4.9973995E+00    1.0792632E+01
 0.1900    1.2081287E+01    5.4806273E+00    7.6425356E+00
 0.2000    1.1881256E+01    5.9721707E+00    4.8260226E+00
 0.2100    1.1674399E+01    6.4696826E+00    2.3270366E+00
 0.2200    1.1461081E+01    6.9707711E+00    1.2414750E-01
 0.2300    1.1241676E+01    7.4730278E+00   -1.8076202E+00
 0.2400    1.1016592E+01    7.9740621E+00   -3.4951560E+00
 0.2500    1.0786283E+01    8.4715272E+00   -4.9658671E+00
 0.2600    1.0551236E+01    8.9631342E+00   -6.2465403E+00
 0.2700    1.0311949E+01    9.4466573E+00   -7.3624704E+00
 0.2800    1.0068921E+01    9.9199357E+00   -8.3368454E+00
 0.2900    9.8226371E+00    1.0380875E+01   -9.1903685E+00
 0.3000    9.5735689E+00    1.0827451E+01   -9.9410817E+00
 0.3100    9.3221749E+00    1.1257721E+01   -1.0604358E+01
 0.3200    9.0689067E+00    1.1669836E+01   -1.1193018E+01
 0.3300    8.8142138E+00    1.2062056E+01   -1.1717542E+01
 0.3400    8.5585444E+00    1.2432762E+01   -1.2186318E+01
 0.3500    8.3023431E+00    1.2780464E+01   -1.2605928E+01
 0.3600    8.0460459E+00    1.3103803E+01   -1.2981423E+01
 0.3700    7.7900764E+00    1.3401550E+01   -1.3316594E+01
 0.3800    7.5348451E+00    1.3672609E+01   -1.3614219E+01
 0.3900    7.2807496E+00    1.3916024E+01   -1.3876293E+01
