# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.7819944E+01    0.0000000E+00    8.7767302E+01
 0.0100    1.7793193E+01    2.2359586E-02    8.7307201E+01
 0.0200    1.7759407E+01    8.9268514E-02    8.5940124E+01
 0.0300    1.7717180E+01    2.0037659E-01    8.3704943E+01
 0.0400    1.7665029E+01    3.5517649E-01    8.0664254E+01
 0.0500    1.7601335E+01    5.5296225E-01    7.6901410E+01
 0.0600    1.7524314E+01    7.9278130E-01    7.2516631E+01
 0.0700    1.7432168E+01    1.0733895E+00    6.7622476E+01
 0.0800    1.7323447E+01    1.3932343E+00    6.2338907E+01
 0.0900    1.7197423E+01    1.7504845E+00    5.6788271E+01
 0.1000    1.7054201E+01    2.1430941E+00    5.1090465E+01
 0.1100    1.6894511E+01    2.5688626E+00    4.5358616E+01
 0.1200    1.6719363E+01    3.0254647E+00    3.9695467E+01
 0.1300    1.6529749E+01    3.5104504E+00    3.4190640E+01
 0.1400    1.6326518E+01    4.0212354E+00    2.8918807E+01
 0.1500    1.6110380E+01    4.5551028E+00    2.3938768E+01
 0.1600    1.5881995E+01    5.1092232E+00    1.9293360E+01
 0.1700    1.5642037E+01    5.6806891E+00    1.5010108E+01
 0.1800    1.5391227E+01    6.2665444E+00    1.1102490E+01
 0.1900    1.5130286E+01    6.8637933E+00    7.5716859E+00
 0.2000    1.4859879E+01    7.4693897E+00    4.4086229E+00
 0.2100    1.4580591E+01    8.0802271E+00    1.5961640E+00
 0.2200    1.4292955E+01    8.6931514E+00   -8.8874097E-01
 0.2300    1.3997511E+01    9.3049995E+00   -3.0730512E+00
 0.2400    1.3694851E+01    9.9126476E+00   -4.9858509E+00
 0.2500    1.3385631E+01    1.0513050E+01   -6.6568235E+00
 0.2600    1.3070550E+01    1.1103258E+01   -8.1150044E+00
 0.2700    1.2750327E+01    1.1680427E+01   -9.3878211E+00
 0.2800    1.2425669E+01    1.2241812E+01   -1.0500413E+01
 0.2900    1.2097257E+01    1.2784766E+01   -1.1475209E+01
 0.3000    1.1765745E+01    1.3306744E+01   -1.2331738E+01
 0.3100    1.1431767E+01    1.3805325E+01   -1.3086624E+01
 0.3200    1.1095952E+01    1.4278230E+01   -1.3753731E+01
 0.3300    1.0758929E+01    1.4723355E+01   -1.4344390E+01
 0.3400    1.0421328E+01    1.5138776E+01   -1.4867688E+01
 0.3500    1.0083766E+01    1.5522752E+01   -1.5330762E+01
 0.3600    9.7468441E+00    1.5873726E+01   -1.5739108E+01
 0.3700    9.4111403E+00    1.6190325E+01   -1.6096873E+01
 0.3800    9.0772114E+00    1.6471362E+01   -1.6407134E+01
 0.3900    8.7455957E+00    1.6715850E+01   -1.6672146E+01
 0.4000    8.4168152E+00    1.6923011E+01   -1.6893568E+01
 0.4100    8.0913752E+00    1.7092277E+01   -1.7072639E+01
 0.4200    7.7697610E+00    1.7223290E+01   -1.7210322E+01
 0.4300    7.4524336E+00    1.7315893E+01   -1.7307415E+01
 0.4400    7.1398272E+00    1.7370124E+01   -1.7364637E+01
 0.4500    6.8323516E+00    1.7386217E+01   -1.7382701E+01
 0.4600    6.5303938E+00    1.7364605E+01   -1.7362374E+01
 0.4700    6.2343189E+00    1.7305916E+01   -1.7304515E+01
 0.4800    5.9444682E+00    1.7210970E+01   -1.7210098E+01
 0.4900    5.6611578E+00    1.7080764E+01   -1.7080227E+01
 0.5000    5.3846791E+00    1.6916468E+01   -1.6916141E+01
 0.5100    5.1152983E+00    1.6719419E+01   -1.6719222E+01
 0.5200    4.8532546E+00    1.6491100E+01   -1.6490982E+01
 0.5300    4.5987591E+00    1.6233130E+01   -1.6233060E+01
