# total charge: 1.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.3170426E-02    0.0000000E+00    7.9788456E+00
 0.0100    1.3165796E-02    1.6544627E-05    7.9390344E+00
 0.0200    1.3159962E-02    6.6149183E-05    7.8207877E+00
 0.0300    1.3152699E-02    1.4875353E-04    7.6276076E+00
 0.0400    1.3143787E-02    2.6427152E-04    7.3651385E+00
 0.0500    1.3133002E-02    4.1258544E-04    7.0408939E+00
 0.0600    1.3120117E-02    5.9354012E-04    6.6638985E+00
 0.0700    1.3104923E-02    8.0693845E-04    6.2442717E+00
 0.0800    1.3087287E-02    1.0525421E-03    5.7927785E+00
 0.0900    1.3067216E-02    1.3300806E-03    5.3203749E+00
 0.1000    1.3044873E-02    1.6392671E-03    4.8377752E+00
 0.1100    1.3020548E-02    1.9798145E-03    4.3550637E+00
 0.1200    1.2994597E-02    2.3514469E-03    3.8813697E+00
 0.1300    1.2967398E-02    2.7539078E-03    3.4246179E+00
 0.1400    1.2939322E-02    3.1869662E-03    2.9913623E+00
 0.1500    1.2910728E-02    3.6504224E-03    2.5867015E+00
 0.1600    1.2881962E-02    4.1441155E-03    2.2142726E+00
 0.1700    1.2853359E-02    4.6679300E-03    1.8763136E+00
 0.1800    1.2825249E-02    5.2218052E-03    1.5737814E+00
 0.1900    1.2797971E-02    5.8057481E-03    1.3065105E+00
 0.2000    1.2771880E-02    6.4198473E-03    1.0733995E+00
 0.2100    1.2747350E-02    7.0642874E-03    8.7260763E-01
 0.2200    1.2724766E-02    7.7393599E-03    7.0175250E-01
 0.2300    1.2704519E-02    8.4454689E-03    5.5809529E-01
 0.2400    1.2686993E-02    9.1831364E-03    4.3870747E-01
 0.2500    1.2672557E-02    9.9530031E-03    3.4061301E-01
 0.2600    1.2661565E-02    1.0755830E-02    2.6090355E-01
 0.2700    1.2654350E-02    1.1592503E-02    1.9682619E-01
 0.2800    1.2651235E-02    1.2464040E-02    1.4584499E-01
 0.2900    1.2652542E-02    1.3371608E-02    1.0567904E-01
 0.3000    1.2658597E-02    1.4316536E-02    7.4320432E-02
 0.3100    1.2669723E-02    1.5300315E-02    5.0036066E-02
 0.3200    1.2686226E-02    1.6324590E-02    3.1357174E-02
 0.3300    1.2708384E-02    1.7391141E-02    1.7060238E-02
 0.3400    1.2736444E-02    1.8501881E-02    6.1425025E-03
 0.3500    1.2770625E-02    1.9658850E-02   -2.2051961E-03
 0.3600    1.2811124E-02    2.0864217E-02   -8.6261782E-03
 0.3700    1.2858109E-02    2.2120269E-02   -1.3624664E-02
 0.3800    1.2911724E-02    2.3429407E-02   -1.7590468E-02
 0.3900    1.2972090E-02    2.4794139E-02   -2.0821030E-02
 0.4000    1.3039310E-02    2.6217089E-02   -2.3540484E-02
 0.4100    1.3113472E-02    2.7700988E-02   -2.5915755E-02
 0.4200    1.3194644E-02    2.9248670E-02   -2.8069808E-02
 0.4300    1.3282867E-02    3.0863034E-02   -3.0092330E-02
 0.4400    1.3378151E-02    3.2547026E-02   -3.2048177E-02
 0.4500    1.3480470E-02    3.4303617E-02   -3.3983943E-02
 0.4600    1.3589769E-02    3.6135795E-02   -3.5932978E-02
 0.4700    1.3705973E-02    3.8046564E-02   -3.7919168E-02
 0.4800    1.3828986E-02    4.0038949E-02   -3.9959723E-02
 0.4900    1.3958698E-02    4.2115984E-02   -4.2067205E-02
 0.5000    1.4094986E-02    4.4280705E-02   -4.4250971E-02
 0.5100    1.4237706E-02    4.6536126E-02   -4.6518182E-02
 0.5200    1.4386694E-02    4.8885217E-02   -4.8874495E-02
