# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.9360190E+01    0.0000000E+00    9.5746147E+01
 0.0100    1.9331886E+01    2.4293164E-02    9.5244318E+01
 0.0200    1.9296136E+01    9.6992958E-02    9.3753254E+01
 0.0300    1.9251452E+01    2.1772879E-01    9.1315347E+01
 0.0400    1.9196258E+01    3.8596366E-01    8.7998870E+01
 0.0500    1.9128835E+01    6.0095007E-01    8.3894728E+01
 0.0600    1.9047285E+01    8.6167888E-01    7.9112226E+01
 0.0700    1.8949693E+01    1.1668315E+00    7.3774113E+01
 0.0800    1.8834512E+01    1.5147614E+00    6.8011211E+01
 0.0900    1.8700957E+01    1.9035255E+00    6.1956934E+01
 0.1000    1.8549118E+01    2.3309509E+00    5.5742023E+01
 0.1100    1.8379747E+01    2.7946972E+00    4.9489825E+01
 0.1200    1.8193881E+01    3.2922872E+00    4.3312366E+01
 0.1300    1.7992533E+01    3.8211043E+00    3.7307358E+01
 0.1400    1.7776560E+01    4.3783821E+00    3.1556210E+01
 0.1500    1.7546676E+01    4.9612057E+00    2.6123017E+01
 0.1600    1.7303543E+01    5.5665340E+00    2.1054466E+01
 0.1700    1.7047854E+01    6.1912368E+00    1.6380542E+01
 0.1800    1.6780349E+01    6.8321260E+00    1.2115912E+01
 0.1900    1.6501774E+01    7.4859634E+00    8.2618322E+00
 0.2000    1.6212811E+01    8.1494478E+00    4.8083842E+00
 0.2100    1.5914057E+01    8.8192036E+00    1.7368595E+00
 0.2200    1.5606055E+01    9.4917950E+00   -9.7789276E-01
 0.2300    1.5289358E+01    1.0163769E+01   -3.3652797E+00
 0.2400    1.4964578E+01    1.0831705E+01   -5.4570174E+00
 0.2500    1.4632393E+01    1.1492254E+01   -7.2854623E+00
 0.2600    1.4293528E+01    1.2142161E+01   -8.8822483E+00
 0.2700    1.3948724E+01    1.2778265E+01   -1.0277241E+01
 0.2800    1.3598720E+01    1.3397506E+01   -1.1497798E+01
 0.2900    1.3244234E+01    1.3996928E+01   -1.2568320E+01
 0.3000    1.2885966E+01    1.4573684E+01   -1.3510040E+01
 0.3100    1.2524600E+01    1.5125060E+01   -1.4341024E+01
 0.3200    1.2160817E+01    1.5648496E+01   -1.5076314E+01
 0.3300    1.1795298E+01    1.6141603E+01   -1.5728187E+01
 0.3400    1.1428719E+01    1.6602186E+01   -1.6306453E+01
 0.3500    1.1061749E+01    1.7028240E+01   -1.6818796E+01
 0.3600    1.0695042E+01    1.7417963E+01   -1.7271106E+01
 0.3700    1.0329232E+01    1.7769750E+01   -1.7667803E+01
 0.3800    9.9649331E+00    1.8082207E+01   -1.8012140E+01
 0.3900    9.6027412E+00    1.8354151E+01   -1.8306474E+01
 0.4000    9.2432340E+00    1.8584625E+01   -1.8552505E+01
 0.4100    8.8869749E+00    1.8772907E+01   -1.8751484E+01
 0.4200    8.5345130E+00    1.8918521E+01   -1.8904375E+01
 0.4300    8.1863800E+00    1.9021233E+01   -1.9011985E+01
 0.4400    7.8430849E+00    1.9081044E+01   -1.9075058E+01
 0.4500    7.5051095E+00    1.9098177E+01   -1.9094341E+01
 0.4600    7.1729050E+00    1.9073070E+01   -1.9070636E+01
 0.4700    6.8468920E+00    1.9006365E+01   -1.9004836E+01
 0.4800    6.5274618E+00    1.8898907E+01   -1.8897956E+01
 0.4900    6.2149801E+00    1.8751748E+01   -1.8751163E+01
 0.5000    5.9097895E+00    1.8566151E+01   -1.8565794E+01
 0.5100    5.6122087E+00    1.8343577E+01   -1.8343362E+01
 0.5200    5.3225289E+00    1.8085669E+01   -1.8085540E+01
 0.5300    5.0410098E+00    1.7794228E+01   -1.7794152E+01
 0.5400    4.7678801E+00    1.7471199E+01   -1.7471154E+01
 0.5500    4.5033409E+00    1.7118672E+01   -1.7118646E+01
 0.5600    4.2475686E+00    1.6738877E+01   -1.6738862E+01
 0.5700    4.0007149E+00    1.6334174E+01   -1.6334166E+01
 0.5800    3.7629043E+00    1.5907027E+01   -1.5907023E+01
 0.5900    3.5342322E+00    1.5459981E+01   -1.5459979E+01
 0.6000    3.3147647E+00    1.4995642E+01   -1.4995641E+01
 0.6100    3.1045411E+00    1.4516668E+01   -1.4516667E+01
 0.6200    2.9035751E+00    1.4025757E+01   -1.4025757E+01
 0.6300    2.7118561E+00    1.3525633E+01   -1.3525633E+01
 0.6400    2.5293485E+00    1.3019026E+01   -1.3019026E+01
 0.6500    2.3559912E+00    1.2508644E+01   -1.2508644E+01
 0.6600    2.1916984E+00    1.1997162E+01   -1.1997162E+01
 0.6700    2.0363607E+00    1.1487200E+01   -1.1487200E+01
 0.6800    1.8898466E+00    1.0981312E+01   -1.0981312E+01
 0.6900    1.7520029E+00    1.0481969E+01   -1.0481969E+01
 0.7000    1.6226558E+00    9.9915378E+00   -9.9915378E+00
 0.7100    1.5016114E+00    9.5122692E+00   -9.5122692E+00
 0.7200    1.3886567E+00    9.0462740E+00   -9.0462740E+00
 0.7300    1.2835594E+00    8.5955084E+00   -8.5955084E+00
 0.7400    1.1860706E+00    8.1617604E+00   -8.1617604E+00
 0.7500    1.0959252E+00    7.7466390E+00   -7.7466390E+00
