# total charge: 3.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.9306398E-02    0.0000000E+00    2.3936537E+01
 0.0100    3.9564191E-02    4.9717829E-05    2.3817103E+01
 0.0200    3.9889872E-02    2.0050837E-04    2.3462361E+01
 0.0300    4.0297102E-02    4.5574948E-04    2.2882813E+01
 0.0400    4.0800416E-02    8.2034105E-04    2.2095388E+01
 0.0500    4.1415782E-02    1.3011152E-03    2.1122618E+01
 0.0600    4.2160908E-02    1.9073145E-03    1.9991569E+01
 0.0700    4.3053775E-02    2.6510455E-03    1.8732585E+01
 0.0800    4.4109083E-02    3.5474629E-03    1.7377946E+01
 0.0900    4.5334661E-02    4.6145064E-03    1.5960500E+01
 0.1000    4.6730397E-02    5.8723149E-03    1.4512371E+01
 0.1100    4.8290224E-02    7.3426775E-03    1.3063788E+01
 0.1200    5.0005514E-02    9.0487847E-03    1.1642115E+01
 0.1300    5.1867871E-02    1.1015266E-02    1.0271100E+01
 0.1400    5.3870350E-02    1.3268314E-02    8.9703796E+00
 0.1500    5.6007308E-02    1.5835693E-02    7.7552200E+00
 0.1600    5.8273584E-02    1.8746559E-02    6.6365035E+00
 0.1700    6.0663743E-02    2.2031137E-02    5.6209135E+00
 0.1800    6.3171889E-02    2.5720460E-02    4.7112890E+00
 0.1900    6.5792093E-02    2.9846318E-02    3.9071026E+00
 0.2000    6.8519010E-02    3.4441411E-02    3.2050166E+00
 0.2100    7.1348123E-02    3.9539485E-02    2.5994763E+00
 0.2200    7.4275409E-02    4.5175220E-02    2.0833004E+00
 0.2300    7.7296711E-02    5.1383839E-02    1.6482384E+00
 0.2400    8.0407251E-02    5.8200614E-02    1.2854712E+00
 0.2500    8.3601497E-02    6.5660462E-02    9.8603757E-01
 0.2600    8.6873313E-02    7.3797720E-02    7.4118043E-01
 0.2700    9.0216231E-02    8.2646045E-02    5.4261004E-01
 0.2800    9.3623731E-02    9.2238423E-02    3.8268867E-01
 0.2900    9.7089440E-02    1.0260720E-01    2.5454474E-01
 0.3000    1.0060720E-01    1.1378407E-01    1.5212684E-01
 0.3100    1.0417098E-01    1.2579982E-01    7.0209323E-02
 0.3200    1.0777469E-01    1.3868408E-01    4.3612112E-03
 0.3300    1.1141207E-01    1.5246494E-01   -4.9110804E-02
 0.3400    1.1507669E-01    1.6716874E-01   -9.3235587E-02
 0.3500    1.1876204E-01    1.8281996E-01   -1.3045900E-01
 0.3600    1.2246161E-01    1.9944118E-01   -1.6272707E-01
 0.3700    1.2616895E-01    2.1705300E-01   -1.9156619E-01
 0.3800    1.2987766E-01    2.3567391E-01   -2.1815709E-01
 0.3900    1.3358138E-01    2.5532009E-01   -2.4340077E-01
 0.4000    1.3727378E-01    2.7600532E-01   -2.6797551E-01
 0.4100    1.4094858E-01    2.9774076E-01   -2.9238506E-01
 0.4200    1.4459954E-01    3.2053493E-01   -3.1699835E-01
 0.4300    1.4822051E-01    3.4439361E-01   -3.4208150E-01
 0.4400    1.5180545E-01    3.6931978E-01   -3.6782323E-01
 0.4500    1.5534841E-01    3.9531356E-01   -3.9435453E-01
 0.4600    1.5884360E-01    4.2237213E-01   -4.2176368E-01
 0.4700    1.6228532E-01    4.5048965E-01   -4.5010746E-01
 0.4800    1.6566800E-01    4.7965721E-01   -4.7941953E-01
 0.4900    1.6898619E-01    5.0986270E-01   -5.0971636E-01
 0.5000    1.7223454E-01    5.4109078E-01   -5.4100158E-01
 0.5100    1.7540787E-01    5.7332291E-01   -5.7326907E-01
 0.5200    1.7850116E-01    6.0653742E-01   -6.0650526E-01
 0.5300    1.8150963E-01    6.4070967E-01   -6.4069064E-01
 0.5400    1.8442869E-01    6.7581193E-01   -6.7580078E-01
 0.5500    1.8725391E-01    7.1181335E-01   -7.1180688E-01
 0.5600    1.8998101E-01    7.4867981E-01   -7.4867610E-01
 0.5700    1.9260589E-01    7.8637400E-01   -7.8637189E-01
 0.5800    1.9512460E-01    8.2485552E-01   -8.2485434E-01
 0.5900    1.9753343E-01    8.6408106E-01   -8.6408040E-01
 0.6000    1.9982886E-01    9.0400446E-01   -9.0400409E-01
