# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -5.4382500E-02   -0.0000000E+00    3.1915382E+01
 0.0100   -5.3689505E-02   -6.7468221E-05    3.1756271E+01
 0.0200   -5.2814182E-02   -2.6547303E-04    3.1283681E+01
 0.0300   -5.1720036E-02   -5.8493982E-04    3.0511610E+01
 0.0400   -5.0368417E-02   -1.0127171E-03    2.9462624E+01
 0.0500   -4.8717098E-02   -1.5304928E-03    2.8166757E+01
 0.0600   -4.6719453E-02   -2.1135383E-03    2.6660082E+01
 0.0700   -4.4328382E-02   -2.7295297E-03    2.4983044E+01
 0.0800   -4.1505798E-02   -3.3380944E-03    2.3178662E+01
 0.0900   -3.8232223E-02   -3.8915663E-03    2.1290712E+01
 0.1000   -3.4509652E-02   -4.3366108E-03    1.9361995E+01
 0.1100   -3.0356220E-02   -4.6157569E-03    1.7432790E+01
 0.1200   -2.5797072E-02   -4.6681282E-03    1.5539553E+01
 0.1300   -2.0856876E-02   -4.4294095E-03    1.3713917E+01
 0.1400   -1.5556515E-02   -3.8315831E-03    1.1982029E+01
 0.1500   -9.9134360E-03   -2.8029580E-03    1.0364211E+01
 0.1600   -3.9437668E-03   -1.2687062E-03    8.8749355E+00
 0.1700    2.3357478E-03    8.4826911E-04    7.5230779E+00
 0.1800    8.9072506E-03    3.6265907E-03    6.3123861E+00
 0.1900    1.5752826E-02    7.1462061E-03    5.2421190E+00
 0.2000    2.2856020E-02    1.1488689E-02    4.3077886E+00
 0.2100    3.0202436E-02    1.6737494E-02    3.5019502E+00
 0.2200    3.7778899E-02    2.2977593E-02    2.8149898E+00
 0.2300    4.5571897E-02    3.0294420E-02    2.2358686E+00
 0.2400    5.3566411E-02    3.8772597E-02    1.7527898E+00
 0.2500    6.1745663E-02    4.8494930E-02    1.3537691E+00
 0.2600    7.0091591E-02    5.9541871E-02    1.0270957E+00
 0.2700    7.8585564E-02    7.1991325E-02    7.6168346E-01
 0.2800    8.7209013E-02    8.5918621E-02    5.4731751E-01
 0.2900    9.5943810E-02    1.0139647E-01    3.7480613E-01
 0.3000    1.0477232E-01    1.1849470E-01    2.3605317E-01
 0.3100    1.1367718E-01    1.3727977E-01    1.2406575E-01
 0.3200    1.2264099E-01    1.5781398E-01    3.2913078E-02
 0.3300    1.3164613E-01    1.8015480E-01   -4.2349283E-02
 0.3400    1.4067480E-01    2.0435441E-01   -1.0577687E-01
 0.3500    1.4970924E-01    2.3045946E-01   -1.6064485E-01
 0.3600    1.5873186E-01    2.5851097E-01   -2.0955882E-01
 0.3700    1.6772543E-01    2.8854412E-01   -2.5456170E-01
 0.3800    1.7667300E-01    3.2058799E-01   -2.9723224E-01
 0.3900    1.8555791E-01    3.5466517E-01   -3.3877274E-01
 0.4000    1.9436367E-01    3.9079134E-01   -3.8008492E-01
 0.4100    2.0307400E-01    4.2897491E-01   -4.2183398E-01
 0.4200    2.1167288E-01    4.6921692E-01   -4.6450147E-01
 0.4300    2.2014468E-01    5.1151098E-01   -5.0842817E-01
 0.4400    2.2847424E-01    5.5584341E-01   -5.5384801E-01
 0.4500    2.3664696E-01    6.0219315E-01   -6.0091446E-01
 0.4600    2.4464874E-01    6.5053178E-01   -6.4972051E-01
 0.4700    2.5246604E-01    7.0082331E-01   -7.0031373E-01
 0.4800    2.6008575E-01    7.5302415E-01   -7.5270724E-01
 0.4900    2.6749531E-01    8.0708298E-01   -8.0688787E-01
 0.5000    2.7468259E-01    8.6294082E-01   -8.6282188E-01
 0.5100    2.8163608E-01    9.2053118E-01   -9.2045940E-01
 0.5200    2.8834489E-01    9.7978053E-01   -9.7973765E-01
 0.5300    2.9479891E-01    1.0406088E+00   -1.0405834E+00
 0.5400    3.0098875E-01    1.1029292E+00   -1.1029144E+00
 0.5500    3.0690565E-01    1.1666488E+00   -1.1666402E+00
 0.5600    3.1254145E-01    1.2316677E+00   -1.2316627E+00
 0.5700    3.1788859E-01    1.2978799E+00   -1.2978771E+00
 0.5800    3.2294027E-01    1.3651741E+00   -1.3651725E+00
 0.5900    3.2769043E-01    1.4334338E+00   -1.4334329E+00
 0.6000    3.3213383E-01    1.5025380E+00   -1.5025376E+00
 0.6100    3.3626591E-01    1.5723614E+00   -1.5723611E+00
 0.6200    3.4008280E-01    1.6427743E+00   -1.6427742E+00
