# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -2.7927484E-01   -0.0000000E+00    3.9894228E+01
 0.0100   -2.7766286E-01   -3.4892144E-04    3.9695604E+01
 0.0200   -2.7562692E-01   -1.3854520E-03    3.9105655E+01
 0.0300   -2.7308238E-01   -3.0884889E-03    3.8141870E+01
 0.0400   -2.6993975E-01   -5.4274607E-03    3.6832441E+01
 0.0500   -2.6610152E-01   -8.3598258E-03    3.5214893E+01
 0.0600   -2.6146024E-01   -1.1828183E-02    3.3334288E+01
 0.0700   -2.5590766E-01   -1.5757570E-02    3.1241151E+01
 0.0800   -2.4935674E-01   -2.0054459E-02    2.8989210E+01
 0.0900   -2.4176396E-01   -2.4608574E-02    2.6633134E+01
 0.1000   -2.3313597E-01   -2.9296730E-02    2.4226369E+01
 0.1100   -2.2351725E-01   -3.3986488E-02    2.1819204E+01
 0.1200   -2.1296891E-01   -3.8537945E-02    1.9457143E+01
 0.1300   -2.0155122E-01   -4.2803767E-02    1.7179663E+01
 0.1400   -1.8931592E-01   -4.6628675E-02    1.5019375E+01
 0.1500   -1.7630691E-01   -4.9849604E-02    1.3001609E+01
 0.1600   -1.6256497E-01   -5.2297003E-02    1.1144380E+01
 0.1700   -1.4813227E-01   -5.3796917E-02    9.4587047E+00
 0.1800   -1.3305357E-01   -5.4172814E-02    7.9491886E+00
 0.1900   -1.1737401E-01   -5.3246249E-02    6.6148277E+00
 0.2000   -1.0113584E-01   -5.0836420E-02    5.4499331E+00
 0.2100   -8.4377058E-02   -4.6759820E-02    4.4451194E+00
 0.2200   -6.7133174E-02   -4.0831225E-02    3.5882905E+00
 0.2300   -4.9440568E-02   -3.2866162E-02    2.8655699E+00
 0.2400   -3.1338925E-02   -2.2683833E-02    2.2621369E+00
 0.2500   -1.2871675E-02   -1.0109390E-02    1.7629394E+00
 0.2600    5.9150861E-03    5.0247867E-03    1.3532721E+00
 0.2700    2.4974101E-02    2.2878484E-02    1.0192150E+00
 0.2800    4.4258169E-02    4.3603301E-02    7.4794186E-01
 0.2900    6.3720845E-02    6.7342213E-02    5.2791103E-01
 0.3000    8.3316598E-02    9.4228852E-02    3.4895599E-01
 0.3100    1.0300058E-01    1.2438641E-01    2.0229550E-01
 0.3200    1.2272826E-01    1.5792628E-01    8.0482541E-02
 0.3300    1.4245520E-01    1.9494677E-01   -2.2689872E-02
 0.3400    1.6213707E-01    2.3553206E-01   -1.1231014E-01
 0.3500    1.8173001E-01    2.7975162E-01   -1.9248335E-01
 0.3600    2.0119094E-01    3.2765989E-01   -2.6646969E-01
 0.3700    2.2047792E-01    3.7929613E-01   -3.3681811E-01
 0.3800    2.3955029E-01    4.3468410E-01   -4.0548941E-01
 0.3900    2.5836847E-01    4.9383128E-01   -4.7396573E-01
 0.4000    2.7689379E-01    5.5672800E-01   -5.4334498E-01
 0.4100    2.9508838E-01    6.2334672E-01   -6.1442056E-01
 0.4200    3.1291543E-01    6.9364206E-01   -6.8774776E-01
 0.4300    3.3033964E-01    7.6755139E-01   -7.6369787E-01
 0.4400    3.4732759E-01    8.4499570E-01   -8.4250145E-01
 0.4500    3.6384795E-01    9.2588026E-01   -9.2428189E-01
