# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -2.1738151E-01   -0.0000000E+00    4.7873074E+01
 0.0100   -2.1507879E-01   -2.7027598E-04    4.7634576E+01
 0.0200   -2.1217097E-01   -1.0664876E-03    4.6926190E+01
 0.0300   -2.0853785E-01   -2.3585075E-03    4.5768896E+01
 0.0400   -2.0405296E-01   -4.1027282E-03    4.4196520E+01
 0.0500   -1.9857923E-01   -6.2385504E-03    4.2254078E+01
 0.0600   -1.9196635E-01   -8.6843530E-03    3.9995637E+01
 0.0700   -1.8406376E-01   -1.1333766E-02    3.7481806E+01
 0.0800   -1.7475188E-01   -1.4054380E-02    3.4777041E+01
 0.0900   -1.6397384E-01   -1.6690504E-02    3.1946920E+01
 0.1000   -1.5174484E-01   -1.9068819E-02    2.9055556E+01
 0.1100   -1.3813450E-01   -2.1003776E-02    2.6163265E+01
 0.1200   -1.2323656E-01   -2.2300363E-02    2.3324627E+01
 0.1300   -1.0714413E-01   -2.2754377E-02    2.0586985E+01
 0.1400   -8.9938529E-02   -2.2151937E-02    1.7989448E+01
 0.1500   -7.1690153E-02   -2.0269913E-02    1.5562381E+01
 0.1600   -5.2464899E-02   -1.6877910E-02    1.3327378E+01
 0.1700   -3.2330176E-02   -1.1741289E-02    1.1297631E+01
 0.1800   -1.1356679E-02   -4.6238765E-03    9.4786429E+00
 0.1900    1.0384362E-02    4.7108241E-03    7.8691869E+00
 0.2000    3.2825376E-02    1.6499833E-02    6.4624161E+00
 0.2100    5.5904160E-02    3.0980796E-02    5.2470507E+00
 0.2200    7.9561677E-02    4.8390393E-02    4.2085607E+00
 0.2300    1.0373792E-01    6.8960926E-02    3.3302836E+00
 0.2400    1.2836897E-01    9.2916405E-02    2.5944272E+00
 0.2500    1.5338662E-01    1.2046957E-01    1.9829265E+00
 0.2600    1.7871993E-01    1.5182020E-01    1.4781361E+00
 0.2700    2.0429714E-01    1.8715424E-01    1.0633579E+00
 0.2800    2.3004697E-01    2.2664307E-01    7.2321112E-01
 0.2900    2.5589935E-01    2.7044256E-01    4.4386133E-01
 0.3000    2.8178556E-01    3.1869196E-01    2.1312985E-01
 0.3100    3.0763823E-01    3.7151261E-01    2.0505681E-02
 0.3200    3.3339127E-01    4.2900667E-01   -1.4291608E-01
 0.3300    3.5897982E-01    4.9125589E-01   -2.8454762E-01
 0.3400    3.8434024E-01    5.5832048E-01   -4.1045418E-01
 0.3500    4.0941035E-01    6.3023827E-01   -5.2551634E-01
 0.3600    4.3412975E-01    7.0702441E-01   -6.3359618E-01
 0.3700    4.5844037E-01    7.8867153E-01   -7.3769790E-01
 0.3800    4.8228669E-01    8.7514968E-01   -8.4011605E-01
 0.3900    5.0561554E-01    9.6640571E-01   -9.4256705E-01
 0.4000    5.2837558E-01    1.0623621E+00   -1.0463025E+00
 0.4100    5.5051719E-01    1.1629163E+00   -1.1522049E+00
 0.4200    5.7199271E-01    1.2679407E+00   -1.2608675E+00
 0.4300    5.9275726E-01    1.3772845E+00   -1.3726603E+00
 0.4400    6.1276947E-01    1.4907758E+00   -1.4877827E+00
 0.4500    6.3199181E-01    1.6082233E+00   -1.6063052E+00
 0.4600    6.5039038E-01    1.7294167E+00   -1.7281998E+00
 0.4700    6.6793461E-01    1.8541272E+00   -1.8533628E+00
 0.4800    6.8459677E-01    1.9821074E+00   -1.9816320E+00
 0.4900    7.0035182E-01    2.1130914E+00   -2.1127987E+00
 0.5000    7.1517735E-01    2.2467959E+00   -2.2466175E+00
 0.5100    7.2905388E-01    2.3829221E+00   -2.3828144E+00
 0.5200    7.4196530E-01    2.5211585E+00   -2.5210942E+00
 0.5300    7.5389910E-01    2.6611836E+00   -2.6611455E+00
 0.5400    7.6484619E-01    2.8026669E+00   -2.8026446E+00
 0.5500    7.7480048E-01    2.9452701E+00   -2.9452571E+00
 0.5600    7.8375864E-01    3.0886469E+00   -3.0886395E+00
 0.5700    7.9172007E-01    3.2324456E+00   -3.2324414E+00
 0.5800    7.9868694E-01    3.3763109E+00   -3.3763086E+00
 0.5900    8.0466422E-01    3.5198858E+00   -3.5198845E+00
 0.6000    8.0965940E-01    3.6628128E+00   -3.6628121E+00
 0.6100    8.1368228E-01    3.8047348E+00   -3.8047344E+00
 0.6200    8.1674481E-01    3.9452963E+00   -3.9452961E+00
 0.6300    8.1886119E-01    4.0841459E+00   -4.0841458E+00
 0.6400    8.2004802E-01    4.2209392E+00   -4.2209391E+00
 0.6500    8.2032431E-01    4.3553410E+00   -4.3553409E+00
 0.6600    8.1971117E-01    4.4870260E+00   -4.4870260E+00
 0.6700    8.1823141E-01    4.6156792E+00   -4.6156792E+00
