# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -5.9438958E-01   -0.0000000E+00    5.5851919E+01
 0.0100   -5.9011848E-01   -7.4156476E-04    5.5574098E+01
 0.0200   -5.8472558E-01   -2.9391513E-03    5.4748916E+01
 0.0300   -5.7798865E-01   -6.5368977E-03    5.3400831E+01
 0.0400   -5.6967453E-01   -1.1453986E-02    5.1569274E+01
 0.0500   -5.5953116E-01   -1.7578190E-02    4.9306724E+01
 0.0600   -5.4728287E-01   -2.4758494E-02    4.6676203E+01
 0.0700   -5.3265426E-01   -3.2798301E-02    4.3748349E+01
 0.0800   -5.1542799E-01   -4.1453179E-02    4.0598271E+01
 0.0900   -4.9550340E-01   -5.0436103E-02    3.7302371E+01
 0.1000   -4.7291400E-01   -5.9428126E-02    3.3935330E+01
 0.1100   -4.4779470E-01   -6.8088566E-02    3.0567393E+01
 0.1200   -4.2032575E-01   -7.6060356E-02    2.7262108E+01
 0.1300   -3.9068663E-01   -8.2970770E-02    2.4074574E+01
 0.1400   -3.5903539E-01   -8.8430727E-02    2.1050276E+01
 0.1500   -3.2550990E-01   -9.2035755E-02    1.8224499E+01
 0.1600   -2.9023947E-01   -9.3369774E-02    1.5622287E+01
 0.1700   -2.5335583E-01   -9.2010760E-02    1.3258882E+01
 0.1800   -2.1499649E-01   -8.7535909E-02    1.1140558E+01
 0.1900   -1.7530010E-01   -7.9524184E-02    9.2657383E+00
 0.2000   -1.3439914E-01   -6.7556377E-02    7.6262917E+00
 0.2100   -9.2416903E-02   -5.1215317E-02    6.2089188E+00
 0.2200   -4.9471132E-02   -3.0088953E-02    4.9965320E+00
 0.2300   -5.6810837E-03   -3.7765629E-03    3.9695618E+00
 0.2400    3.8827535E-02    2.8104261E-02    3.1071300E+00
 0.2500    8.3922154E-02    6.5912306E-02    2.3880498E+00
 0.2600    1.2946612E-01    1.0997974E-01    1.7916360E+00
 0.2700    1.7532197E-01    1.6061042E-01    1.2983205E+00
 0.2800    2.2135360E-01    2.1807833E-01    8.9008489E-01
 0.2900    2.6742725E-01    2.8262562E-01    5.5072892E-01
 0.3000    3.1341190E-01    3.5446051E-01    2.6599827E-01
 0.3100    3.5917950E-01    4.3375530E-01    2.3599366E-02
 0.3200    4.0460525E-01    5.2064456E-01   -1.8687221E-01
 0.3300    4.4956766E-01    6.1522335E-01   -3.7406369E-01
 0.3400    4.9394851E-01    7.1754539E-01   -5.4503471E-01
 0.3500    5.3763295E-01    8.2762163E-01   -7.0544605E-01
 0.3600    5.8051027E-01    9.4541997E-01   -8.5975370E-01
 0.3700    6.2247498E-01    1.0708662E+00   -1.0113970E+00
 0.3800    6.6342747E-01    1.2038448E+00   -1.1629722E+00
 0.3900    7.0327353E-01    1.3441983E+00   -1.3163866E+00
 0.4000    7.4192318E-01    1.4917251E+00   -1.4729888E+00
 0.4100    7.7929007E-01    1.6461777E+00   -1.6336811E+00
 0.4200    8.1529213E-01    1.8072644E+00   -1.7990124E+00
 0.4300    8.4985325E-01    1.9746527E+00   -1.9692577E+00
 0.4400    8.8290476E-01    2.1479743E+00   -2.1444823E+00
 0.4500    9.1438584E-01    2.3268286E+00   -2.3245908E+00
 0.4600    9.4424299E-01    2.5107837E+00   -2.5093640E+00
 0.4700    9.7242919E-01    2.6993771E+00   -2.6984854E+00
 0.4800    9.9890322E-01    2.8921163E+00   -2.8915617E+00
 0.4900    1.0236294E+00    3.0884798E+00   -3.0881384E+00
 0.5000    1.0465776E+00    3.2879206E+00   -3.2877125E+00
 0.5100    1.0677241E+00    3.4898702E+00   -3.4897446E+00
 0.5200    1.0870521E+00    3.6937450E+00   -3.6936699E+00
 0.5300    1.1045521E+00    3.8989514E+00   -3.8989070E+00
 0.5400    1.1202216E+00    4.1048881E+00   -4.1048621E+00
 0.5500    1.1340631E+00    4.3109449E+00   -4.3109298E+00
 0.5600    1.1460839E+00    4.5165034E+00   -4.5164947E+00
 0.5700    1.1562956E+00    4.7209398E+00   -4.7209348E+00
 0.5800    1.1647150E+00    4.9236312E+00   -4.9236285E+00
 0.5900    1.1713645E+00    5.1239626E+00   -5.1239611E+00
 0.6000    1.1762724E+00    5.3213309E+00   -5.3213301E+00
 0.6100    1.1794716E+00    5.5151463E+00   -5.5151458E+00
 0.6200    1.1809994E+00    5.7048326E+00   -5.7048323E+00
 0.6300    1.1808961E+00    5.8898287E+00   -5.8898286E+00
