# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.6156052E-01   -0.0000000E+00    6.3830765E+01
 0.0100   -1.5710557E-01   -1.9742468E-04    6.3512605E+01
 0.0200   -1.5148068E-01   -7.6142493E-04    6.2567592E+01
 0.0300   -1.4445428E-01   -1.6337394E-03    6.1023684E+01
 0.0400   -1.3578359E-01   -2.7300910E-03    5.8925953E+01
 0.0500   -1.2520639E-01   -3.9334749E-03    5.6334386E+01
 0.0600   -1.1243619E-01   -5.0864935E-03    5.3321023E+01
 0.0700   -9.7187098E-02   -5.9843165E-03    4.9966614E+01
 0.0800   -7.9234112E-02   -6.3723854E-03    4.6357021E+01
 0.0900   -5.8474270E-02   -5.9519557E-03    4.2579592E+01
 0.1000   -3.4944887E-02   -4.3913040E-03    3.8719707E+01
 0.1100   -8.7894120E-03   -1.3364572E-03    3.4857685E+01
 0.1200    1.9801011E-02    3.5831065E-03    3.1066186E+01
 0.1300    5.0635595E-02    1.0753566E-02    2.7408221E+01
 0.1400    8.3545535E-02    2.0577337E-02    2.3935817E+01
 0.1500    1.1838285E-01    3.3471961E-02    2.0689343E+01
 0.1600    1.5500844E-01    4.9866075E-02    1.7697467E+01
 0.1700    1.9328087E-01    7.0193447E-02    1.4977659E+01
 0.1800    2.3305264E-01    9.4887478E-02    1.2537138E+01
 0.1900    2.7417482E-01    1.2437830E-01    1.0374152E+01
 0.2000    3.1650423E-01    1.5909238E-01    8.4794623E+00
 0.2100    3.5990659E-01    1.9945193E-01    6.8379234E+00
 0.2200    4.0425279E-01    2.4587154E-01    5.4300633E+00
 0.2300    4.4941207E-01    2.9875162E-01    4.2335744E+00
 0.2400    4.9524716E-01    3.5847126E-01    3.2246536E+00
 0.2500    5.4161407E-01    4.2538269E-01    2.3791454E+00
 0.2600    5.8836481E-01    4.9980805E-01    1.6734670E+00
 0.2700    6.3535050E-01    5.8203724E-01    1.0853123E+00
 0.2800    6.8242329E-01    6.7232579E-01    5.9414647E-01
 0.2900    7.2943722E-01    7.7089243E-01    1.8151276E-01
 0.3000    7.7624884E-01    8.7791676E-01   -1.6882101E-01
 0.3100    8.2271787E-01    9.9353732E-01   -4.7084627E-01
 0.3200    8.6870782E-01    1.1178501E+00   -7.3639595E-01
 0.3300    9.1408619E-01    1.2509066E+00   -9.7529559E-01
 0.3400    9.5872423E-01    1.3927123E+00   -1.1955572E+00
 0.3500    1.0024969E+00    1.5432241E+00   -1.4035949E+00
 0.3600    1.0452835E+00    1.7023504E+00   -1.6044461E+00
 0.3700    1.0869685E+00    1.8699511E+00   -1.8019863E+00
 0.3800    1.1274424E+00    2.0458389E+00   -1.9991274E+00
 0.3900    1.1666014E+00    2.2297778E+00   -2.1979929E+00
 0.4000    1.2043463E+00    2.4214819E+00   -2.4000691E+00
 0.4100    1.2405823E+00    2.6206145E+00   -2.6063327E+00
 0.4200    1.2752195E+00    2.8267889E+00   -2.8173580E+00
 0.4300    1.3081747E+00    3.0395725E+00   -3.0334069E+00
 0.4400    1.3393724E+00    3.2584912E+00   -3.2545004E+00
 0.4500    1.3687452E+00    3.4830323E+00   -3.4804749E+00
 0.4600    1.3962337E+00    3.7126470E+00   -3.7110245E+00
 0.4700    1.4217858E+00    3.9467513E+00   -3.9457321E+00
 0.4800    1.4453558E+00    4.1847269E+00   -4.1840931E+00
 0.4900    1.4669045E+00    4.4259231E+00   -4.4255328E+00
 0.5000    1.4863984E+00    4.6696583E+00   -4.6694205E+00
 0.5100    1.5038108E+00    4.9152252E+00   -4.9150816E+00
 0.5200    1.5191220E+00    5.1618956E+00   -5.1618098E+00
 0.5300    1.5323203E+00    5.4089273E+00   -5.4088766E+00
 0.5400    1.5434009E+00    5.6555669E+00   -5.6555371E+00
 0.5500    1.5523660E+00    5.9010511E+00   -5.9010339E+00
 0.5600    1.5592235E+00    6.1446094E+00   -6.1445996E+00
 0.5700    1.5639871E+00    6.3854680E+00   -6.3854624E+00
 0.5800    1.5666769E+00    6.6228558E+00   -6.6228526E+00
 0.5900    1.5673195E+00    6.8560099E+00   -6.8560082E+00
 0.6000    1.5659475E+00    7.0841794E+00   -7.0841784E+00
 0.6100    1.5625985E+00    7.3066271E+00   -7.3066265E+00
 0.6200    1.5573153E+00    7.5226318E+00   -7.5226315E+00
 0.6300    1.5501452E+00    7.7314928E+00   -7.7314926E+00
 0.6400    1.5411404E+00    7.9325354E+00   -7.9325353E+00
 0.6500    1.5303580E+00    8.1251168E+00   -8.1251168E+00
 0.6600    1.5178600E+00    8.3086304E+00   -8.3086303E+00
 0.6700    1.5037123E+00    8.4825071E+00   -8.4825070E+00
 0.6800    1.4879847E+00    8.6462175E+00   -8.6462175E+00
 0.6900    1.4707498E+00    8.7992738E+00   -8.7992738E+00
 0.7000    1.4520830E+00    8.9412324E+00   -8.9412324E+00
 0.7100    1.4320625E+00    9.0716971E+00   -9.0716971E+00
 0.7200    1.4107689E+00    9.1903220E+00   -9.1903220E+00
 0.7300    1.3882849E+00    9.2968151E+00   -9.2968151E+00
 0.7400    1.3646955E+00    9.3909401E+00   -9.3909401E+00
 0.7500    1.3400872E+00    9.4725180E+00   -9.4725180E+00
 0.7600    1.3145474E+00    9.5414265E+00   -9.5414265E+00
 0.7700    1.2881644E+00    9.5975995E+00   -9.5975995E+00
 0.7800    1.2610264E+00    9.6410257E+00   -9.6410257E+00
 0.7900    1.2332212E+00    9.6717493E+00   -9.6717493E+00
 0.8000    1.2048366E+00    9.6898706E+00   -9.6898706E+00
 0.8100    1.1759597E+00    9.6955478E+00   -9.6955478E+00
 0.8200    1.1466775E+00    9.6889982E+00   -9.6889982E+00
 0.8300    1.1170762E+00    9.6704983E+00   -9.6704983E+00
 0.8400    1.0872410E+00    9.6403825E+00   -9.6403825E+00
 0.8500    1.0572557E+00    9.5990390E+00   -9.5990390E+00
 0.8600    1.0272021E+00    9.5469065E+00   -9.5469065E+00
 0.8700    9.9715974E-01    9.4844708E+00   -9.4844708E+00
 0.8800    9.6720567E-01    9.4122628E+00   -9.4122628E+00
 0.8900    9.3741456E-01    9.3308578E+00   -9.3308578E+00
 0.9000    9.0785860E-01    9.2408750E+00   -9.2408750E+00
 0.9100    8.7860742E-01    9.1429746E+00   -9.1429746E+00
 0.9200    8.4972761E-01    9.0378525E+00   -9.0378525E+00
 0.9300    8.2128214E-01    8.9262314E+00   -8.9262314E+00
 0.9400    7.9332944E-01    8.8088486E+00   -8.8088486E+00
 0.9500    7.6592237E-01    8.6864401E+00   -8.6864401E+00
 0.9600    7.3910706E-01    8.5597224E+00   -8.5597224E+00
 0.9700    7.1292186E-01    8.4293729E+00   -8.4293729E+00
 0.9800    6.8739663E-01    8.2960128E+00   -8.2960128E+00
 0.9900    6.6255250E-01    8.1601953E+00   -8.1601953E+00
 1.0000    6.3840237E-01    8.0224008E+00   -8.0224008E+00
 1.0100    6.1495199E-01    7.8830416E+00   -7.8830416E+00
 1.0200    5.9220156E-01    7.7424740E+00   -7.7424740E+00
 1.0300    5.7014745E-01    7.6010135E+00   -7.6010135E+00
 1.0400    5.4878348E-01    7.4589479E+00   -7.4589479E+00
 1.0500    5.2810176E-01    7.3165455E+00   -7.3165455E+00
 1.0600    5.0809307E-01    7.1740577E+00   -7.1740577E+00
 1.0700    4.8874708E-01    7.0317204E+00   -7.0317204E+00
 1.0800    4.7005252E-01    6.8897548E+00   -6.8897548E+00
 1.0900    4.5199732E-01    6.7483675E+00   -6.7483675E+00
 1.1000    4.3456862E-01    6.6077499E+00   -6.6077499E+00
 1.1100    4.1775281E-01    6.4680772E+00   -6.4680772E+00
 1.1200    4.0153559E-01    6.3295079E+00   -6.3295079E+00
 1.1300    3.8590210E-01    6.1921845E+00   -6.1921845E+00
 1.1400    3.7083707E-01    6.0562348E+00   -6.0562348E+00
 1.1500    3.5632498E-01    5.9217738E+00   -5.9217738E+00
 1.1600    3.4235018E-01    5.7889048E+00   -5.7889048E+00
 1.1700    3.2889697E-01    5.6577201E+00   -5.6577201E+00
