# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.7310461E+00    0.0000000E+00    5.5851919E+01
 0.0100    1.7306787E+00    2.1748350E-03    5.5571182E+01
 0.0200    1.7302141E+00    8.6970047E-03    5.4737280E+01
 0.0300    1.7296321E+00    1.9561678E-02    5.3374732E+01
 0.0400    1.7289107E+00    3.4761812E-02    5.1523058E+01
 0.0500    1.7280249E+00    5.4287502E-02    4.9234858E+01
 0.0600    1.7269461E+00    7.8125203E-02    4.6573319E+01
 0.0700    1.7256446E+00    1.0625694E-01    4.3609294E+01
 0.0800    1.7240938E+00    1.3865985E-01    4.0418158E+01
 0.0900    1.7222768E+00    1.7530643E-01    3.7076629E+01
 0.1000    1.7201870E+00    2.1616508E-01    3.3659736E+01
 0.1100    1.7178262E+00    2.6120078E-01    3.0238104E+01
 0.1200    1.7151995E+00    3.1037519E-01    2.6875673E+01
 0.1300    1.7123112E+00    3.6364638E-01    2.3627957E+01
 0.1400    1.7091631E+00    4.2096836E-01    2.0540877E+01
 0.1500    1.7057545E+00    4.8229073E-01    1.7650173E+01
 0.1600    1.7020836E+00    5.4755875E-01    1.4981358E+01
 0.1700    1.6981488E+00    6.1671350E-01    1.2550157E+01
 0.1800    1.6939489E+00    6.8969199E-01    1.0363330E+01
 0.1900    1.6894822E+00    7.6642683E-01    8.4197872E+00
 0.2000    1.6847453E+00    8.4684536E-01    6.7118899E+00
 0.2100    1.6797324E+00    9.3086899E-01    5.2268345E+00
 0.2200    1.6744363E+00    1.0184128E+00    3.9480302E+00
 0.2300    1.6688494E+00    1.1093860E+00    2.8563993E+00
 0.2400    1.6629650E+00    1.2036922E+00    1.9315420E+00
 0.2500    1.6567776E+00    1.3012301E+00    1.1527320E+00
 0.2600    1.6502832E+00    1.4018936E+00    4.9972213E-01
 0.2700    1.6434791E+00    1.5055722E+00   -4.6641279E-02
 0.2800    1.6363627E+00    1.6121502E+00   -5.0398697E-01
 0.2900    1.6289311E+00    1.7215062E+00   -8.8815163E-01
 0.3000    1.6211804E+00    1.8335119E+00   -1.2130531E+00
 0.3100    1.6131060E+00    1.9480323E+00   -1.4906776E+00
 0.3200    1.6047031E+00    2.0649261E+00   -1.7311537E+00
 0.3300    1.5959676E+00    2.1840462E+00   -1.9428866E+00
 0.3400    1.5868963E+00    2.3052405E+00   -2.1327298E+00
 0.3500    1.5774862E+00    2.4283513E+00   -2.3061757E+00
 0.3600    1.5677348E+00    2.5532154E+00   -2.4675491E+00
 0.3700    1.5576402E+00    2.6796647E+00   -2.6201955E+00
 0.3800    1.5472010E+00    2.8075260E+00   -2.7666534E+00
 0.3900    1.5364161E+00    2.9366212E+00   -2.9088095E+00
 0.4000    1.5252847E+00    3.0667668E+00   -3.0480306E+00
 0.4100    1.5138056E+00    3.1977735E+00   -3.1852768E+00
 0.4200    1.5019782E+00    3.3294468E+00   -3.3211948E+00
