# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.1340759E+00    0.0000000E+00    7.9788456E+01
 0.0100    4.1319387E+00    5.1923473E-03    7.9385317E+01
 0.0200    4.1292375E+00    2.0755812E-02    7.8187783E+01
 0.0300    4.1258572E+00    4.6662346E-02    7.6230901E+01
 0.0400    4.1216740E+00    8.2871173E-02    7.3571157E+01
 0.0500    4.1165503E+00    1.2932524E-01    7.0283740E+01
 0.0600    4.1103318E+00    1.8594703E-01    6.6458974E+01
 0.0700    4.1028600E+00    2.5263449E-01    6.2198152E+01
 0.0800    4.0940024E+00    3.2925921E-01    5.7609051E+01
 0.0900    4.0836821E+00    4.1566821E-01    5.2801382E+01
 0.1000    4.0718873E+00    5.1168845E-01    4.7882456E+01
 0.1100    4.0586540E+00    6.1713086E-01    4.2953305E+01
 0.1200    4.0440380E+00    7.3179188E-01    3.8105419E+01
 0.1300    4.0280912E+00    8.5545243E-01    3.3418266E+01
 0.1400    4.0108517E+00    9.8787624E-01    2.8957617E+01
 0.1500    3.9923454E+00    1.1288091E+00    2.4774710E+01
 0.1600    3.9725938E+00    1.2779798E+00    2.0906187E+01
 0.1700    3.9516206E+00    1.4351026E+00    1.7374713E+01
 0.1800    3.9294534E+00    1.5998785E+00    1.4190153E+01
 0.1900    3.9061180E+00    1.7719947E+00    1.1351168E+01
 0.2000    3.8816326E+00    1.9511213E+00    8.8470720E+00
 0.2100    3.8560051E+00    2.1369091E+00    6.6598101E+00
 0.2200    3.8292369E+00    2.3289891E+00    4.7659294E+00
 0.2300    3.8013299E+00    2.5269759E+00    3.1384317E+00
 0.2400    3.7722918E+00    2.7304714E+00    1.7484347E+00
 0.2500    3.7421381E+00    2.9390684E+00    5.6659171E-01
 0.2600    3.7108902E+00    3.1523517E+00   -4.3575782E-01
 0.2700    3.6785722E+00    3.3698974E+00   -1.2857104E+00
 0.2800    3.6452076E+00    3.5912711E+00   -2.0081808E+00
 0.2900    3.6108165E+00    3.8160256E+00   -2.6255192E+00
 0.3000    3.5754159E+00    4.0437001E+00   -3.1573304E+00
 0.3100    3.5390209E+00    4.2738216E+00   -3.6204577E+00
 0.3200    3.5016489E+00    4.5059091E+00   -4.0290914E+00
 0.3300    3.4633205E+00    4.7394770E+00   -4.3949633E+00
 0.3400    3.4240594E+00    4.9740368E+00   -4.7275930E+00
 0.3500    3.3838914E+00    5.2090961E+00   -5.0345596E+00
 0.3600    3.3428428E+00    5.4441592E+00   -5.3217788E+00
 0.3700    3.3009405E+00    5.6787273E+00   -5.5937712E+00
 0.3800    3.2582128E+00    5.9123005E+00   -5.8539111E+00
 0.3900    3.2146884E+00    6.1443785E+00   -6.1046474E+00
 0.4000    3.1703969E+00    6.3744613E+00   -6.3476952E+00
 0.4100    3.1253680E+00    6.6020490E+00   -6.5841967E+00
 0.4200    3.0796319E+00    6.8266439E+00   -6.8148553E+00
 0.4300    3.0332195E+00    7.0477521E+00   -7.0400451E+00
 0.4400    2.9861637E+00    7.2648864E+00   -7.2598979E+00
 0.4500    2.9384985E+00    7.4775680E+00   -7.4743712E+00
 0.4600    2.8902598E+00    7.6853282E+00   -7.6833000E+00
 0.4700    2.8414848E+00    7.8877097E+00   -7.8864357E+00
 0.4800    2.7922117E+00    8.0842676E+00   -8.0834754E+00
 0.4900    2.7424797E+00    8.2745702E+00   -8.2740824E+00
 0.5000    2.6923285E+00    8.4581993E+00   -8.4579020E+00
 0.5100    2.6417982E+00    8.6347517E+00   -8.6345723E+00
 0.5200    2.5909298E+00    8.8038410E+00   -8.8037338E+00
 0.5300    2.5397649E+00    8.9650996E+00   -8.9650362E+00
 0.5400    2.4883461E+00    9.1181802E+00   -9.1181431E+00
 0.5500    2.4367165E+00    9.2627565E+00   -9.2627349E+00
 0.5600    2.3849193E+00    9.3985228E+00   -9.3985105E+00
 0.5700    2.3329978E+00    9.5251956E+00   -9.5251886E+00
 0.5800    2.2809956E+00    9.6425144E+00   -9.6425104E+00
 0.5900    2.2289565E+00    9.7502438E+00   -9.7502416E+00
 0.6000    2.1769246E+00    9.8481749E+00   -9.8481737E+00
 0.6100    2.1249444E+00    9.9361263E+00   -9.9361256E+00
 0.6200    2.0730602E+00    1.0013944E+01   -1.0013944E+01
 0.6300    2.0213163E+00    1.0081502E+01   -1.0081502E+01
 0.6400    1.9697566E+00    1.0138702E+01   -1.0138702E+01
 0.6500    1.9184242E+00    1.0185474E+01   -1.0185474E+01
 0.6600    1.8673620E+00    1.0221774E+01   -1.0221774E+01
 0.6700    1.8166120E+00    1.0247588E+01   -1.0247588E+01
 0.6800    1.7662159E+00    1.0262932E+01   -1.0262932E+01
