# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    5.9867776E+00    0.0000000E+00    8.7767302E+01
 0.0100    5.9818666E+00    7.5170353E-03    8.7322043E+01
 0.0200    5.9756603E+00    3.0036945E-02    8.5999356E+01
 0.0300    5.9678954E+00    6.7495307E-02    8.3837824E+01
 0.0400    5.9582900E+00    1.1979853E-01    8.0899632E+01
 0.0500    5.9465324E+00    1.8681583E-01    7.7267556E+01
 0.0600    5.9322760E+00    2.6836984E-01    7.3041043E+01
 0.0700    5.9151696E+00    3.6422785E-01    6.8331637E+01
 0.0800    5.8949277E+00    4.7409822E-01    6.3258043E+01
 0.0900    5.8714005E+00    5.9763577E-01    5.7941119E+01
 0.1000    5.8445925E+00    7.3445315E-01    5.2499106E+01
 0.1100    5.8146211E+00    8.8413107E-01    4.7043348E+01
 0.1200    5.7816466E+00    1.0462221E+00    4.1674710E+01
 0.1300    5.7458166E+00    1.2202486E+00    3.6480842E+01
 0.1400    5.7072451E+00    1.4056994E+00    3.1534343E+01
 0.1500    5.6660211E+00    1.6020297E+00    2.6891841E+01
 0.1600    5.6222282E+00    1.8086657E+00    2.2593918E+01
 0.1700    5.5759593E+00    2.0250106E+00    1.8665786E+01
 0.1800    5.5273169E+00    2.2504493E+00    1.5118585E+01
 0.1900    5.4764020E+00    2.4843478E+00    1.1951131E+01
 0.2000    5.4232996E+00    2.7260477E+00    9.1519649E+00
 0.2100    5.3680759E+00    2.9748639E+00    6.7015272E+00
 0.2200    5.3107927E+00    3.2300896E+00    4.5743208E+00
 0.2300    5.2515329E+00    3.4910143E+00    2.7409340E+00
 0.2400    5.1904126E+00    3.7569397E+00    1.1698569E+00
 0.2500    5.1275614E+00    4.0271773E+00   -1.7095121E-01
 0.2600    5.0630774E+00    4.3010167E+00   -1.3127634E+00
 0.2700    4.9969909E+00    4.5776855E+00   -2.2850798E+00
 0.2800    4.9292747E+00    4.8563385E+00   -3.1149391E+00
 0.2900    4.8599033E+00    5.1361002E+00   -3.8265431E+00
 0.3000    4.7889247E+00    5.4161462E+00   -4.4411396E+00
 0.3100    4.7164960E+00    5.6957737E+00   -4.9770735E+00
 0.3200    4.6428561E+00    5.9744103E+00   -5.4499109E+00
 0.3300    4.5682482E+00    6.2515461E+00   -5.8725809E+00
 0.3400    4.4928403E+00    6.5266253E+00   -6.2555371E+00
 0.3500    4.4166924E+00    6.7989697E+00   -6.6069795E+00
 0.3600    4.3397893E+00    7.0677879E+00   -6.9331695E+00
 0.3700    4.2621147E+00    7.3322699E+00   -7.2388182E+00
 0.3800    4.1837188E+00    7.5917088E+00   -7.5274805E+00
 0.3900    4.1047441E+00    7.8455821E+00   -7.8018779E+00
 0.4000    4.0253943E+00    8.0935355E+00   -8.0640929E+00
 0.4100    3.9458468E+00    8.3352340E+00   -8.3155964E+00
 0.4200    3.8661449E+00    8.5701136E+00   -8.5571461E+00
 0.4300    3.7861515E+00    8.7972060E+00   -8.7887283E+00
 0.4400    3.7056411E+00    9.0152667E+00   -9.0097793E+00
 0.4500    3.6245143E+00    9.2232655E+00   -9.2197491E+00
 0.4600    3.5429819E+00    9.4209449E+00   -9.4187139E+00
 0.4700    3.4615441E+00    9.6089393E+00   -9.6075380E+00
 0.4800    3.3807334E+00    9.7882097E+00   -9.7873382E+00
 0.4900    3.3008075E+00    9.9591487E+00   -9.9586121E+00
 0.5000    3.2216562E+00    1.0121131E+01   -1.0120804E+01
 0.5100    3.1430241E+00    1.0273015E+01   -1.0272818E+01
 0.5200    3.0648659E+00    1.0414251E+01   -1.0414133E+01
 0.5300    2.9875113E+00    1.0545597E+01   -1.0545527E+01
 0.5400    2.9114552E+00    1.0668601E+01   -1.0668561E+01
 0.5500    2.8369113E+00    1.0784028E+01   -1.0784004E+01
 0.5600    2.7634944E+00    1.0890417E+01   -1.0890403E+01
 0.5700    2.6903242E+00    1.0984093E+01   -1.0984085E+01
 0.5800    2.6165278E+00    1.1060919E+01   -1.1060914E+01
 0.5900    2.5417985E+00    1.1118725E+01   -1.1118723E+01
 0.6000    2.4666149E+00    1.1158703E+01   -1.1158702E+01
 0.6100    2.3919723E+00    1.1184735E+01   -1.1184734E+01
 0.6200    2.3188252E+00    1.1201115E+01   -1.1201114E+01
 0.6300    2.2476227E+00    1.1210226E+01   -1.1210226E+01
 0.6400    2.1782259E+00    1.1211733E+01   -1.1211733E+01
 0.6500    2.1102015E+00    1.1203675E+01   -1.1203675E+01
 0.6600    2.0432285E+00    1.1184451E+01   -1.1184451E+01
 0.6700    1.9773211E+00    1.1154155E+01   -1.1154155E+01
 0.6800    1.9127704E+00    1.1114515E+01   -1.1114515E+01
 0.6900    1.8499204E+00    1.1067795E+01   -1.1067795E+01
 0.7000    1.7889541E+00    1.1015524E+01   -1.1015524E+01
 0.7100    1.7297928E+00    1.0957731E+01   -1.0957731E+01
 0.7200    1.6721507E+00    1.0893069E+01   -1.0893069E+01
 0.7300    1.6157110E+00    1.0819801E+01   -1.0819801E+01
