# total charge: 2.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.7627968E-02    0.0000000E+00    1.5957691E+01
 0.0100    1.7873473E-02    2.2460469E-05    1.5878079E+01
 0.0200    1.8183583E-02    9.1400655E-05    1.5641616E+01
 0.0300    1.8571242E-02    2.1003580E-04    1.5255303E+01
 0.0400    1.9050173E-02    3.8302645E-04    1.4730423E+01
 0.0500    1.9635382E-02    6.1686373E-04    1.4081996E+01
 0.0600    2.0343452E-02    9.2031610E-04    1.3328064E+01
 0.0700    2.1191144E-02    1.3048493E-03    1.2488852E+01
 0.0800    2.2192031E-02    1.7847890E-03    1.1585877E+01
 0.0900    2.3353094E-02    2.3770554E-03    1.0641033E+01
 0.1000    2.4673703E-02    3.1005890E-03    9.6757284E+00
 0.1100    2.6147509E-02    3.9758094E-03    8.7101113E+00
 0.1200    2.7765667E-02    5.0243567E-03    7.7624178E+00
 0.1300    2.9519492E-02    6.2691036E-03    6.8484746E+00
 0.1400    3.1401619E-02    7.7342458E-03    5.9813644E+00
 0.1500    3.3405879E-02    9.4452897E-03    5.1712585E+00
 0.1600    3.5526544E-02    1.1428857E-02    4.4254045E+00
 0.1700    3.7757641E-02    1.3712371E-02    3.7482507E+00
 0.1800    4.0092765E-02    1.6323786E-02    3.1416825E+00
 0.1900    4.2525458E-02    1.9291503E-02    2.6053411E+00
 0.2000    4.5049741E-02    2.2644469E-02    2.1369942E+00
 0.2100    4.7660323E-02    2.6412252E-02    1.7329316E+00
 0.2200    5.0352317E-02    3.0624901E-02    1.3883588E+00
 0.2300    5.3120687E-02    3.5312561E-02    1.0977689E+00
 0.2400    5.5959841E-02    4.0505017E-02    8.5527619E-01
 0.2500    5.8863542E-02    4.6231318E-02    6.5490070E-01
 0.2600    6.1825059E-02    5.2519562E-02    4.9079921E-01
 0.2700    6.4837397E-02    5.9396788E-02    3.5744060E-01
 0.2800    6.7893512E-02    6.6888922E-02    2.4972914E-01
 0.2900    7.0986444E-02    7.5020729E-02    1.6308057E-01
 0.3000    7.4109371E-02    8.3815724E-02    9.3458212E-02
 0.3100    7.7255579E-02    9.3296017E-02    3.7376745E-02
 0.3200    8.0418384E-02    1.0348208E-01   -8.1185553E-03
 0.3300    8.3591073E-02    1.1439252E-01   -4.5489767E-02
 0.3400    8.6766877E-02    1.2604385E-01   -7.6755084E-02
 0.3500    8.9938993E-02    1.3845032E-01   -1.0354302E-01
 0.3600    9.3100633E-02    1.5162384E-01   -1.2714776E-01
 0.3700    9.6245073E-02    1.6557388E-01   -1.4858267E-01
 0.3800    9.9365706E-02    1.8030741E-01   -1.6862954E-01
 0.3900    1.0245606E-01    1.9582888E-01   -1.8788267E-01
 0.4000    1.0550984E-01    2.1214011E-01   -2.0678690E-01
 0.4100    1.0852086E-01    2.2924021E-01   -2.2566974E-01
 0.4200    1.1148313E-01    2.4712552E-01   -2.4476780E-01
 0.4300    1.1439081E-01    2.6578956E-01   -2.6424815E-01
 0.4400    1.1723824E-01    2.8522297E-01   -2.8422527E-01
 0.4500    1.2001995E-01    3.0541357E-01   -3.0477422E-01
 0.4600    1.2273070E-01    3.2634635E-01   -3.2594071E-01
 0.4700    1.2536550E-01    3.4800351E-01   -3.4774871E-01
 0.4800    1.2791958E-01    3.7036451E-01   -3.7020606E-01
 0.4900    1.3038840E-01    3.9340601E-01   -3.9330845E-01
 0.5000    1.3276764E-01    4.1710184E-01   -4.1704237E-01
 0.5100    1.3505320E-01    4.4142313E-01   -4.4138724E-01
 0.5200    1.3724128E-01    4.6633856E-01   -4.6631711E-01
 0.5300    1.3932843E-01    4.9181454E-01   -4.9180185E-01
 0.5400    1.4131150E-01    5.1781533E-01   -5.1780790E-01
 0.5500    1.4318761E-01    5.4430296E-01   -5.4429865E-01
 0.5600    1.4495413E-01    5.7123722E-01   -5.7123475E-01
 0.5700    1.4660865E-01    5.9857582E-01   -5.9857441E-01
 0.5800    1.4814908E-01    6.2627461E-01   -6.2627382E-01
 0.5900    1.4957362E-01    6.5428789E-01   -6.5428745E-01
 0.6000    1.5088076E-01    6.8256849E-01   -6.8256824E-01
 0.6100    1.5206930E-01    7.1106791E-01   -7.1106778E-01
 0.6200    1.5313828E-01    7.3973644E-01   -7.3973637E-01
 0.6300    1.5408702E-01    7.6852328E-01   -7.6852324E-01
 0.6400    1.5491513E-01    7.9737687E-01   -7.9737685E-01
 0.6500    1.5562248E-01    8.2624513E-01   -8.2624512E-01
 0.6600    1.5620927E-01    8.5507567E-01   -8.5507567E-01
 0.6700    1.5667596E-01    8.8381595E-01   -8.8381595E-01
 0.6800    1.5702325E-01    9.1241337E-01   -9.1241337E-01
 0.6900    1.5725208E-01    9.4081543E-01   -9.4081543E-01
 0.7000    1.5736363E-01    9.6896993E-01   -9.6896992E-01
 0.7100    1.5735932E-01    9.9682527E-01   -9.9682527E-01
 0.7200    1.5724085E-01    1.0243308E+00   -1.0243308E+00
 0.7300    1.5701015E-01    1.0514371E+00   -1.0514371E+00
 0.7400    1.5666941E-01    1.0780962E+00   -1.0780962E+00
 0.7500    1.5622102E-01    1.1042613E+00   -1.1042613E+00
 0.7600    1.5566758E-01    1.1298876E+00   -1.1298876E+00
