# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    6.3990850E+00    0.0000000E+00    9.5746147E+01
 0.0100    6.3955963E+00    8.0369433E-03    9.5260574E+01
 0.0200    6.3911837E+00    3.2125593E-02    9.3818121E+01
 0.0300    6.3856552E+00    7.2220059E-02    9.1460856E+01
 0.0400    6.3788011E+00    1.2825341E-01    8.8256580E+01
 0.0500    6.3703849E+00    2.0013154E-01    8.4295547E+01
 0.0600    6.3601398E+00    2.8772595E-01    7.9686179E+01
 0.0700    6.3477922E+00    3.9086667E-01    7.4550077E+01
 0.0800    6.3331145E+00    5.0933929E-01    6.9016633E+01
 0.0900    6.3159765E+00    6.4288810E-01    6.3217572E+01
 0.1000    6.2963561E+00    7.9122345E-01    5.7281750E+01
 0.1100    6.2743017E+00    9.5402692E-01    5.1330496E+01
 0.1200    6.2498728E+00    1.1309503E+00    4.5473703E+01
 0.1300    6.2230975E+00    1.3216096E+00    3.9806853E+01
 0.1400    6.1939665E+00    1.5255793E+00    3.4409012E+01
 0.1500    6.1624594E+00    1.7423944E+00    2.9341829E+01
 0.1600    6.1285799E+00    1.9715586E+00    2.4649442E+01
 0.1700    6.0923720E+00    2.2125552E+00    2.0359223E+01
 0.1800    6.0539070E+00    2.4648507E+00    1.6483187E+01
 0.1900    6.0132472E+00    2.7278854E+00    1.3019910E+01
 0.2000    5.9704092E+00    3.0010550E+00    9.9567770E+00
 0.2100    5.9253589E+00    3.2836973E+00    7.2723658E+00
 0.2200    5.8780549E+00    3.5751055E+00    4.9387967E+00
 0.2300    5.8285189E+00    3.8745721E+00    2.9239170E+00
 0.2400    5.7768660E+00    4.1814282E+00    1.1932591E+00
 0.2500    5.7232436E+00    4.4950250E+00   -2.8823287E-01
 0.2600    5.6676978E+00    4.8146337E+00   -1.5547211E+00
 0.2700    5.6100735E+00    5.1393233E+00   -2.6382990E+00
 0.2800    5.5500496E+00    5.4679281E+00   -3.5682197E+00
 0.2900    5.4873150E+00    5.7991688E+00   -4.3705610E+00
 0.3000    5.4217727E+00    6.1318805E+00   -5.0682368E+00
 0.3100    5.3536411E+00    6.4652080E+00   -5.6811715E+00
 0.3200    5.2833866E+00    6.7986425E+00   -6.2264614E+00
 0.3300    5.2115268E+00    7.1318585E+00   -6.7184420E+00
 0.3400    5.1384126E+00    7.4644304E+00   -7.1686978E+00
 0.3500    5.0641069E+00    7.7955870E+00   -7.5861431E+00
 0.3600    4.9884265E+00    8.1241595E+00   -7.9773031E+00
 0.3700    4.9111149E+00    8.4487685E+00   -8.3468212E+00
 0.3800    4.8320456E+00    8.7681522E+00   -8.6980849E+00
 0.3900    4.7513437E+00    9.0814569E+00   -9.0337796E+00
 0.4000    4.6693527E+00    9.3882906E+00   -9.3561713E+00
 0.4100    4.5864277E+00    9.6884016E+00   -9.6669788E+00
 0.4200    4.5026512E+00    9.9810619E+00   -9.9669156E+00
 0.4300    4.4176815E+00    1.0264580E+01   -1.0255331E+01
 0.4400    4.3309337E+00    1.0536509E+01   -1.0530523E+01
 0.4500    4.2420482E+00    1.0794698E+01   -1.0790862E+01
 0.4600    4.1513112E+00    1.1038519E+01   -1.1036086E+01
 0.4700    4.0596429E+00    1.1269208E+01   -1.1267680E+01
 0.4800    3.9680901E+00    1.1488779E+01   -1.1487828E+01
 0.4900    3.8772009E+00    1.1698235E+01   -1.1697649E+01
 0.5000    3.7868021E+00    1.1896590E+01   -1.1896233E+01
 0.5100    3.6963869E+00    1.2081689E+01   -1.2081473E+01
 0.5200    3.6057859E+00    1.2252268E+01   -1.2252139E+01
 0.5300    3.5155147E+00    1.2409393E+01   -1.2409316E+01
