# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.8195311E+00    0.0000000E+00    8.7767302E+01
 0.0100    4.8173046E+00    6.0536035E-03    8.7323507E+01
 0.0200    4.8144901E+00    2.4200267E-02    8.6005192E+01
 0.0300    4.8109670E+00    5.4410755E-02    8.3850909E+01
 0.0400    4.8066054E+00    9.6642536E-02    8.0922788E+01
 0.0500    4.8012600E+00    1.5083603E-01    7.7303536E+01
 0.0600    4.7947672E+00    2.1691016E-01    7.3092502E+01
 0.0700    4.7869582E+00    2.9475798E-01    6.8401107E+01
 0.0800    4.7776900E+00    3.8424463E-01    6.3347897E+01
 0.0900    4.7668769E+00    4.8520897E-01    5.8053546E+01
 0.1000    4.7544999E+00    5.9746807E-01    5.2636091E+01
 0.1100    4.7405891E+00    7.2082119E-01    4.7206658E+01
 0.1200    4.7251942E+00    8.5505099E-01    4.1865881E+01
 0.1300    4.7083600E+00    9.9992225E-01    3.6701168E+01
 0.1400    4.6901165E+00    1.1551798E+00    3.1784863E+01
 0.1500    4.6704812E+00    1.3205474E+00    2.7173324E+01
 0.1600    4.6494676E+00    1.4957295E+00    2.2906854E+01
 0.1700    4.6270926E+00    1.6804125E+00    1.9010385E+01
 0.1800    4.6033776E+00    1.8742671E+00    1.5494768E+01
 0.1900    4.5783418E+00    2.0769463E+00    1.2358533E+01
 0.2000    4.5519949E+00    2.2880822E+00    9.5899304E+00
 0.2100    4.5243342E+00    2.5072817E+00    7.1691094E+00
 0.2200    4.4953488E+00    2.7341266E+00    5.0702838E+00
 0.2300    4.4650285E+00    2.9681768E+00    3.2637715E+00
 0.2400    4.4333705E+00    3.2089753E+00    1.7178214E+00
 0.2500    4.4003810E+00    3.4560512E+00    4.0017495E-01
 0.2600    4.3660737E+00    3.7089213E+00   -7.2066809E-01
 0.2700    4.3304650E+00    3.9670888E+00   -1.6744832E+00
 0.2800    4.2935702E+00    4.2300402E+00   -2.4886409E+00
 0.2900    4.2554009E+00    4.4972428E+00   -3.1876857E+00
 0.3000    4.2159651E+00    4.7681442E+00   -3.7931376E+00
 0.3100    4.1752711E+00    5.0421752E+00   -4.3234750E+00
 0.3200    4.1333305E+00    5.3187546E+00   -4.7942552E+00
 0.3300    4.0901598E+00    5.5972927E+00   -5.2183275E+00
 0.3400    4.0457789E+00    5.8771916E+00   -5.6061033E+00
 0.3500    4.0002088E+00    6.1578430E+00   -5.9658528E+00
 0.3600    3.9534697E+00    6.4386272E+00   -6.3040087E+00
 0.3700    3.9055827E+00    6.7189150E+00   -6.6254634E+00
 0.3800    3.8565714E+00    6.9980725E+00   -6.9338441E+00
 0.3900    3.8064629E+00    7.2754638E+00   -7.2317595E+00
 0.4000    3.7552868E+00    7.5504521E+00   -7.5210094E+00
 0.4100    3.7030732E+00    7.8223975E+00   -7.8027599E+00
 0.4200    3.6498518E+00    8.0906550E+00   -8.0776875E+00
 0.4300    3.5956516E+00    8.3545754E+00   -8.3460977E+00
 0.4400    3.5405032E+00    8.6135110E+00   -8.6080236E+00
 0.4500    3.4844417E+00    8.8668242E+00   -8.8633078E+00
 0.4600    3.4275088E+00    9.1138968E+00   -9.1116659E+00
 0.4700    3.3697519E+00    9.3541324E+00   -9.3527310E+00
 0.4800    3.3112209E+00    9.5869506E+00   -9.5860791E+00
