# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.5648634E+00    0.0000000E+00    4.7873074E+01
 0.0100    1.5634944E+00    1.9647450E-03    4.7632341E+01
 0.0200    1.5617661E+00    7.8502928E-03    4.6917273E+01
 0.0300    1.5596080E+00    1.7638751E-02    4.5748899E+01
 0.0400    1.5569463E+00    3.1304262E-02    4.4161113E+01
 0.0500    1.5537017E+00    4.8810978E-02    4.2199028E+01
 0.0600    1.5497882E+00    7.0110766E-02    3.9916842E+01
 0.0700    1.5451203E+00    9.5141116E-02    3.7375331E+01
 0.0800    1.5396315E+00    1.2382451E-01    3.4639162E+01
 0.0900    1.5332928E+00    1.5607019E-01    3.1774160E+01
 0.1000    1.5261183E+00    1.9177768E-01    2.8844709E+01
 0.1100    1.5181547E+00    2.3084011E-01    2.5911421E+01
 0.1200    1.5094634E+00    2.7314606E-01    2.3029181E+01
 0.1300    1.5001055E+00    3.1857989E-01    2.0245651E+01
 0.1400    1.4901353E+00    3.6702161E-01    1.7600274E+01
 0.1500    1.4796003E+00    4.1834714E-01    1.5123764E+01
 0.1600    1.4685448E+00    4.7242952E-01    1.2838071E+01
 0.1700    1.4570127E+00    5.2914056E-01    1.0756749E+01
 0.1800    1.4450492E+00    5.8835237E-01    8.8856666E+00
 0.1900    1.4326987E+00    6.4993802E-01    7.2239598E+00
 0.2000    1.4200031E+00    7.1377143E-01    5.7651446E+00
 0.2100    1.4070004E+00    7.7972720E-01    4.4983043E+00
 0.2200    1.3937258E+00    8.4768123E-01    3.4092699E+00
 0.2300    1.3802135E+00    9.1751211E-01    2.4817324E+00
 0.2400    1.3664983E+00    9.8910282E-01    1.6982408E+00
 0.2500    1.3526158E+00    1.0623419E+00    1.0410541E+00
 0.2600    1.3386019E+00    1.1371244E+00    4.9283186E-01
 0.2700    1.3244923E+00    1.2133521E+00    3.7160117E-02
 0.2800    1.3103213E+00    1.2909331E+00   -3.4107891E-01
 0.2900    1.2961210E+00    1.3697818E+00   -6.5547795E-01
 0.3000    1.2819201E+00    1.4498174E+00   -9.1799563E-01
 0.3100    1.2677437E+00    1.5309631E+00   -1.1389448E+00
 0.3200    1.2536138E+00    1.6131457E+00   -1.3270551E+00
 0.3300    1.2395499E+00    1.6962965E+00   -1.4895883E+00
 0.3400    1.2255702E+00    1.7803521E+00   -1.6324858E+00
 0.3500    1.2116915E+00    1.8652541E+00   -1.7605322E+00
 0.3600    1.1979288E+00    1.9509488E+00   -1.8775206E+00
 0.3700    1.1842944E+00    2.0373845E+00   -1.9864109E+00
 0.3800    1.1707975E+00    2.1245102E+00   -2.0894766E+00
 0.3900    1.1574437E+00    2.2122743E+00   -2.1884356E+00
 0.4000    1.1442365E+00    2.3006239E+00   -2.2845643E+00
 0.4100    1.1311770E+00    2.3895060E+00   -2.3787946E+00
 0.4200    1.1182653E+00    2.4788673E+00   -2.4717942E+00
 0.4300    1.1055005E+00    2.5686547E+00   -2.5640304E+00
 0.4400    1.0928802E+00    2.6588129E+00   -2.6558198E+00
 0.4500    1.0803991E+00    2.7492808E+00   -2.7473628E+00
 0.4600    1.0680479E+00    2.8399864E+00   -2.8387695E+00
 0.4700    1.0558137E+00    2.9308452E+00   -2.9300808E+00
 0.4800    1.0436818E+00    3.0217634E+00   -3.0212881E+00
 0.4900    1.0316380E+00    3.1126434E+00   -3.1123507E+00
 0.5000    1.0196697E+00    3.2033869E+00   -3.2032084E+00
 0.5100    1.0077646E+00    3.2938917E+00   -3.2937840E+00
 0.5200    9.9590849E-01    3.3840439E+00   -3.3839795E+00
 0.5300    9.8408410E-01    3.4737121E+00   -3.4736740E+00
 0.5400    9.7227251E-01    3.5627503E+00   -3.5627281E+00
 0.5500    9.6045639E-01    3.6510089E+00   -3.6509960E+00
 0.5600    9.4862248E-01    3.7383446E+00   -3.7383372E+00
 0.5700    9.3676108E-01    3.8246211E+00   -3.8246169E+00
 0.5800    9.2486268E-01    3.9096971E+00   -3.9096947E+00
 0.5900    9.1291416E-01    3.9934093E+00   -3.9934080E+00
 0.6000    9.0089748E-01    4.0755642E+00   -4.0755635E+00
 0.6100    8.8879192E-01    4.1559435E+00   -4.1559431E+00
 0.6200    8.7657823E-01    4.2343224E+00   -4.2343222E+00
 0.6300    8.6424214E-01    4.3104876E+00   -4.3104875E+00
 0.6400    8.5177509E-01    4.3842443E+00   -4.3842442E+00
 0.6500    8.3917237E-01    4.4554108E+00   -4.4554107E+00
 0.6600    8.2643021E-01    4.5238054E+00   -4.5238054E+00
 0.6700    8.1354383E-01    4.5892363E+00   -4.5892363E+00
 0.6800    8.0050710E-01    4.6514984E+00   -4.6514984E+00
 0.6900    7.8731384E-01    4.7103799E+00   -4.7103799E+00
 0.7000    7.7396005E-01    4.7656757E+00   -4.7656757E+00
 0.7100    7.6044611E-01    4.8172036E+00   -4.8172036E+00
 0.7200    7.4677730E-01    4.8648109E+00   -4.8648109E+00
 0.7300    7.3296218E-01    4.9083684E+00   -4.9083684E+00
 0.7400    7.1901007E-01    4.9477560E+00   -4.9477560E+00
 0.7500    7.0493033E-01    4.9828589E+00   -4.9828589E+00
 0.7600    6.9073380E-01    5.0135778E+00   -5.0135778E+00
 0.7700    6.7643444E-01    5.0398432E+00   -5.0398432E+00
 0.7800    6.6204899E-01    5.0616161E+00   -5.0616161E+00
 0.7900    6.4759421E-01    5.0788689E+00   -5.0788689E+00
 0.8000    6.3308390E-01    5.0915628E+00   -5.0915628E+00
 0.8100    6.1852815E-01    5.0996383E+00   -5.0996383E+00
 0.8200    6.0393568E-01    5.1030316E+00   -5.1030316E+00
 0.8300    5.8931800E-01    5.1017098E+00   -5.1017098E+00
 0.8400    5.7469301E-01    5.0957059E+00   -5.0957059E+00
 0.8500    5.6008588E-01    5.0851332E+00   -5.0851332E+00
 0.8600    5.4552638E-01    5.0701700E+00   -5.0701700E+00
 0.8700    5.3104408E-01    5.0510183E+00   -5.0510183E+00
 0.8800    5.1666392E-01    5.0278620E+00   -5.0278620E+00
 0.8900    5.0240480E-01    5.0008480E+00   -5.0008480E+00
 0.9000    4.8828163E-01    4.9701017E+00   -4.9701017E+00
 0.9100    4.7430890E-01    4.9357587E+00   -4.9357587E+00
 0.9200    4.6050268E-01    4.8979876E+00   -4.8979876E+00
 0.9300    4.4688034E-01    4.8569878E+00   -4.8569878E+00
 0.9400    4.3345909E-01    4.8129759E+00   -4.8129759E+00
 0.9500    4.2025515E-01    4.7661764E+00   -4.7661764E+00
 0.9600    4.0728408E-01    4.7168250E+00   -4.7168250E+00
 0.9700    3.9456118E-01    4.6651722E+00   -4.6651722E+00
 0.9800    3.8210106E-01    4.6114792E+00   -4.6114792E+00
 0.9900    3.6991718E-01    4.5560109E+00   -4.5560109E+00
 1.0000    3.5802181E-01    4.4990347E+00   -4.4990347E+00
 1.0100    3.4642648E-01    4.4408253E+00   -4.4408253E+00
 1.0200    3.3514186E-01    4.3816621E+00   -4.3816621E+00
 1.0300    3.2417690E-01    4.3218170E+00   -4.3218170E+00
 1.0400    3.1353780E-01    4.2615389E+00   -4.2615389E+00
 1.0500    3.0322757E-01    4.2010432E+00   -4.2010432E+00
