# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.5213789E+00    0.0000000E+00    5.5851919E+01
 0.0100    2.5189314E+00    3.1653826E-03    5.5570191E+01
 0.0200    2.5158412E+00    1.2645997E-02    5.4733331E+01
 0.0300    2.5119808E+00    2.8409833E-02    5.3365884E+01
 0.0400    2.5072166E+00    5.0410580E-02    5.1507409E+01
 0.0500    2.5014041E+00    7.8583926E-02    4.9210562E+01
 0.0600    2.4943851E+00    1.1284332E-01    4.6538601E+01
 0.0700    2.4860016E+00    1.5307608E-01    4.3562475E+01
 0.0800    2.4761284E+00    1.9914206E-01    4.0357675E+01
 0.0900    2.4647069E+00    2.5087661E-01    3.7001058E+01
 0.1000    2.4517553E+00    3.0809666E-01    3.3567805E+01
 0.1100    2.4373491E+00    3.7060645E-01    3.0128698E+01
 0.1200    2.4215894E+00    4.3820049E-01    2.6747847E+01
 0.1300    2.4045758E+00    5.1066377E-01    2.3480939E+01
 0.1400    2.3863952E+00    5.8777120E-01    2.0374074E+01
 0.1500    2.3671219E+00    6.6928794E-01    1.7463175E+01
 0.1600    2.3468246E+00    7.5497134E-01    1.4773946E+01
 0.1700    2.3255731E+00    8.4457400E-01    1.2322297E+01
 0.1800    2.3034395E+00    9.3784635E-01    1.0115176E+01
 0.1900    2.2804955E+00    1.0345376E+00    8.1516765E+00
 0.2000    2.2568073E+00    1.1343951E+00    6.4243403E+00
 0.2100    2.2324337E+00    1.2371633E+00    4.9205402E+00
 0.2200    2.2074287E+00    1.3425853E+00    3.6238577E+00
 0.2300    2.1818456E+00    1.4504059E+00    2.5153794E+00
 0.2400    2.1557410E+00    1.5603748E+00    1.5748595E+00
 0.2500    2.1291742E+00    1.6722495E+00    7.8171256E-01
 0.2600    2.1022056E+00    1.7857956E+00    1.1582010E-01
 0.2700    2.0748938E+00    1.9007861E+00   -4.4185526E-01
 0.2800    2.0472941E+00    2.0170012E+00   -9.0883799E-01
 0.2900    2.0194588E+00    2.1342282E+00   -1.3008736E+00
 0.3000    1.9914373E+00    2.2522626E+00   -1.6318038E+00
 0.3100    1.9632776E+00    2.3709094E+00   -1.9135547E+00
 0.3200    1.9350256E+00    2.4899839E+00   -2.1562116E+00
 0.3300    1.9067255E+00    2.6093114E+00   -2.3681517E+00
 0.3400    1.8784179E+00    2.7287259E+00   -2.5562152E+00
 0.3500    1.8501395E+00    2.8480685E+00   -2.7258929E+00
 0.3600    1.8219227E+00    2.9671863E+00   -2.8815200E+00
 0.3700    1.7937957E+00    3.0859316E+00   -3.0264624E+00
 0.3800    1.7657840E+00    3.2041633E+00   -3.1632907E+00
 0.3900    1.7379111E+00    3.3217476E+00   -3.2939359E+00
 0.4000    1.7101989E+00    3.4385588E+00   -3.4198226E+00
 0.4100    1.6826664E+00    3.5544760E+00   -3.5419794E+00
 0.4200    1.6553282E+00    3.6693788E+00   -3.6611268E+00
 0.4300    1.6281932E+00    3.7831426E+00   -3.7777476E+00
 0.4400    1.6012663E+00    3.8956396E+00   -3.8921477E+00
 0.4500    1.5745518E+00    4.0067463E+00   -4.0045086E+00
 0.4600    1.5480570E+00    4.1163517E+00   -4.1149320E+00
 0.4700    1.5217918E+00    4.2243590E+00   -4.2234673E+00
 0.4800    1.4957646E+00    4.3306748E+00   -4.3301203E+00
 0.4900    1.4699767E+00    4.4351926E+00   -4.4348511E+00
 0.5000    1.4444216E+00    4.5377842E+00   -4.5375761E+00
 0.5100    1.4190884E+00    4.6383089E+00   -4.6381833E+00
 0.5200    1.3939688E+00    4.7366316E+00   -4.7365565E+00
 0.5300    1.3690596E+00    4.8326346E+00   -4.8325902E+00
 0.5400    1.3443596E+00    4.9262092E+00   -4.9261832E+00
 0.5500    1.3198631E+00    5.0172312E+00   -5.0172161E+00
 0.5600    1.2955547E+00    5.1055397E+00   -5.1055311E+00
 0.5700    1.2714120E+00    5.1909383E+00   -5.1909334E+00
 0.5800    1.2474125E+00    5.2732205E+00   -5.2732178E+00
 0.5900    1.2235419E+00    5.3522047E+00   -5.3522032E+00
 0.6000    1.1997967E+00    5.4277522E+00   -5.4277514E+00
 0.6100    1.1761808E+00    5.4997584E+00   -5.4997579E+00
 0.6200    1.1526981E+00    5.5681228E+00   -5.5681226E+00
 0.6300    1.1293467E+00    5.6327210E+00   -5.6327208E+00
 0.6400    1.1061185E+00    5.6933972E+00   -5.6933971E+00
 0.6500    1.0830038E+00    5.7499830E+00   -5.7499830E+00
 0.6600    1.0599963E+00    5.8023255E+00   -5.8023255E+00
 0.6700    1.0370962E+00    5.8503052E+00   -5.8503052E+00
 0.6800    1.0143085E+00    5.8938317E+00   -5.8938317E+00
 0.6900    9.9163862E-01    5.9328242E+00   -5.9328242E+00
 0.7000    9.6908986E-01    5.9671917E+00   -5.9671917E+00
 0.7100    9.4666218E-01    5.9968279E+00   -5.9968279E+00
 0.7200    9.2435458E-01    6.0216215E+00   -6.0216215E+00
 0.7300    9.0216848E-01    6.0414785E+00   -6.0414785E+00
 0.7400    8.8011025E-01    6.0563419E+00   -6.0563419E+00
 0.7500    8.5819079E-01    6.0661933E+00   -6.0661933E+00
 0.7600    8.3642273E-01    6.0710370E+00   -6.0710370E+00
 0.7700    8.1481779E-01    6.0708823E+00   -6.0708823E+00
 0.7800    7.9338705E-01    6.0657454E+00   -6.0657454E+00
 0.7900    7.7214420E-01    6.0556736E+00   -6.0556736E+00
 0.8000    7.5110866E-01    6.0407742E+00   -6.0407742E+00
 0.8100    7.3030557E-01    6.0212203E+00   -6.0212203E+00
 0.8200    7.0976196E-01    5.9972242E+00   -5.9972242E+00
 0.8300    6.8950142E-01    5.9689950E+00   -5.9689950E+00
 0.8400    6.6954073E-01    5.9367045E+00   -5.9367045E+00
 0.8500    6.4988992E-01    5.9004824E+00   -5.9004824E+00
 0.8600    6.3055566E-01    5.8604396E+00   -5.8604396E+00
 0.8700    6.1154574E-01    5.8167087E+00   -5.8167087E+00
 0.8800    5.9287260E-01    5.7694789E+00   -5.7694789E+00
 0.8900    5.7455382E-01    5.7190066E+00   -5.7190066E+00
 0.9000    5.5660970E-01    5.6655967E+00   -5.6655967E+00
 0.9100    5.3905980E-01    5.6095703E+00   -5.6095703E+00
 0.9200    5.2192084E-01    5.5512419E+00   -5.5512419E+00
 0.9300    5.0520676E-01    5.4909175E+00   -5.4909175E+00
 0.9400    4.8892986E-01    5.4289037E+00   -5.4289037E+00
 0.9500    4.7310105E-01    5.3655097E+00   -5.3655097E+00
 0.9600    4.5772892E-01    5.3010351E+00   -5.3010351E+00
 0.9700    4.4281849E-01    5.2357522E+00   -5.2357522E+00
 0.9800    4.2837085E-01    5.1698975E+00   -5.1698975E+00
 0.9900    4.1438359E-01    5.1036726E+00   -5.1036726E+00
 1.0000    4.0085166E-01    5.0372505E+00   -5.0372505E+00
 1.0100    3.8776856E-01    4.9707876E+00   -4.9707876E+00
 1.0200    3.7512811E-01    4.9044444E+00   -4.9044444E+00
 1.0300    3.6292601E-01    4.8384072E+00   -4.8384072E+00
 1.0400    3.5115984E-01    4.7728896E+00   -4.7728896E+00
 1.0500    3.3982673E-01    4.7081034E+00   -4.7081034E+00
 1.0600    3.2892021E-01    4.6442132E+00   -4.6442132E+00
 1.0700    3.1842845E-01    4.5813058E+00   -4.5813058E+00
 1.0800    3.0833492E-01    4.5193928E+00   -4.5193928E+00
 1.0900    2.9862067E-01    4.4584379E+00   -4.4584379E+00
 1.1000    2.8926644E-01    4.3983855E+00   -4.3983855E+00
 1.1100    2.8025340E-01    4.3391704E+00   -4.3391704E+00
 1.1200    2.7156272E-01    4.2807124E+00   -4.2807124E+00
 1.1300    2.6317518E-01    4.2229085E+00   -4.2229085E+00
 1.1400    2.5507154E-01    4.1656385E+00   -4.1656385E+00
 1.1500    2.4723363E-01    4.1087819E+00   -4.1087819E+00
 1.1600    2.3964538E-01    4.0522377E+00   -4.0522377E+00
 1.1700    2.3229338E-01    3.9959351E+00   -3.9959351E+00
 1.1800    2.2516678E-01    3.9398366E+00   -3.9398366E+00
 1.1900    2.1825706E-01    3.8839362E+00   -3.8839362E+00
 1.2000    2.1155770E-01    3.8282580E+00   -3.8282580E+00
 1.2100    2.0506384E-01    3.7728514E+00   -3.7728514E+00
 1.2200    1.9877168E-01    3.7177829E+00   -3.7177829E+00
 1.2300    1.9267779E-01    3.6631250E+00   -3.6631250E+00
 1.2400    1.8677866E-01    3.6089469E+00   -3.6089469E+00
 1.2500    1.8107045E-01    3.5553100E+00   -3.5553100E+00
 1.2600    1.7554895E-01    3.5022664E+00   -3.5022664E+00
 1.2700    1.7020964E-01    3.4498600E+00   -3.4498600E+00
 1.2800    1.6504778E-01    3.3981261E+00   -3.3981261E+00
 1.2900    1.6005833E-01    3.3470913E+00   -3.3470913E+00
 1.3000    1.5523601E-01    3.2967730E+00   -3.2967730E+00
 1.3100    1.5057546E-01    3.2471822E+00   -3.2471822E+00
 1.3200    1.4607150E-01    3.1983296E+00   -3.1983296E+00
 1.3300    1.4171925E-01    3.1502281E+00   -3.1502281E+00
 1.3400    1.3751405E-01    3.1028912E+00   -3.1028912E+00
 1.3500    1.3345104E-01    3.0563237E+00   -3.0563237E+00
 1.3600    1.2952482E-01    3.0105143E+00   -3.0105143E+00
 1.3700    1.2572958E-01    2.9654353E+00   -2.9654353E+00
 1.3800    1.2205934E-01    2.9210504E+00   -2.9210504E+00
 1.3900    1.1850852E-01    2.8773259E+00   -2.8773259E+00
 1.4000    1.1507222E-01    2.8342387E+00   -2.8342387E+00
 1.4100    1.1174626E-01    2.7917793E+00   -2.7917793E+00
 1.4200    1.0852702E-01    2.7499478E+00   -2.7499478E+00
 1.4300    1.0541107E-01    2.7087451E+00   -2.7087451E+00
 1.4400    1.0239478E-01    2.6681649E+00   -2.6681649E+00
 1.4500    9.9474275E-02    2.6281893E+00   -2.6281893E+00
 1.4600    9.6645511E-02    2.5887926E+00   -2.5887926E+00
 1.4700    9.3904544E-02    2.5499469E+00   -2.5499469E+00
 1.4800    9.1247722E-02    2.5116281E+00   -2.5116281E+00
 1.4900    8.8671684E-02    2.4738158E+00   -2.4738158E+00
 1.5000    8.6173266E-02    2.4364917E+00   -2.4364917E+00
 1.5100    8.3749452E-02    2.3996380E+00   -2.3996380E+00
 1.5200    8.1397483E-02    2.3632410E+00   -2.3632410E+00
 1.5300    7.9115040E-02    2.3272968E+00   -2.3272968E+00
 1.5400    7.6900319E-02    2.2918144E+00   -2.2918144E+00
 1.5500    7.4751857E-02    2.2568113E+00   -2.2568113E+00
 1.5600    7.2668134E-02    2.2223020E+00   -2.2223020E+00
 1.5700    7.0647229E-02    2.1882871E+00   -2.1882871E+00
