# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.3077244E+00    0.0000000E+00    6.3830765E+01
 0.0100    3.3049209E+00    4.1530861E-03    6.3508255E+01
 0.0200    3.3013801E+00    1.6594546E-02    6.2550236E+01
 0.0300    3.2969549E+00    3.7287682E-02    6.0984763E+01
 0.0400    3.2914901E+00    6.6179336E-02    5.8857043E+01
 0.0500    3.2848165E+00    1.0319555E-01    5.6227257E+01
 0.0600    3.2767478E+00    1.4823658E-01    5.3167700E+01
 0.0700    3.2670968E+00    2.0117219E-01    4.9759457E+01
 0.0800    3.2557132E+00    2.6183999E-01    4.6088808E+01
 0.0900    3.2425230E+00    3.3004864E-01    4.2243591E+01
 0.1000    3.2275390E+00    4.0558451E-01    3.8309731E+01
 0.1100    3.2108397E+00    4.8821808E-01    3.4368130E+01
 0.1200    3.1925315E+00    5.7770689E-01    3.0492062E+01
 0.1300    3.1727182E+00    6.7379543E-01    2.6745179E+01
 0.1400    3.1514880E+00    7.7621421E-01    2.3180180E+01
 0.1500    3.1289150E+00    8.8467987E-01    1.9838135E+01
 0.1600    3.1050675E+00    9.9889737E-01    1.6748436E+01
 0.1700    3.0800151E+00    1.1185633E+00    1.3929289E+01
 0.1800    3.0538310E+00    1.2433685E+00    1.1388657E+01
 0.1900    3.0265874E+00    1.3729992E+00    9.1255312E+00
 0.2000    2.9983503E+00    1.5071352E+00    7.1314194E+00
 0.2100    2.9691775E+00    1.6454497E+00    5.3919256E+00
 0.2200    2.9391221E+00    1.7876103E+00    3.8883245E+00
 0.2300    2.9082389E+00    1.9332838E+00    2.5990422E+00
 0.2400    2.8765885E+00    2.0821408E+00    1.5009841E+00
 0.2500    2.8442363E+00    2.2338579E+00    5.7067015E-01
 0.2600    2.8112462E+00    2.3881161E+00   -2.1484106E-01
 0.2700    2.7776752E+00    2.5445961E+00   -8.7724651E-01
 0.2800    2.7435719E+00    2.7029765E+00   -1.4365043E+00
 0.2900    2.7089817E+00    2.8629379E+00   -1.9105327E+00
 0.3000    2.6739542E+00    3.0241709E+00   -2.3150752E+00
 0.3100    2.6385477E+00    3.1863847E+00   -2.6636936E+00
 0.3200    2.6028271E+00    3.3493084E+00   -2.9678543E+00
 0.3300    2.5668552E+00    3.5126843E+00   -3.2370733E+00
 0.3400    2.5306846E+00    3.6762558E+00   -3.4791008E+00
 0.3500    2.4943541E+00    3.8397598E+00   -3.7001305E+00
 0.3600    2.4578931E+00    4.0029288E+00   -3.9050245E+00
 0.3700    2.4213301E+00    4.1655018E+00   -4.0975369E+00
 0.3800    2.3846984E+00    4.3272354E+00   -4.2805239E+00
 0.3900    2.3480376E+00    4.4879098E+00   -4.4561249E+00
 0.4000    2.3113899E+00    4.6473251E+00   -4.6259122E+00
 0.4100    2.2747928E+00    4.8052881E+00   -4.7910062E+00
