# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.8262783E+00    0.0000000E+00    7.1809610E+01
 0.0100    4.8216637E+00    6.0590813E-03    7.1445399E+01
 0.0200    4.8158356E+00    2.4207030E-02    7.0363478E+01
 0.0300    4.8085518E+00    5.4383440E-02    6.8595423E+01
 0.0400    4.7995567E+00    9.6500813E-02    6.6192124E+01
 0.0500    4.7885718E+00    1.5043742E-01    6.3221321E+01
 0.0600    4.7752906E+00    2.1602906E-01    5.9764399E+01
 0.0700    4.7594048E+00    2.9306138E-01    5.5912647E+01
 0.0800    4.7406669E+00    3.8126706E-01    5.1763212E+01
 0.0900    4.7189544E+00    4.8033105E-01    4.7415014E+01
 0.1000    4.6942879E+00    5.8990161E-01    4.2964829E+01
 0.1100    4.6667952E+00    7.0960060E-01    3.8503791E+01
 0.1200    4.6366502E+00    8.3902845E-01    3.4114461E+01
 0.1300    4.6040227E+00    9.7776396E-01    2.9868583E+01
 0.1400    4.5690566E+00    1.1253626E+00    2.5825581E+01
 0.1500    4.5318729E+00    1.2813569E+00    2.2031810E+01
 0.1600    4.4925841E+00    1.4452602E+00    1.8520490E+01
 0.1700    4.4513068E+00    1.6165727E+00    1.5312261E+01
 0.1800    4.4081641E+00    1.7947858E+00    1.2416243E+01
 0.1900    4.3632778E+00    1.9793834E+00    9.8314632E+00
 0.2000    4.3167568E+00    2.1698387E+00    7.5485353E+00
 0.2100    4.2686936E+00    2.3656115E+00    5.5514357E+00
 0.2200    4.2191704E+00    2.5661515E+00    3.8192752E+00
 0.2300    4.1682723E+00    2.7709049E+00    2.3279619E+00
 0.2400    4.1160944E+00    2.9793236E+00    1.0516919E+00
 0.2500    4.0627415E+00    3.1908697E+00   -3.5775615E-02
 0.2600    4.0083193E+00    3.4050137E+00   -9.6007926E-01
 0.2700    3.9529268E+00    3.6212304E+00   -1.7454622E+00
 0.2800    3.8966540E+00    3.8389970E+00   -2.4142157E+00
 0.2900    3.8395859E+00    4.0577964E+00   -2.9863406E+00
