# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    6.6795426E+00    0.0000000E+00    7.9788456E+01
 0.0100    6.6723949E+00    8.3847787E-03    7.9382125E+01
 0.0200    6.6633705E+00    3.3493753E-02    7.8175045E+01
 0.0300    6.6520982E+00    7.5233458E-02    7.6202330E+01
 0.0400    6.6381885E+00    1.3346870E-01    7.3520559E+01
 0.0500    6.6212196E+00    2.0801175E-01    7.0205054E+01
 0.0600    6.6007278E+00    2.9860989E-01    6.6346311E+01
 0.0700    6.5762449E+00    4.0493370E-01    6.2045853E+01
 0.0800    6.5473930E+00    5.2657259E-01    5.7411738E+01
 0.0900    6.5139819E+00    6.6304259E-01    5.2554007E+01
 0.1000    6.4760400E+00    8.1380318E-01    4.7580342E+01
 0.1100    6.4337624E+00    9.7827342E-01    4.2592162E+01
 0.1200    6.3874195E+00    1.1558402E+00    3.7681371E+01
 0.1300    6.3372801E+00    1.3458587E+00    3.2927860E+01
 0.1400    6.2835759E+00    1.5476502E+00    2.8397843E+01
 0.1500    6.2265030E+00    1.7605022E+00    2.4143017E+01
 0.1600    6.1662420E+00    1.9836744E+00    2.0200493E+01
 0.1700    6.1029782E+00    2.2164070E+00    1.6593408E+01
 0.1800    6.0369064E+00    2.4579289E+00    1.3332103E+01
 0.1900    5.9682207E+00    2.7074593E+00    1.0415704E+01
 0.2000    5.8970978E+00    2.9642047E+00    7.8339886E+00
 0.2100    5.8236898E+00    3.2273546E+00    5.5693646E+00
 0.2200    5.7481314E+00    3.4960844E+00    3.5988341E+00
 0.2300    5.6705557E+00    3.7695643E+00    1.8958433E+00
 0.2400    5.5911061E+00    4.0469709E+00    4.3193516E-01
 0.2500    5.5099397E+00    4.3274965E+00   -8.2183640E-01
 0.2600    5.4272228E+00    4.6103533E+00   -1.8937595E+00
 0.2700    5.3431240E+00    4.8947741E+00   -2.8105871E+00
 0.2800    5.2578077E+00    5.1800103E+00   -3.5969200E+00
 0.2900    5.1714291E+00    5.4653305E+00   -4.2748240E+00
 0.3000    5.0841334E+00    5.7500194E+00   -4.8636497E+00
 0.3100    4.9960576E+00    6.0333801E+00   -5.3800163E+00
 0.3200    4.9073334E+00    6.3147387E+00   -5.8379210E+00
 0.3300    4.8180889E+00    6.5934475E+00   -6.2489337E+00
 0.3400    4.7284486E+00    6.8688870E+00   -6.6224432E+00
 0.3500    4.6385320E+00    7.1404652E+00   -6.9659287E+00
 0.3600    4.5484520E+00    7.4076164E+00   -7.2852360E+00
 0.3700    4.4583148E+00    7.6698001E+00   -7.5848440E+00
 0.3800    4.3682196E+00    7.9265011E+00   -7.8681117E+00
 0.3900    4.2782595E+00    8.1772298E+00   -8.1374987E+00
 0.4000    4.1885213E+00    8.4215218E+00   -8.3947558E+00
 0.4100    4.0990860E+00    8.6589376E+00   -8.6410852E+00
 0.4200    4.0100283E+00    8.8890609E+00   -8.8772723E+00
 0.4300    3.9214167E+00    9.1114978E+00   -9.1037907E+00
 0.4400    3.8333138E+00    9.3258749E+00   -9.3208864E+00
 0.4500    3.7457758E+00    9.5318383E+00   -9.5286416E+00
 0.4600    3.6588535E+00    9.7290526E+00   -9.7270245E+00
 0.4700    3.5725929E+00    9.9172008E+00   -9.9159268E+00
