# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    7.8764547E+00    0.0000000E+00    8.7767302E+01
 0.0100    7.8681930E+00    9.8874629E-03    8.7319673E+01
 0.0200    7.8577570E+00    3.9497395E-02    8.5989895E+01
 0.0300    7.8447111E+00    8.8721593E-02    8.3816598E+01
 0.0400    7.8285939E+00    1.5740322E-01    8.0862028E+01
 0.0500    7.8089021E+00    2.4532389E-01    7.7209048E+01
 0.0600    7.7850822E+00    3.5218882E-01    7.2957224E+01
 0.0700    7.7565793E+00    4.7761305E-01    6.8218252E+01
 0.0800    7.7229508E+00    6.2111656E-01    6.3111025E+01
 0.0900    7.6839802E+00    7.8213392E-01    5.7756621E+01
 0.1000    7.6397087E+00    9.6003411E-01    5.2273525E+01
 0.1100    7.5903683E+00    1.1541389E+00    4.6773340E+01
 0.1200    7.5362720E+00    1.3637317E+00    4.1357200E+01
 0.1300    7.4777248E+00    1.5880568E+00    3.6113033E+01
 0.1400    7.4149853E+00    1.8263173E+00    3.1113725E+01
 0.1500    7.3482693E+00    2.0776742E+00    2.6416197E+01
 0.1600    7.2777742E+00    2.3412533E+00    2.2061330E+01
 0.1700    7.2037009E+00    2.6161545E+00    1.8074643E+01
 0.1800    7.1262625E+00    2.9014607E+00    1.4467574E+01
 0.1900    7.0456732E+00    3.1962413E+00    1.1239238E+01
 0.2000    6.9621309E+00    3.4995487E+00    8.3784640E+00
 0.2100    6.8758072E+00    3.8104138E+00    5.8659773E+00
 0.2200    6.7868539E+00    4.1278483E+00    3.6765621E+00
 0.2300    6.6954195E+00    4.4508538E+00    1.7810945E+00
 0.2400    6.6016640E+00    4.7784359E+00    1.4836077E-01
 0.2500    6.5057640E+00    5.1096151E+00   -1.2533890E+00
 0.2600    6.4079083E+00    5.4434326E+00   -2.4551793E+00
 0.2700    6.3082890E+00    5.7789505E+00   -3.4863448E+00
 0.2800    6.2070922E+00    6.1152487E+00   -4.3738493E+00
 0.2900    6.1044920E+00    6.4514211E+00   -5.1418640E+00
 0.3000    6.0006496E+00    6.7865748E+00   -5.8115682E+00
 0.3100    5.8957170E+00    7.1198342E+00   -6.4011340E+00
 0.3200    5.7898427E+00    7.4503485E+00   -6.9258491E+00
 0.3300    5.6831749E+00    7.7772985E+00   -7.3983333E+00
 0.3400    5.5758603E+00    8.0998986E+00   -7.8288104E+00
 0.3500    5.4680404E+00    8.4173943E+00   -8.2254041E+00
 0.3600    5.3598490E+00    8.7290589E+00   -8.5944405E+00
 0.3700    5.2514112E+00    9.0341925E+00   -8.9407409E+00
 0.3800    5.1428446E+00    9.3321231E+00   -9.2678948E+00
 0.3900    5.0342603E+00    9.6222080E+00   -9.5785038E+00
 0.4000    4.9257635E+00    9.9038351E+00   -9.8743925E+00
 0.4100    4.8174538E+00    1.0176423E+01   -1.0156785E+01
 0.4200    4.7094250E+00    1.0439419E+01   -1.0426451E+01
 0.4300    4.6017646E+00    1.0692301E+01   -1.0683823E+01
 0.4400    4.4945542E+00    1.0934573E+01   -1.0929086E+01
 0.4500    4.3878696E+00    1.1165768E+01   -1.1162252E+01
 0.4600    4.2817809E+00    1.1385444E+01   -1.1383213E+01
 0.4700    4.1763530E+00    1.1593185E+01   -1.1591784E+01
 0.4800    4.0716461E+00    1.1788604E+01   -1.1787732E+01
 0.4900    3.9677162E+00    1.1971336E+01   -1.1970800E+01
 0.5000    3.8646159E+00    1.2141049E+01   -1.2140722E+01
 0.5100    3.7623943E+00    1.2297435E+01   -1.2297237E+01
 0.5200    3.6610972E+00    1.2440213E+01   -1.2440095E+01
 0.5300    3.5607673E+00    1.2569129E+01   -1.2569060E+01
 0.5400    3.4614444E+00    1.2683956E+01   -1.2683916E+01
 0.5500    3.3631665E+00    1.2784496E+01   -1.2784472E+01
 0.5600    3.2659704E+00    1.2870581E+01   -1.2870568E+01
 0.5700    3.1698919E+00    1.2942078E+01   -1.2942071E+01
 0.5800    3.0749652E+00    1.2998884E+01   -1.2998879E+01
 0.5900    2.9812237E+00    1.3040927E+01   -1.3040924E+01
 0.6000    2.8886996E+00    1.3068169E+01   -1.3068168E+01
 0.6100    2.7974251E+00    1.3080610E+01   -1.3080609E+01
 0.6200    2.7074324E+00    1.3078287E+01   -1.3078287E+01
 0.6300    2.6187544E+00    1.3061280E+01   -1.3061280E+01
 0.6400    2.5314237E+00    1.3029707E+01   -1.3029707E+01
 0.6500    2.4454731E+00    1.2983730E+01   -1.2983730E+01
 0.6600    2.3609351E+00    1.2923549E+01   -1.2923549E+01
 0.6700    2.2778425E+00    1.2849409E+01   -1.2849409E+01
 0.6800    2.1962284E+00    1.2761602E+01   -1.2761602E+01
 0.6900    2.1161266E+00    1.2660466E+01   -1.2660466E+01
 0.7000    2.0375711E+00    1.2546388E+01   -1.2546388E+01
 0.7100    1.9605962E+00    1.2419804E+01   -1.2419804E+01
 0.7200    1.8852357E+00    1.2281192E+01   -1.2281192E+01
 0.7300    1.8115225E+00    1.2131076E+01   -1.2131076E+01
 0.7400    1.7394885E+00    1.1970020E+01   -1.1970020E+01
 0.7500    1.6691644E+00    1.1798628E+01   -1.1798628E+01
 0.7600    1.6005800E+00    1.1617547E+01   -1.1617547E+01
 0.7700    1.5337639E+00    1.1427463E+01   -1.1427463E+01
 0.7800    1.4687438E+00    1.1229104E+01   -1.1229104E+01
 0.7900    1.4055461E+00    1.1023237E+01   -1.1023237E+01
 0.8000    1.3441956E+00    1.0810662E+01   -1.0810662E+01
 0.8100    1.2847145E+00    1.0592209E+01   -1.0592209E+01
 0.8200    1.2271222E+00    1.0368726E+01   -1.0368726E+01
 0.8300    1.1714345E+00    1.0141076E+01   -1.0141076E+01
 0.8400    1.1176633E+00    9.9101320E+00   -9.9101320E+00
 0.8500    1.0658172E+00    9.6767702E+00   -9.6767702E+00
 0.8600    1.0159003E+00    9.4418663E+00   -9.4418663E+00
 0.8700    9.6791254E-01    9.2062865E+00   -9.2062865E+00
 0.8800    9.2184901E-01    8.9708790E+00   -8.9708790E+00
 0.8900    8.7769995E-01    8.7364692E+00   -8.7364692E+00
 0.9000    8.3545126E-01    8.5038581E+00   -8.5038581E+00
 0.9100    7.9508484E-01    8.2738210E+00   -8.2738210E+00
 0.9200    7.5657868E-01    8.0471041E+00   -8.0471041E+00
 0.9300    7.1990652E-01    7.8244149E+00   -7.8244149E+00
 0.9400    6.8503714E-01    7.6064092E+00   -7.6064092E+00
 0.9500    6.5193378E-01    7.3936785E+00   -7.3936785E+00
 0.9600    6.2055401E-01    7.1867398E+00   -7.1867398E+00
