# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    9.7228298E+00    0.0000000E+00    9.5746147E+01
 0.0100    9.7116451E+00    1.2204013E-02    9.5256407E+01
 0.0200    9.6975179E+00    4.8745041E-02    9.3801502E+01
 0.0300    9.6798597E+00    1.0947663E-01    9.1423599E+01
 0.0400    9.6580485E+00    1.9418659E-01    8.8190647E+01
 0.0500    9.6314065E+00    3.0257956E-01    8.4193099E+01
 0.0600    9.5991896E+00    4.3425711E-01    7.9539648E+01
 0.0700    9.5606521E+00    5.8869922E-01    7.4352245E+01
 0.0800    9.5152018E+00    7.6525793E-01    6.8760715E+01
 0.0900    9.4625538E+00    9.6317066E-01    6.2897289E+01
 0.1000    9.4027738E+00    1.1815874E+00    5.6891386E+01
 0.1100    9.3361875E+00    1.4195961E+00    5.0864926E+01
 0.1200    9.2632298E+00    1.6762346E+00    4.4928419E+01
 0.1300    9.1843239E+00    1.9504902E+00    3.9177972E+01
 0.1400    9.0998288E+00    2.2412957E+00    3.3693296E+01
 0.1500    9.0100467E+00    2.5475307E+00    2.8536692E+01
 0.1600    8.9152563E+00    2.8680298E+00    2.3752971E+01
 0.1700    8.8157430E+00    3.2015967E+00    1.9370182E+01
 0.1800    8.7118058E+00    3.5470153E+00    1.5401023E+01
 0.1900    8.6037423E+00    3.9030531E+00    1.1844742E+01
 0.2000    8.4918261E+00    4.2684574E+00    8.6893746E+00
 0.2100    8.3762970E+00    4.6419507E+00    5.9141124E+00
 0.2200    8.2573714E+00    5.0222352E+00    3.4916671E+00
 0.2300    8.1352630E+00    5.4080056E+00    1.3904834E+00
 0.2400    8.0101998E+00    5.7979664E+00   -4.2327915E-01
 0.2500    7.8824286E+00    6.1908450E+00   -1.9840529E+00
 0.2600    7.7522099E+00    6.5853989E+00   -3.3254863E+00
 0.2700    7.6198068E+00    6.9804168E+00   -4.4793924E+00
 0.2800    7.4854748E+00    7.3747156E+00   -5.4750072E+00
 0.2900    7.3494550E+00    7.7671376E+00   -6.3385298E+00
 0.3000    7.2119728E+00    8.1565491E+00   -7.0929054E+00
 0.3100    7.0732398E+00    8.5418440E+00   -7.7578074E+00
 0.3200    6.9334586E+00    8.9219492E+00   -8.3497680E+00
 0.3300    6.7928255E+00    9.2958306E+00   -8.8824141E+00
 0.3400    6.6515327E+00    9.6624982E+00   -9.3667656E+00
 0.3500    6.5097682E+00    1.0021010E+01   -9.8115657E+00
 0.3600    6.3677153E+00    1.0370471E+01   -1.0223615E+01
 0.3700    6.2255503E+00    1.0710039E+01   -1.0608092E+01
 0.3800    6.0834396E+00    1.1038912E+01   -1.0968844E+01
 0.3900    5.9415367E+00    1.1356326E+01   -1.1308649E+01
 0.4000    5.7999818E+00    1.1661555E+01   -1.1629436E+01
 0.4100    5.6589034E+00    1.1953907E+01   -1.1932484E+01
 0.4200    5.5184212E+00    1.2232727E+01   -1.2218581E+01
 0.4300    5.3786488E+00    1.2497408E+01   -1.2488160E+01
 0.4400    5.2396938E+00    1.2747386E+01   -1.2741400E+01
 0.4500    5.1016582E+00    1.2982139E+01   -1.2978303E+01
 0.4600    4.9646371E+00    1.3201189E+01   -1.3198755E+01
 0.4700    4.8287191E+00    1.3404096E+01   -1.3402567E+01
 0.4800    4.6939868E+00    1.3590461E+01   -1.3589511E+01
 0.4900    4.5605176E+00    1.3759928E+01   -1.3759343E+01
 0.5000    4.4283848E+00    1.3912181E+01   -1.3911824E+01
 0.5100    4.2976575E+00    1.4046950E+01   -1.4046734E+01
 0.5200    4.1684006E+00    1.4164003E+01   -1.4163874E+01
 0.5300    4.0406745E+00    1.4263151E+01   -1.4263075E+01
 0.5400    3.9145362E+00    1.4344245E+01   -1.4344200E+01
 0.5500    3.7900400E+00    1.4407182E+01   -1.4407156E+01
 0.5600    3.6672389E+00    1.4451906E+01   -1.4451891E+01
 0.5700    3.5461847E+00    1.4478412E+01   -1.4478403E+01
 0.5800    3.4269283E+00    1.4486747E+01   -1.4486742E+01
 0.5900    3.3095198E+00    1.4477010E+01   -1.4477007E+01
 0.6000    3.1940082E+00    1.4449353E+01   -1.4449351E+01
 0.6100    3.0804419E+00    1.4403982E+01   -1.4403981E+01
 0.6200    2.9688690E+00    1.4341160E+01   -1.4341160E+01
 0.6300    2.8593373E+00    1.4261209E+01   -1.4261209E+01
 0.6400    2.7518942E+00    1.4164510E+01   -1.4164509E+01
 0.6500    2.6465869E+00    1.4051501E+01   -1.4051501E+01
 0.6600    2.5434622E+00    1.3922686E+01   -1.3922686E+01
 0.6700    2.4425663E+00    1.3778623E+01   -1.3778623E+01
 0.6800    2.3439447E+00    1.3619935E+01   -1.3619935E+01
 0.6900    2.2476420E+00    1.3447303E+01   -1.3447303E+01
 0.7000    2.1537016E+00    1.3261464E+01   -1.3261464E+01
 0.7100    2.0621658E+00    1.3063217E+01   -1.3063217E+01
 0.7200    1.9730748E+00    1.2853411E+01   -1.2853411E+01
 0.7300    1.8864667E+00    1.2632948E+01   -1.2632948E+01
 0.7400    1.8023766E+00    1.2402775E+01   -1.2402775E+01
 0.7500    1.7208368E+00    1.2163878E+01   -1.2163878E+01
 0.7600    1.6418756E+00    1.1917284E+01   -1.1917284E+01
 0.7700    1.5655182E+00    1.1664052E+01   -1.1664052E+01
 0.7800    1.4917856E+00    1.1405268E+01   -1.1405268E+01
 0.7900    1.4206945E+00    1.1142041E+01   -1.1142041E+01
 0.8000    1.3522567E+00    1.0875494E+01   -1.0875494E+01
 0.8100    1.2864782E+00    1.0606750E+01   -1.0606750E+01
 0.8200    1.2233586E+00    1.0336925E+01   -1.0336925E+01
 0.8300    1.1628913E+00    1.0067118E+01   -1.0067118E+01
 0.8400    1.1050631E+00    9.7984082E+00   -9.7984082E+00
 0.8500    1.0498552E+00    9.5318484E+00   -9.5318484E+00
 0.8600    9.9724180E-01    9.2684527E+00   -9.2684527E+00
 0.8700    9.4718967E-01    9.0091812E+00   -9.0091812E+00
 0.8800    8.9965755E-01    8.7549252E+00   -8.7549252E+00
 0.8900    8.5459631E-01    8.5064997E+00   -8.5064997E+00
 0.9000    8.1194984E-01    8.2646427E+00   -8.2646427E+00
 0.9100    7.7165589E-01    8.0300144E+00   -8.0300144E+00
 0.9200    7.3364644E-01    7.8031927E+00   -7.8031927E+00
 0.9300    6.9784740E-01    7.5846619E+00   -7.5846619E+00
 0.9400    6.6417810E-01    7.3747979E+00   -7.3747979E+00
 0.9500    6.3255108E-01    7.1738564E+00   -7.1738564E+00
 0.9600    6.0287235E-01    6.9819654E+00   -6.9819654E+00
 0.9700    5.7504218E-01    6.7991252E+00   -6.7991252E+00
 0.9800    5.4895618E-01    6.6252107E+00   -6.6252107E+00
 0.9900    5.2450620E-01    6.4599756E+00   -6.4599756E+00
 1.0000    5.0158104E-01    6.3030532E+00   -6.3030532E+00
 1.0100    4.8006692E-01    6.1539561E+00   -6.1539561E+00
 1.0200    4.5984808E-01    6.0120777E+00   -6.0120777E+00
 1.0300    4.4080792E-01    5.8767025E+00   -5.8767025E+00
 1.0400    4.2283119E-01    5.7470313E+00   -5.7470313E+00
 1.0500    4.0580716E-01    5.6222244E+00   -5.6222244E+00
 1.0600    3.8963368E-01    5.5014615E+00   -5.5014615E+00
 1.0700    3.7422121E-01    5.3840095E+00   -5.3840095E+00
 1.0800    3.5949585E-01    5.2692797E+00   -5.2692797E+00
 1.0900    3.4540018E-01    5.1568610E+00   -5.1568610E+00
 1.1000    3.3189180E-01    5.0465172E+00   -5.0465172E+00
 1.1100    3.1894003E-01    4.9381566E+00   -4.9381566E+00
 1.1200    3.0652204E-01    4.8317851E+00   -4.8317851E+00
 1.1300    2.9461938E-01    4.7274622E+00   -4.7274622E+00
 1.1400    2.8321559E-01    4.6252660E+00   -4.6252660E+00
 1.1500    2.7229473E-01    4.5252729E+00   -4.5252729E+00
 1.1600    2.6184081E-01    4.4275470E+00   -4.4275470E+00
 1.1700    2.5183751E-01    4.3321353E+00   -4.3321353E+00
 1.1800    2.4226815E-01    4.2390662E+00   -4.2390662E+00
 1.1900    2.3311570E-01    4.1483493E+00   -4.1483493E+00
 1.2000    2.2436298E-01    4.0599769E+00   -4.0599769E+00
 1.2100    2.1599281E-01    3.9739271E+00   -3.9739271E+00
 1.2200    2.0798819E-01    3.8901665E+00   -3.8901665E+00
 1.2300    2.0033244E-01    3.8086526E+00   -3.8086526E+00
 1.2400    1.9300922E-01    3.7293341E+00   -3.7293341E+00
 1.2500    1.8600260E-01    3.6521526E+00   -3.6521526E+00
 1.2600    1.7929706E-01    3.5770428E+00   -3.5770428E+00
 1.2700    1.7287764E-01    3.5039356E+00   -3.5039356E+00
 1.2800    1.6672998E-01    3.4327605E+00   -3.4327605E+00
 1.2900    1.6084045E-01    3.3634469E+00   -3.3634469E+00
 1.3000    1.5519605E-01    3.2959244E+00   -3.2959244E+00
 1.3100    1.4978441E-01    3.2301231E+00   -3.2301231E+00
 1.3200    1.4459375E-01    3.1659733E+00   -3.1659733E+00
 1.3300    1.3961290E-01    3.1034067E+00   -3.1034067E+00
 1.3400    1.3483125E-01    3.0423559E+00   -3.0423559E+00
 1.3500    1.3023878E-01    2.9827560E+00   -2.9827560E+00
 1.3600    1.2582604E-01    2.9245443E+00   -2.9245443E+00
 1.3700    1.2158413E-01    2.8676615E+00   -2.8676615E+00
 1.3800    1.1750477E-01    2.8120531E+00   -2.8120531E+00
 1.3900    1.1358023E-01    2.7576694E+00   -2.7576694E+00
 1.4000    1.0980332E-01    2.7044653E+00   -2.7044653E+00
 1.4100    1.0616729E-01    2.6523989E+00   -2.6523989E+00
 1.4200    1.0266578E-01    2.6014306E+00   -2.6014306E+00
 1.4300    9.9292742E-02    2.5515227E+00   -2.5515227E+00
 1.4400    9.6042504E-02    2.5026397E+00   -2.5026397E+00
 1.4500    9.2909723E-02    2.4547487E+00   -2.4547487E+00
 1.4600    8.9889406E-02    2.4078204E+00   -2.4078204E+00
 1.4700    8.6976887E-02    2.3618287E+00   -2.3618287E+00
 1.4800    8.4167797E-02    2.3167505E+00   -2.3167505E+00
 1.4900    8.1458029E-02    2.2725649E+00   -2.2725649E+00
 1.5000    7.8843689E-02    2.2292528E+00   -2.2292528E+00
 1.5100    7.6321076E-02    2.1867959E+00   -2.1867959E+00
 1.5200    7.3886657E-02    2.1451766E+00   -2.1451766E+00
 1.5300    7.1537056E-02    2.1043782E+00   -2.1043782E+00
