# total charge: 3.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -9.6567403E-03   -0.0000000E+00    2.3936537E+01
 0.0100   -9.4931772E-03   -1.1929478E-05    2.3817165E+01
 0.0200   -9.2865114E-03   -4.6679097E-05    2.3462608E+01
 0.0300   -9.0280319E-03   -1.0210463E-04    2.2883371E+01
 0.0400   -8.7084352E-03   -1.7509348E-04    2.2096384E+01
 0.0500   -8.3174589E-03   -2.6130068E-04    2.1124181E+01
 0.0600   -7.8436738E-03   -3.5483944E-04    1.9993831E+01
 0.0700   -7.2754199E-03   -4.4798555E-04    1.8735684E+01
 0.0800   -6.6030665E-03   -5.3105012E-04    1.7382024E+01
 0.0900   -5.8212951E-03   -5.9253567E-04    1.5965708E+01
 0.1000   -4.9297793E-03   -6.1949434E-04    1.4518863E+01
 0.1100   -3.9319219E-03   -5.9786085E-04    1.3071728E+01
 0.1200   -2.8326943E-03   -5.1259228E-04    1.1651676E+01
 0.1300   -1.6368647E-03   -3.4762367E-04    1.0282463E+01
 0.1400   -3.4822749E-04   -8.5768731E-05    8.9837337E+00
 0.1500    1.0302805E-03    2.9130494E-04    7.7707644E+00
 0.1600    2.4960301E-03    8.0297062E-04    6.6544471E+00
 0.1700    4.0462055E-03    1.4694528E-03    5.6414752E+00
 0.1800    5.6777028E-03    2.3116790E-03    4.7346978E+00
 0.1900    7.3874523E-03    3.3512880E-03    3.9335976E+00
 0.2000    9.1728607E-03    4.6107827E-03    3.2348472E+00
 0.2100    1.1031978E-02    6.1136678E-03    2.6329021E+00
 0.2200    1.2963247E-02    7.8844066E-03    2.1205912E+00
 0.2300    1.4965042E-02    9.9481763E-03    1.6896741E+00
 0.2400    1.7035313E-02    1.2330551E-02    1.3313413E+00
 0.2500    1.9171492E-02    1.5057255E-02    1.0366408E+00
 0.2600    2.1370611E-02    1.8154049E-02    7.9682411E-01
 0.2700    2.3629511E-02    2.1646721E-02    6.0360937E-01
 0.2800    2.5945045E-02    2.5561148E-02    4.4936595E-01
 0.2900    2.8314213E-02    2.9923360E-02    3.2722859E-01
 0.3000    3.0734168E-02    3.4759525E-02    2.3115138E-01
 0.3100    3.3202118E-02    4.0095814E-02    1.5591333E-01
 0.3200    3.5715182E-02    4.5958166E-02    9.7087126E-02
 0.3300    3.8270313E-02    5.2372072E-02    5.0982064E-02
 0.3400    4.0864316E-02    5.9362466E-02    1.4570684E-02
 0.3500    4.3493931E-02    6.6953705E-02   -1.4592743E-02
 0.3600    4.6155890E-02    7.5169558E-02   -3.8455443E-02
 0.3700    4.8846929E-02    8.4033138E-02   -5.8546321E-02
 0.3800    5.1563766E-02    9.3566780E-02   -7.6049965E-02
 0.3900    5.4303088E-02    1.0379193E-01   -9.1872606E-02
 0.4000    5.7061559E-02    1.1472907E-01   -1.0669926E-01
 0.4100    5.9835831E-02    1.2639762E-01   -1.2104192E-01
 0.4200    6.2622546E-02    1.3881589E-01   -1.3527930E-01
 0.4300    6.5418344E-02    1.5200096E-01   -1.4968884E-01
 0.4400    6.8219852E-02    1.6596862E-01   -1.6447207E-01
 0.4500    7.1023686E-02    1.8073327E-01   -1.7977424E-01
 0.4600    7.3826439E-02    1.9630775E-01   -1.9569930E-01
 0.4700    7.6624683E-02    2.1270332E-01   -2.1232113E-01
 0.4800    7.9414996E-02    2.2992959E-01   -2.2969191E-01
 0.4900    8.2193983E-02    2.4799450E-01   -2.4784816E-01
 0.5000    8.4958301E-02    2.6690438E-01   -2.6681517E-01
 0.5100    8.7704664E-02    2.8666383E-01   -2.8661000E-01
 0.5200    9.0429829E-02    3.0727573E-01   -3.0724357E-01
 0.5300    9.3130586E-02    3.2874105E-01   -3.2872202E-01
 0.5400    9.5803746E-02    3.5105881E-01   -3.5104767E-01
 0.5500    9.8446141E-02    3.7422598E-01   -3.7421952E-01
 0.5600    1.0105464E-01    3.9823751E-01   -3.9823380E-01
 0.5700    1.0362617E-01    4.2308634E-01   -4.2308423E-01
 0.5800    1.0615774E-01    4.4876347E-01   -4.4876228E-01
 0.5900    1.0864644E-01    4.7525797E-01   -4.7525731E-01
 0.6000    1.1108947E-01    5.0255693E-01   -5.0255656E-01
 0.6100    1.1348406E-01    5.3064540E-01   -5.3064520E-01
 0.6200    1.1582752E-01    5.5950635E-01   -5.5950624E-01
 0.6300    1.1811725E-01    5.8912069E-01   -5.8912064E-01
 0.6400    1.2035070E-01    6.1946735E-01   -6.1946732E-01
 0.6500    1.2252545E-01    6.5052332E-01   -6.5052331E-01
 0.6600    1.2463917E-01    6.8226374E-01   -6.8226373E-01
 0.6700    1.2668966E-01    7.1466191E-01   -7.1466190E-01
 0.6800    1.2867479E-01    7.4768928E-01   -7.4768928E-01
 0.6900    1.3059254E-01    7.8131547E-01   -7.8131547E-01
 0.7000    1.3244098E-01    8.1550822E-01   -8.1550822E-01
 0.7100    1.3421828E-01    8.5023356E-01   -8.5023356E-01
 0.7200    1.3592272E-01    8.8545589E-01   -8.8545589E-01
 0.7300    1.3755272E-01    9.2113814E-01   -9.2113814E-01
 0.7400    1.3910681E-01    9.5724190E-01   -9.5724190E-01
 0.7500    1.4058366E-01    9.9372733E-01   -9.9372733E-01
 0.7600    1.4198203E-01    1.0305532E+00   -1.0305532E+00
 0.7700    1.4330079E-01    1.0676770E+00   -1.0676770E+00
 0.7800    1.4453890E-01    1.1050548E+00   -1.1050548E+00
 0.7900    1.4569543E-01    1.1426414E+00   -1.1426414E+00
 0.8000    1.4676953E-01    1.1803906E+00   -1.1803906E+00
 0.8100    1.4776048E-01    1.2182550E+00   -1.2182550E+00
 0.8200    1.4866767E-01    1.2561864E+00   -1.2561864E+00
 0.8300    1.4949058E-01    1.2941359E+00   -1.2941359E+00
 0.8400    1.5022883E-01    1.3320537E+00   -1.3320537E+00
 0.8500    1.5088216E-01    1.3698898E+00   -1.3698898E+00
 0.8600    1.5145042E-01    1.4075935E+00   -1.4075935E+00
 0.8700    1.5193359E-01    1.4451142E+00   -1.4451142E+00
 0.8800    1.5233173E-01    1.4824006E+00   -1.4824006E+00
 0.8900    1.5264502E-01    1.5194014E+00   -1.5194014E+00
 0.9000    1.5287367E-01    1.5560644E+00   -1.5560644E+00
 0.9100    1.5301797E-01    1.5923373E+00   -1.5923373E+00
 0.9200    1.5307829E-01    1.6281676E+00   -1.6281676E+00
 0.9300    1.5305510E-01    1.6635029E+00   -1.6635029E+00
 0.9400    1.5294901E-01    1.6982915E+00   -1.6982915E+00
 0.9500    1.5276077E-01    1.7324827E+00   -1.7324827E+00
 0.9600    1.5249126E-01    1.7660268E+00   -1.7660268E+00
 0.9700    1.5214147E-01    1.7988749E+00   -1.7988749E+00
 0.9800    1.5171249E-01    1.8309789E+00   -1.8309789E+00
 0.9900    1.5120543E-01    1.8622914E+00   -1.8622914E+00
 1.0000    1.5062149E-01    1.8927655E+00   -1.8927655E+00
 1.0100    1.4996195E-01    1.9223554E+00   -1.9223554E+00
 1.0200    1.4922817E-01    1.9510169E+00   -1.9510169E+00
 1.0300    1.4842167E-01    1.9787076E+00   -1.9787076E+00
 1.0400    1.4754403E-01    2.0053869E+00   -2.0053869E+00
 1.0500    1.4659692E-01    2.0310159E+00   -2.0310159E+00
 1.0600    1.4558209E-01    2.0555570E+00   -2.0555570E+00
 1.0700    1.4450132E-01    2.0789749E+00   -2.0789749E+00
 1.0800    1.4335650E-01    2.1012357E+00   -2.1012357E+00
 1.0900    1.4214958E-01    2.1223081E+00   -2.1223081E+00
 1.1000    1.4088257E-01    2.1421629E+00   -2.1421629E+00
 1.1100    1.3955759E-01    2.1607736E+00   -2.1607736E+00
 1.1200    1.3817683E-01    2.1781166E+00   -2.1781166E+00
 1.1300    1.3674256E-01    2.1941710E+00   -2.1941710E+00
 1.1400    1.3525713E-01    2.2089187E+00   -2.2089187E+00
 1.1500    1.3372293E-01    2.2223447E+00   -2.2223447E+00
 1.1600    1.3214239E-01    2.2344364E+00   -2.2344364E+00
 1.1700    1.3051797E-01    2.2451837E+00   -2.2451837E+00
 1.1800    1.2885215E-01    2.2545795E+00   -2.2545795E+00
 1.1900    1.2714747E-01    2.2626193E+00   -2.2626193E+00
 1.2000    1.2540648E-01    2.2693022E+00   -2.2693022E+00
 1.2100    1.2363180E-01    2.2746302E+00   -2.2746302E+00
 1.2200    1.2182609E-01    2.2786091E+00   -2.2786091E+00
 1.2300    1.1999202E-01    2.2812478E+00   -2.2812478E+00
 1.2400    1.1813230E-01    2.2825583E+00   -2.2825583E+00
 1.2500    1.1624963E-01    2.2825561E+00   -2.2825561E+00
 1.2600    1.1434671E-01    2.2812592E+00   -2.2812592E+00
 1.2700    1.1242628E-01    2.2786894E+00   -2.2786894E+00
 1.2800    1.1049102E-01    2.2748712E+00   -2.2748712E+00
 1.2900    1.0854366E-01    2.2698322E+00   -2.2698322E+00
 1.3000    1.0658686E-01    2.2636029E+00   -2.2636029E+00
 1.3100    1.0462329E-01    2.2562168E+00   -2.2562168E+00
 1.3200    1.0265557E-01    2.2477098E+00   -2.2477098E+00
 1.3300    1.0068631E-01    2.2381210E+00   -2.2381210E+00
 1.3400    9.8718107E-02    2.2274926E+00   -2.2274926E+00
 1.3500    9.6753556E-02    2.2158703E+00   -2.2158703E+00
 1.3600    9.4795236E-02    2.2033028E+00   -2.2033028E+00
 1.3700    9.2845699E-02    2.1898420E+00   -2.1898420E+00
 1.3800    9.0907445E-02    2.1755421E+00   -2.1755421E+00
 1.3900    8.8982912E-02    2.1604593E+00   -2.1604593E+00
 1.4000    8.7074481E-02    2.1446520E+00   -2.1446520E+00
 1.4100    8.5184483E-02    2.1281811E+00   -2.1281811E+00
 1.4200    8.3315214E-02    2.1111100E+00   -2.1111100E+00
 1.4300    8.1468920E-02    2.0935045E+00   -2.0935045E+00
 1.4400    7.9647770E-02    2.0754318E+00   -2.0754318E+00
 1.4500    7.7853811E-02    2.0569595E+00   -2.0569595E+00
 1.4600    7.6088912E-02    2.0381538E+00   -2.0381538E+00
 1.4700    7.4354706E-02    2.0190775E+00   -2.0190775E+00
 1.4800    7.2652524E-02    1.9997882E+00   -1.9997882E+00
 1.4900    7.0983342E-02    1.9803358E+00   -1.9803358E+00
 1.5000    6.9347747E-02    1.9607614E+00   -1.9607614E+00
 1.5100    6.7745955E-02    1.9410965E+00   -1.9410965E+00
 1.5200    6.6177866E-02    1.9213647E+00   -1.9213647E+00
 1.5300    6.4643133E-02    1.9015823E+00   -1.9015823E+00
 1.5400    6.3141238E-02    1.8817607E+00   -1.8817607E+00
 1.5500    6.1671553E-02    1.8619077E+00   -1.8619077E+00
 1.5600    6.0233406E-02    1.8420291E+00   -1.8420291E+00
 1.5700    5.8826126E-02    1.8221302E+00   -1.8221302E+00
 1.5800    5.7449072E-02    1.8022169E+00   -1.8022169E+00
 1.5900    5.6101643E-02    1.7822954E+00   -1.7822954E+00
 1.6000    5.4783257E-02    1.7623724E+00   -1.7623724E+00
 1.6100    5.3493341E-02    1.7424541E+00   -1.7424541E+00
 1.6200    5.2231326E-02    1.7225465E+00   -1.7225465E+00
 1.6300    5.0996653E-02    1.7026553E+00   -1.7026553E+00
 1.6400    4.9788776E-02    1.6827865E+00   -1.6827865E+00
 1.6500    4.8607166E-02    1.6629457E+00   -1.6629457E+00
 1.6600    4.7451312E-02    1.6431388E+00   -1.6431388E+00
 1.6700    4.6320710E-02    1.6233719E+00   -1.6233719E+00
 1.6800    4.5214865E-02    1.6036503E+00   -1.6036503E+00
 1.6900    4.4133292E-02    1.5839797E+00   -1.5839797E+00
 1.7000    4.3075524E-02    1.5643657E+00   -1.5643657E+00
 1.7100    4.2041117E-02    1.5448145E+00   -1.5448145E+00
 1.7200    4.1029652E-02    1.5253327E+00   -1.5253327E+00
 1.7300    4.0040718E-02    1.5059270E+00   -1.5059270E+00
 1.7400    3.9073902E-02    1.4866035E+00   -1.4866035E+00
 1.7500    3.8128778E-02    1.4673674E+00   -1.4673674E+00
 1.7600    3.7204922E-02    1.4482235E+00   -1.4482235E+00
 1.7700    3.6301924E-02    1.4291771E+00   -1.4291771E+00
 1.7800    3.5419405E-02    1.4102338E+00   -1.4102338E+00
 1.7900    3.4557013E-02    1.3914004E+00   -1.3914004E+00
 1.8000    3.3714407E-02    1.3726835E+00   -1.3726835E+00
 1.8100    3.2891232E-02    1.3540888E+00   -1.3540888E+00
 1.8200    3.2087107E-02    1.3356209E+00   -1.3356209E+00
 1.8300    3.1301650E-02    1.3172836E+00   -1.3172836E+00
 1.8400    3.0534502E-02    1.2990814E+00   -1.2990814E+00
 1.8500    2.9785347E-02    1.2810202E+00   -1.2810202E+00
 1.8600    2.9053899E-02    1.2631071E+00   -1.2631071E+00
 1.8700    2.8339860E-02    1.2453482E+00   -1.2453482E+00
 1.8800    2.7642894E-02    1.2277475E+00   -1.2277475E+00
 1.8900    2.6962623E-02    1.2103072E+00   -1.2103072E+00
 1.9000    2.6298664E-02    1.1930283E+00   -1.1930283E+00
 1.9100    2.5650655E-02    1.1759126E+00   -1.1759126E+00
 1.9200    2.5018262E-02    1.1589627E+00   -1.1589627E+00
