# total charge: 3.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.7861150E-01    0.0000000E+00    2.3936537E+01
 0.0100    1.7998333E-01    2.2617372E-04    2.3816927E+01
 0.0200    1.8171456E-01    9.1339701E-04    2.3461648E+01
 0.0300    1.8387532E-01    2.0795809E-03    2.2881189E+01
 0.0400    1.8653814E-01    3.7505718E-03    2.2092458E+01
 0.0500    1.8978014E-01    5.9621190E-03    2.1117957E+01
 0.0600    1.9368438E-01    8.7620751E-03    1.9984714E+01
 0.0700    1.9833232E-01    1.2212356E-02    1.8723024E+01
 0.0800    2.0378555E-01    1.6389407E-02    1.7365104E+01
 0.0900    2.1006723E-01    2.1382240E-02    1.5943733E+01
 0.1000    2.1715655E-01    2.7288697E-02    1.4490955E+01
 0.1100    2.2499926E-01    3.4211831E-02    1.3036919E+01
 0.1200    2.3352565E-01    4.2257806E-02    1.1608905E+01
 0.1300    2.4266537E-01    5.1535248E-02    1.0230580E+01
 0.1400    2.5235423E-01    6.2155065E-02    8.9214929E+00
 0.1500    2.6253424E-01    7.4229807E-02    7.6968259E+00
 0.1600    2.7315048E-01    8.7872259E-02    6.5673778E+00
 0.1700    2.8414810E-01    1.0319353E-01    5.5397511E+00
 0.1800    2.9547113E-01    1.2030119E-01    4.6167083E+00
 0.1900    3.0706311E-01    1.3929795E-01    3.7976509E+00
 0.2000    3.1886862E-01    1.6028085E-01    3.0791771E+00
 0.2100    3.3083398E-01    1.8334056E-01    2.4556752E+00
 0.2200    3.4290671E-01    2.0856009E-01    1.9199155E+00
 0.2300    3.5503448E-01    2.3601308E-01    1.4636092E+00
 0.2400    3.6716444E-01    2.6576205E-01    1.0779098E+00
 0.2500    3.7924360E-01    2.9785723E-01    7.5384080E-01
 0.2600    3.9121967E-01    3.3233589E-01    4.8264227E-01
 0.2700    4.0304169E-01    3.6922182E-01    2.5603426E-01
 0.2800    4.1466012E-01    4.0852458E-01    6.6402516E-02
 0.2900    4.2602654E-01    4.5023839E-01   -9.3086442E-02
 0.3000    4.3709381E-01    4.9434146E-01   -2.2843055E-01
 0.3100    4.4781662E-01    5.4079599E-01   -3.4478685E-01
 0.3200    4.5815241E-01    5.8954885E-01   -4.4650356E-01
 0.3300    4.6806185E-01    6.4053223E-01   -5.3717810E-01
