# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -9.8940268E-02   -0.0000000E+00    3.1915382E+01
 0.0100   -9.8574188E-02   -1.2387198E-04    3.1756328E+01
 0.0200   -9.8111665E-02   -4.9316302E-04    3.1283909E+01
 0.0300   -9.7533237E-02   -1.1030749E-03    3.0512128E+01
 0.0400   -9.6818144E-02   -1.9466443E-03    2.9463558E+01
 0.0500   -9.5943501E-02   -3.0141540E-03    2.8168240E+01
 0.0600   -9.4883829E-02   -4.2924433E-03    2.6662261E+01
 0.0700   -9.3613117E-02   -5.7642479E-03    2.4986079E+01
 0.0800   -9.2109872E-02   -7.4079155E-03    2.3182732E+01
 0.0900   -9.0362236E-02   -9.1977553E-03    2.1296018E+01
 0.1000   -8.8369537E-02   -1.1104844E-02    1.9368763E+01
 0.1100   -8.6139509E-02   -1.3097778E-02    1.7441272E+01
 0.1200   -8.3683467E-02   -1.5143003E-02    1.5550027E+01
 0.1300   -8.1012334E-02   -1.7204724E-02    1.3726692E+01
 0.1400   -7.8134886E-02   -1.9244690E-02    1.1997442E+01
 0.1500   -7.5057987E-02   -2.1222146E-02    1.0382630E+01
 0.1600   -7.1787816E-02   -2.3094075E-02    8.8967608E+00
 0.1700   -6.8330970E-02   -2.4815629E-02    7.5487418E+00
 0.1800   -6.4694703E-02   -2.6340475E-02    6.3423531E+00
 0.1900   -6.0886210E-02   -2.7620784E-02    5.2768860E+00
 0.2000   -5.6911659E-02   -2.8606920E-02    4.3478842E+00
 0.2100   -5.2775831E-02   -2.9247149E-02    3.5479348E+00
 0.2200   -4.8482684E-02   -2.9487767E-02    2.8674552E+00
 0.2300   -4.4036380E-02   -2.9273668E-02    2.2954367E+00
 0.2400   -3.9442061E-02   -2.8549069E-02    1.8201115E+00
 0.2500   -3.4706049E-02   -2.7258067E-02    1.4295221E+00
 0.2600   -2.9835579E-02   -2.5344926E-02    1.1119825E+00
 0.2700   -2.4838334E-02   -2.2754110E-02    8.5642890E-01
 0.2800   -1.9722002E-02   -1.9430184E-02    6.5266631E-01
 0.2900   -1.4493977E-02   -1.5317695E-02    4.9152029E-01
 0.3000   -9.1613230E-03   -1.0361212E-02    3.6490909E-01
 0.3100   -3.7309828E-03   -4.5056402E-03    2.6585116E-01
 0.3200    1.7899251E-03    2.3032691E-03    1.8842379E-01
 0.3300    7.3939322E-03    1.0118432E-02    1.2768708E-01
 0.3400    1.3073255E-02    1.8991157E-02    7.9586377E-02
 0.3500    1.8819952E-02    2.8971065E-02    4.0843551E-02
 0.3600    2.4626060E-02    4.0106041E-02    8.8461134E-03
 0.3700    3.0483626E-02    5.2442083E-02   -1.8459661E-02
 0.3800    3.6384681E-02    6.6023056E-02   -4.2667302E-02
 0.3900    4.2321226E-02    8.0890462E-02   -6.4998024E-02
 0.4000    4.8285255E-02    9.7083266E-02   -8.6376848E-02
 0.4100    5.4268796E-02    1.1463778E-01   -1.0749685E-01
 0.4200    6.0263923E-02    1.3358751E-01   -1.2887206E-01
 0.4300    6.6262752E-02    1.5396296E-01   -1.5088014E-01
 0.4400    7.2257418E-02    1.7579141E-01   -1.7379602E-01
 0.4500    7.8240074E-02    1.9909674E-01   -1.9781804E-01
 0.4600    8.4202904E-02    2.2389923E-01   -2.2308796E-01
 0.4700    9.0138157E-02    2.5021553E-01   -2.4970594E-01
 0.4800    9.6038185E-02    2.7805857E-01   -2.7774166E-01
 0.4900    1.0189545E-01    3.0743748E-01   -3.0724236E-01
 0.5000    1.0770252E-01    3.3835745E-01   -3.3823851E-01
 0.5100    1.1345212E-01    3.7081972E-01   -3.7074795E-01
 0.5200    1.1913712E-01    4.0482157E-01   -4.0477869E-01
 0.5300    1.2475061E-01    4.4035636E-01   -4.4033099E-01
