# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -3.7642043E-01   -0.0000000E+00    3.9894228E+01
 0.0100   -3.7543039E-01   -4.7177974E-04    3.9695727E+01
 0.0200   -3.7417966E-01   -1.8808321E-03    3.9106150E+01
 0.0300   -3.7261581E-01   -4.2141855E-03    3.8142996E+01
 0.0400   -3.7068309E-01   -7.4530257E-03    3.6834467E+01
 0.0500   -3.6832030E-01   -1.1571124E-02    3.5218104E+01
 0.0600   -3.6545961E-01   -1.6533003E-02    3.3338993E+01
 0.0700   -3.6203217E-01   -2.2292209E-02    3.1247686E+01
 0.0800   -3.5798180E-01   -2.8790604E-02    2.8997946E+01
 0.0900   -3.5327870E-01   -3.5959392E-02    2.6644484E+01
 0.1000   -3.4792362E-01   -4.3721371E-02    2.4240794E+01
 0.1100   -3.4194014E-01   -5.1993054E-02    2.1837211E+01
 0.1200   -3.3536168E-01   -6.0685619E-02    1.9479291E+01
 0.1300   -3.2822064E-01   -6.9704764E-02    1.7206564E+01
 0.1400   -3.2054383E-01   -7.8950221E-02    1.5051697E+01
 0.1500   -3.1235294E-01   -8.8315713E-02    1.3040075E+01
 0.1600   -3.0366784E-01   -9.7689667E-02    1.1189773E+01
 0.1700   -2.9450939E-01   -1.0695642E-01    9.5118642E+00
 0.1800   -2.8490016E-01   -1.1599722E-01    8.0110130E+00
 0.1900   -2.7486265E-01   -1.2469034E-01    6.6862718E+00
 0.2000   -2.6441693E-01   -1.3291045E-01    5.5320071E+00
 0.2100   -2.5357968E-01   -1.4052801E-01    4.5388876E+00
 0.2200   -2.4236554E-01   -1.4740971E-01    3.6948690E+00
 0.2300   -2.3078968E-01   -1.5341998E-01    2.9861238E+00
 0.2400   -2.1886960E-01   -1.5842284E-01    2.3978759E+00
 0.2500   -2.0662561E-01   -1.6228338E-01    1.9151134E+00
 0.2600   -1.9408014E-01   -1.6486848E-01    1.5231654E+00
 0.2700   -1.8125655E-01   -1.6604703E-01    1.2081405E+00
 0.2800   -1.6817821E-01   -1.6568975E-01    9.5723491E-01
 0.2900   -1.5486773E-01   -1.6366914E-01    7.5892238E-01
 0.3000   -1.4134698E-01   -1.5985967E-01    6.0304451E-01
 0.3100   -1.2763746E-01   -1.5413860E-01    4.8082051E-01
 0.3200   -1.1376091E-01   -1.4638713E-01    3.8479595E-01
 0.3300   -9.9739668E-02   -1.3649152E-01    3.0874841E-01
 0.3400   -8.5596574E-02   -1.2434378E-01    2.4756570E-01
 0.3500   -7.1354671E-02   -1.0984198E-01    1.9711025E-01
 0.3600   -5.7036870E-02   -9.2890339E-02    1.5408053E-01
 0.3700   -4.2665840E-02   -7.3399587E-02    1.1587761E-01
