# total charge: 6.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -4.6219520E-01   -0.0000000E+00    4.7873074E+01
 0.0100   -4.6077208E-01   -5.7902327E-04    4.7634885E+01
 0.0200   -4.5897441E-01   -2.3070570E-03    4.6927430E+01
 0.0300   -4.5672710E-01   -5.1654618E-03    4.5771703E+01
 0.0400   -4.5395045E-01   -9.1272154E-03    4.4201544E+01
 0.0500   -4.5055724E-01   -1.4154673E-02    4.2261994E+01
 0.0600   -4.4645097E-01   -2.0196966E-02    4.0007149E+01
 0.0700   -4.4153395E-01   -2.7187549E-02    3.7497660E+01
 0.0800   -4.3572680E-01   -3.5043228E-02    3.4798030E+01
 0.0900   -4.2898813E-01   -4.3665673E-02    3.1973896E+01
 0.1000   -4.2132052E-01   -5.2944698E-02    2.9089432E+01
 0.1100   -4.1275948E-01   -6.2761352E-02    2.6205023E+01
 0.1200   -4.0335477E-01   -7.2989359E-02    2.3375316E+01
 0.1300   -3.9315501E-01   -8.3494983E-02    2.0647726E+01
 0.1400   -3.8220090E-01   -9.4136411E-02    1.8061432E+01
 0.1500   -3.7052598E-01   -1.0476375E-01    1.5646875E+01
 0.1600   -3.5816109E-01   -1.1522009E-01    1.3425720E+01
 0.1700   -3.4513832E-01   -1.2534323E-01    1.1411233E+01
 0.1800   -3.3149209E-01   -1.3496714E-01    9.6089861E+00
 0.1900   -3.1725685E-01   -1.4392229E-01    8.0178201E+00
 0.2000   -3.0246376E-01   -1.5203487E-01    6.6309508E+00
 0.2100   -2.8713948E-01   -1.5912608E-01    5.4371576E+00
 0.2200   -2.7130795E-01   -1.6501284E-01    4.4219640E+00
 0.2300   -2.5499374E-01   -1.6950989E-01    3.5687544E+00
 0.2400   -2.3822457E-01   -1.7243241E-01    2.8597760E+00
 0.2500   -2.2103191E-01   -1.7359805E-01    2.2769941E+00
 0.2600   -2.0344996E-01   -1.7282802E-01    1.8027843E+00
 0.2700   -1.8551417E-01   -1.6994739E-01    1.4204596E+00
 0.2800   -1.6725991E-01   -1.6478504E-01    1.1146392E+00
 0.2900   -1.4872157E-01   -1.5717368E-01    8.7147757E-01
 0.3000   -1.2993248E-01   -1.4695017E-01    6.7877198E-01
 0.3100   -1.1092538E-01   -1.3395661E-01    5.2597490E-01
 0.3200   -9.1733163E-02   -1.1804190E-01    4.0413248E-01
 0.3300   -7.2389311E-02   -9.9063163E-02    3.0577144E-01
 0.3400   -5.2927795E-02   -7.6886750E-02    2.2475305E-01
 0.3500   -3.3382669E-02   -5.1388626E-02    1.5611055E-01
 0.3600   -1.3787643E-02   -2.2454578E-02    9.5882810E-02
 0.3700    5.8241071E-03    1.0019422E-02    4.0954211E-02
 0.3800    2.5419918E-02    4.6126574E-02   -1.1092943E-02
 0.3900    4.4967519E-02    8.5948440E-02   -6.2109784E-02
 0.4000    6.4434953E-02    1.2955416E-01   -1.1349453E-01
 0.4100    8.3790599E-02    1.7699984E-01   -1.6628844E-01
 0.4200    1.0300330E-01    2.2832822E-01   -2.2125505E-01
 0.4300    1.2204254E-01    2.8356853E-01   -2.7894431E-01
 0.4400    1.4087862E-01    3.4273647E-01   -3.3974337E-01
 0.4500    1.5948271E-01    4.0583406E-01   -4.0391601E-01
 0.4600    1.7782688E-01    4.7284949E-01   -4.7163259E-01
 0.4700    1.9588406E-01    5.4375678E-01   -5.4299240E-01
 0.4800    2.1362805E-01    6.1851554E-01   -6.1804019E-01
 0.4900    2.3103343E-01    6.9707073E-01   -6.9677805E-01
 0.5000    2.4807563E-01    7.7935258E-01   -7.7917417E-01
 0.5100    2.6473111E-01    8.6527707E-01   -8.6516940E-01
 0.5200    2.8097756E-01    9.5474675E-01   -9.5468242E-01
 0.5300    2.9679407E-01    1.0476515E+00   -1.0476134E+00
 0.5400    3.1216105E-01    1.1438685E+00   -1.1438462E+00
 0.5500    3.2706001E-01    1.2432621E+00   -1.2432492E+00
 0.5600    3.4147351E-01    1.3456835E+00   -1.3456761E+00
 0.5700    3.5538517E-01    1.4509715E+00   -1.4509673E+00
 0.5800    3.6877992E-01    1.5589533E+00   -1.5589510E+00
 0.5900    3.8164408E-01    1.6694462E+00   -1.6694448E+00
 0.6000    3.9396543E-01    1.7822576E+00   -1.7822569E+00
 0.6100    4.0573308E-01    1.8971862E+00   -1.8971858E+00
 0.6200    4.1693741E-01    2.0140215E+00   -2.0140213E+00
 0.6300    4.2757005E-01    2.1325452E+00   -2.1325451E+00
 0.6400    4.3762400E-01    2.2525319E+00   -2.2525318E+00
 0.6500    4.4709361E-01    2.3737504E+00   -2.3737503E+00
