# total charge: 7.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -6.5558834E-01   -0.0000000E+00    5.5851919E+01
 0.0100   -6.5337421E-01   -8.2105425E-04    5.5574178E+01
 0.0200   -6.5057774E-01   -3.2701604E-03    5.4749247E+01
 0.0300   -6.4708257E-01   -7.3183315E-03    5.3401612E+01
 0.0400   -6.4276565E-01   -1.2923570E-02    5.1570743E+01
 0.0500   -6.3749263E-01   -2.0027422E-02    4.9309173E+01
 0.0600   -6.3111519E-01   -2.8550978E-02    4.6679995E+01
 0.0700   -6.2348329E-01   -3.8391118E-02    4.3753942E+01
 0.0800   -6.1447544E-01   -4.9419047E-02    4.0606236E+01
 0.0900   -6.0402930E-01   -6.1482694E-02    3.7313418E+01
 0.1000   -5.9215121E-01   -7.4411915E-02    3.3950313E+01
 0.1100   -5.7889939E-01   -8.8023437E-02    3.0587328E+01
 0.1200   -5.6435502E-01   -1.0212328E-01    2.7288171E+01
 0.1300   -5.4859822E-01   -1.1650672E-01    2.4108110E+01
 0.1400   -5.3169720E-01   -1.3095748E-01    2.1092803E+01
 0.1500   -5.1370910E-01   -1.4524783E-01    1.8277711E+01
 0.1600   -4.9468656E-01   -1.5914021E-01    1.5688057E+01
 0.1700   -4.7468390E-01   -1.7239005E-01    1.3339261E+01
 0.1800   -4.5375879E-01   -1.8474807E-01    1.1237770E+01
 0.1900   -4.3196897E-01   -1.9596098E-01    9.3821751E+00
 0.2000   -4.0936750E-01   -2.0577055E-01    7.7645059E+00
 0.2100   -3.8600090E-01   -2.1391280E-01    6.3716162E+00
 0.2200   -3.6191176E-01   -2.2011920E-01    5.1865622E+00
 0.2300   -3.3714366E-01   -2.2411996E-01    4.1899052E+00
 0.2400   -3.1174477E-01   -2.2564802E-01    3.3608823E+00
 0.2500   -2.8576855E-01   -2.2444209E-01    2.6784042E+00
 0.2600   -2.5927226E-01   -2.2024832E-01    2.1218640E+00
 0.2700   -2.3231470E-01   -2.1282080E-01    1.6717517E+00
 0.2800   -2.0495437E-01   -2.0192176E-01    1.3100850E+00
 0.2900   -1.7724835E-01   -1.8732168E-01    1.0206762E+00
 0.3000   -1.4925206E-01   -1.6880011E-01    7.8925888E-01
 0.3100   -1.2101992E-01   -1.4614707E-01    6.0350174E-01
 0.3200   -9.2606102E-02   -1.1916519E-01    4.5293754E-01
 0.3300   -6.4065055E-02   -8.7671603E-02    3.2883125E-01
 0.3400   -3.5451405E-02   -5.1499279E-02    2.2400996E-01
 0.3500   -6.8194489E-03   -1.0497726E-02    1.3267330E-01
 0.3600    2.1777390E-02    3.5466693E-02    5.0199577E-02
 0.3700    5.0286900E-02    8.6510371E-02   -2.7041133E-02
 0.3800    7.8658113E-02    1.4273175E-01   -1.0185918E-01
 0.3900    1.0684114E-01    2.0421027E-01   -1.7639851E-01
 0.4000    1.3478697E-01    2.7100529E-01   -2.5226906E-01
 0.4100    1.6244746E-01    3.4315513E-01   -3.3065850E-01
 0.4200    1.8977552E-01    4.2067687E-01   -4.1242484E-01
 0.4300    2.1672553E-01    5.0356652E-01   -4.9817159E-01
 0.4400    2.4325367E-01    5.9179952E-01   -5.8830758E-01
 0.4500    2.6931803E-01    6.8533091E-01   -6.8309319E-01
 0.4600    2.9487863E-01    7.8409527E-01   -7.8267555E-01
 0.4700    3.1989727E-01    8.8800644E-01   -8.8711467E-01
 0.4800    3.4433743E-01    9.9695732E-01   -9.9640274E-01
 0.4900    3.6816419E-01    1.1108197E+00   -1.1104782E+00
 0.5000    3.9134430E-01    1.2294444E+00   -1.2292362E+00
 0.5100    4.1384638E-01    1.3526623E+00   -1.3525367E+00
 0.5200    4.3564133E-01    1.4802860E+00   -1.4802109E+00
 0.5300    4.5670247E-01    1.6121111E+00   -1.6120667E+00
 0.5400    4.7700544E-01    1.7479166E+00   -1.7478906E+00
 0.5500    4.9652788E-01    1.8874649E+00   -1.8874498E+00
 0.5600    5.1524926E-01    2.0305014E+00   -2.0304928E+00
 0.5700    5.3315100E-01    2.1767563E+00   -2.1767514E+00
 0.5800    5.5021675E-01    2.3259462E+00   -2.3259434E+00
 0.5900    5.6643259E-01    2.4777764E+00   -2.4777749E+00
