# total charge: 8.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -7.9505247E-01   -0.0000000E+00    6.3830765E+01
 0.0100   -7.9211392E-01   -9.9539970E-04    6.3513403E+01
 0.0200   -7.8840227E-01   -3.9629421E-03    6.2570794E+01
 0.0300   -7.8376284E-01   -8.8641489E-03    6.1030915E+01
 0.0400   -7.7803180E-01   -1.5643258E-02    5.8938866E+01
 0.0500   -7.7103021E-01   -2.4222628E-02    5.6354675E+01
 0.0600   -7.6256039E-01   -3.4497419E-02    5.3350434E+01
 0.0700   -7.5242256E-01   -4.6330582E-02    5.0006960E+01
 0.0800   -7.4045500E-01   -5.9550925E-02    4.6410199E+01
 0.0900   -7.2657471E-01   -7.3956298E-02    4.2647596E+01
 0.1000   -7.1078974E-01   -8.9320473E-02    3.8804636E+01
 0.1100   -6.9317670E-01   -1.0539966E-01    3.4961748E+01
 0.1200   -6.7384225E-01   -1.2193562E-01    3.1191704E+01
 0.1300   -6.5289141E-01   -1.3865563E-01    2.7557630E+01
 0.1400   -6.3041341E-01   -1.5527137E-01    2.4111666E+01
 0.1500   -6.0648309E-01   -1.7147905E-01    2.0894294E+01
 0.1600   -5.8116967E-01   -1.8696175E-01    1.7934295E+01
 0.1700   -5.5454507E-01   -2.0139309E-01    1.5249245E+01
 0.1800   -5.2668616E-01   -2.1444049E-01    1.2846466E+01
 0.1900   -4.9767058E-01   -2.2576626E-01    1.0724297E+01
 0.2000   -4.6757049E-01   -2.3502656E-01    8.8735812E+00
 0.2100   -4.3645006E-01   -2.4187056E-01    7.2792459E+00
 0.2200   -4.0436885E-01   -2.4594213E-01    5.9218770E+00
 0.2300   -3.7138819E-01   -2.4688438E-01    4.7792104E+00
 0.2400   -3.3757587E-01   -2.4434516E-01    3.8274700E+00
 0.2500   -3.0300712E-01   -2.3798124E-01    3.0425093E+00
 0.2600   -2.6776263E-01   -2.2746078E-01    2.4007359E+00
 0.2700   -2.3192560E-01   -2.1246436E-01    1.8798139E+00
 0.2800   -1.9557928E-01   -1.9268538E-01    1.4591576E+00
 0.2900   -1.5880540E-01   -1.6783059E-01    1.1202358E+00
 0.3000   -1.2168375E-01   -1.3762108E-01    8.4671682E-01
 0.3100   -8.4292806E-02   -1.0179437E-01    6.2448542E-01
 0.3200   -4.6710689E-02   -6.0107144E-02    4.4156126E-01
 0.3300   -9.0157627E-03   -1.2337871E-02    2.8794890E-01
 0.3400    2.8713455E-02    4.1711245E-02    1.5544382E-01
 0.3500    6.6398941E-02    1.0221323E-01    3.7416002E-02
 0.3600    1.0396397E-01    1.6931590E-01   -7.1411589E-02
 0.3700    1.4133373E-01    2.4314152E-01   -1.7517668E-01
 0.3800    1.7843549E-01    3.2378616E-01   -2.7707465E-01
 0.3900    2.1519844E-01    4.1131847E-01   -3.7953359E-01
 0.4000    2.5155347E-01    5.0577826E-01   -4.8436542E-01
 0.4100    2.8743300E-01    6.0717546E-01   -5.9289359E-01
 0.4200    3.2277142E-01    7.1548991E-01   -7.0605902E-01
 0.4300    3.5750558E-01    8.3067205E-01   -8.2450642E-01
 0.4400    3.9157544E-01    9.5264405E-01   -9.4865325E-01
 0.4500    4.2492429E-01    1.0813006E+00   -1.0787432E+00
 0.4600    4.5749881E-01    1.2165095E+00   -1.2148869E+00
 0.4700    4.8924885E-01    1.3581114E+00   -1.3570922E+00
 0.4800    5.2012718E-01    1.5059200E+00   -1.5052862E+00
 0.4900    5.5008920E-01    1.6597212E+00   -1.6593310E+00
 0.5000    5.7909281E-01    1.8192737E+00   -1.8190358E+00
 0.5100    6.0709872E-01    1.9843101E+00   -1.9841665E+00
 0.5200    6.3407116E-01    2.1545400E+00   -2.1544542E+00
 0.5300    6.5997843E-01    2.3296536E+00   -2.3296028E+00
 0.5400    6.8479278E-01    2.5093229E+00   -2.5092932E+00
 0.5500    7.0848969E-01    2.6932010E+00   -2.6931838E+00
 0.5600    7.3104723E-01    2.8809210E+00   -2.8809111E+00
 0.5700    7.5244594E-01    3.0720967E+00   -3.0720911E+00
 0.5800    7.7266911E-01    3.2663250E+00   -3.2663219E+00
 0.5900    7.9170315E-01    3.4631895E+00   -3.4631878E+00
 0.6000    8.0953764E-01    3.6622620E+00   -3.6622611E+00
 0.6100    8.2616507E-01    3.8631037E+00   -3.8631032E+00
 0.6200    8.4158056E-01    4.0652657E+00   -4.0652654E+00
 0.6300    8.5578190E-01    4.2682914E+00   -4.2682912E+00
 0.6400    8.6876970E-01    4.4717187E+00   -4.4717187E+00
 0.6500    8.8054747E-01    4.6750833E+00   -4.6750833E+00
 0.6600    8.9112146E-01    4.8779196E+00   -4.8779196E+00
 0.6700    9.0050033E-01    5.0797618E+00   -5.0797618E+00
 0.6800    9.0869482E-01    5.2801437E+00   -5.2801437E+00
 0.6900    9.1571751E-01    5.4785997E+00   -5.4785996E+00
 0.7000    9.2158290E-01    5.6746666E+00   -5.6746666E+00
 0.7100    9.2630747E-01    5.8678868E+00   -5.8678868E+00
 0.7200    9.2990992E-01    6.0578112E+00   -6.0578112E+00
 0.7300    9.3241108E-01    6.2440016E+00   -6.2440016E+00
 0.7400    9.3383375E-01    6.4260318E+00   -6.4260318E+00
 0.7500    9.3420237E-01    6.6034875E+00   -6.6034875E+00
 0.7600    9.3354275E-01    6.7759667E+00   -6.7759667E+00
 0.7700    9.3188197E-01    6.9430809E+00   -6.9430809E+00
 0.7800    9.2924837E-01    7.1044568E+00   -7.1044568E+00
 0.7900    9.2567159E-01    7.2597385E+00   -7.2597385E+00
 0.8000    9.2118258E-01    7.4085899E+00   -7.4085899E+00
 0.8100    9.1581352E-01    7.5506955E+00   -7.5506955E+00
 0.8200    9.0959763E-01    7.6857612E+00   -7.6857612E+00
 0.8300    9.0256882E-01    7.8135136E+00   -7.8135136E+00
 0.8400    8.9476150E-01    7.9336991E+00   -7.9336991E+00
 0.8500    8.8621048E-01    8.0460847E+00   -8.0460847E+00
 0.8600    8.7695114E-01    8.1504608E+00   -8.1504608E+00
 0.8700    8.6701959E-01    8.2466446E+00   -8.2466446E+00
 0.8800    8.5645280E-01    8.3344825E+00   -8.3344825E+00
 0.8900    8.4528847E-01    8.4138511E+00   -8.4138511E+00
 0.9000    8.3356474E-01    8.4846556E+00   -8.4846556E+00
 0.9100    8.2131970E-01    8.5468265E+00   -8.5468265E+00
 0.9200    8.0859111E-01    8.6003175E+00   -8.6003175E+00
 0.9300    7.9541621E-01    8.6451036E+00   -8.6451036E+00
 0.9400    7.8183192E-01    8.6811842E+00   -8.6811842E+00
 0.9500    7.6787516E-01    8.7085869E+00   -8.7085869E+00
 0.9600    7.5358306E-01    8.7273714E+00   -8.7273714E+00
 0.9700    7.3899292E-01    8.7376292E+00   -8.7376292E+00
 0.9800    7.2414179E-01    8.7394807E+00   -8.7394807E+00
 0.9900    7.0906603E-01    8.7330698E+00   -8.7330698E+00
 1.0000    6.9380105E-01    8.7185611E+00   -8.7185611E+00
 1.0100    6.7838139E-01    8.6961403E+00   -8.6961403E+00
 1.0200    6.6284092E-01    8.6660166E+00   -8.6660166E+00
 1.0300    6.4721290E-01    8.6284239E+00   -8.6284239E+00
 1.0400    6.3152984E-01    8.5836188E+00   -8.5836188E+00
 1.0500    6.1582334E-01    8.5318775E+00   -8.5318775E+00
 1.0600    6.0012395E-01    8.4734946E+00   -8.4734946E+00
 1.0700    5.8446127E-01    8.4087832E+00   -8.4087832E+00
 1.0800    5.6886399E-01    8.3380754E+00   -8.3380754E+00
 1.0900    5.5335990E-01    8.2617213E+00   -8.2617213E+00
 1.1000    5.3797578E-01    8.1800876E+00   -8.1800876E+00
 1.1100    5.2273740E-01    8.0935564E+00   -8.0935564E+00
 1.1200    5.0766947E-01    8.0025235E+00   -8.0025235E+00
 1.1300    4.9279560E-01    7.9073975E+00   -7.9073975E+00
 1.1400    4.7813826E-01    7.8085980E+00   -7.8085980E+00
 1.1500    4.6371876E-01    7.7065538E+00   -7.7065538E+00
 1.1600    4.4955709E-01    7.6016994E+00   -7.6016994E+00
 1.1700    4.3567170E-01    7.4944701E+00   -7.4944701E+00
 1.1800    4.2207914E-01    7.3852937E+00   -7.3852937E+00
 1.1900    4.0879355E-01    7.2745782E+00   -7.2745782E+00
 1.2000    3.9582607E-01    7.1626997E+00   -7.1626997E+00
 1.2100    3.8318452E-01    7.0499910E+00   -7.0499910E+00
 1.2200    3.7087333E-01    6.9367355E+00   -6.9367355E+00
 1.2300    3.5889377E-01    6.8231671E+00   -6.8231671E+00
