# total charge: 9.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000   -1.2858966E+00   -0.0000000E+00    7.1809610E+01
 0.0100   -1.2809802E+00   -1.6097271E-03    7.1453068E+01
 0.0200   -1.2747711E+00   -6.4076982E-03    7.0394093E+01
 0.0300   -1.2670117E+00   -1.4329565E-02    6.8664136E+01
 0.0400   -1.2574302E+00   -2.5282135E-02    6.6313907E+01
 0.0500   -1.2457312E+00   -3.9135799E-02    6.3410895E+01
 0.0600   -1.2315897E+00   -5.5715805E-02    6.0036144E+01
 0.0700   -1.2146795E+00   -7.4794153E-02    5.6280502E+01
 0.0800   -1.1947401E+00   -9.6086704E-02    5.2240566E+01
 0.0900   -1.1716446E+00   -1.1925890E-01    4.8014604E+01
 0.1000   -1.1454196E+00   -1.4393768E-01    4.3698668E+01
 0.1100   -1.1162076E+00   -1.6972281E-01    3.9383115E+01
 0.1200   -1.0842018E+00   -1.9619254E-01    3.5149682E+01
 0.1300   -1.0495936E+00   -2.2290394E-01    3.1069251E+01
 0.1400   -1.0125484E+00   -2.4939154E-01    2.7200335E+01
 0.1500   -9.7320760E-01   -2.7516797E-01    2.3588335E+01
 0.1600   -9.3170311E-01   -2.9972804E-01    2.0265478E+01
 0.1700   -8.8817016E-01   -3.2255508E-01    1.7251389E+01
 0.1800   -8.4275133E-01   -3.4312655E-01    1.4554155E+01
 0.1900   -7.9559025E-01   -3.6091632E-01    1.2171763E+01
 0.2000   -7.4682204E-01   -3.7539370E-01    1.0093768E+01
 0.2100   -6.9656935E-01   -3.8602267E-01    8.3030700E+00
 0.2200   -6.4494746E-01   -3.9226501E-01    6.7776917E+00
 0.2300   -5.9207376E-01   -3.9358755E-01    5.4924543E+00
 0.2400   -5.3807469E-01   -3.8947081E-01    4.4204863E+00
 0.2500   -4.8308686E-01   -3.7941553E-01    3.5345096E+00
 0.2600   -4.2725374E-01   -3.6294635E-01    2.8078808E+00
 0.2700   -3.7072131E-01   -3.3961350E-01    2.2153818E+00
 0.2800   -3.1363457E-01   -3.0899386E-01    1.7337751E+00
 0.2900   -2.5613558E-01   -2.7069222E-01    1.3421481E+00
 0.3000   -1.9836289E-01   -2.2434314E-01    1.0220759E+00
 0.3100   -1.4045198E-01   -1.6961378E-01    7.5764121E-01
 0.3200   -8.2536090E-02   -1.0620714E-01    5.3534302E-01
 0.3300   -2.4746773E-02   -3.3865409E-02    3.4392782E-01
 0.3400    3.2786068E-02    4.7627418E-02    1.7417203E-01
 0.3500    8.9934806E-02    1.3844388E-01    1.8639008E-02
 0.3600    1.4657511E-01    2.3871247E-01   -1.2857012E-01
 0.3700    2.0258699E-01    3.4851772E-01   -2.7205727E-01
 0.3800    2.5785524E-01    4.6789996E-01   -4.1534952E-01
 0.3900    3.1226911E-01    5.9685399E-01   -5.6109600E-01
 0.4000    3.6572162E-01    7.3532695E-01   -7.1123751E-01
 0.4100    4.1810923E-01    8.8321681E-01   -8.6714971E-01
 0.4200    4.6933226E-01    1.0403725E+00   -1.0297627E+00
 0.4300    5.1929611E-01    1.2065959E+00   -1.1996596E+00
 0.4400    5.6791224E-01    1.3816449E+00   -1.3771553E+00
 0.4500    6.1509876E-01    1.5652357E+00   -1.5623586E+00
 0.4600    6.6078030E-01    1.7570439E+00   -1.7552186E+00
 0.4700    7.0488772E-01    1.9567058E+00   -1.9555592E+00
 0.4800    7.4735766E-01    2.1638185E+00   -2.1631055E+00
 0.4900    7.8813216E-01    2.3779410E+00   -2.3775020E+00
 0.5000    8.2715854E-01    2.5985952E+00   -2.5983276E+00
 0.5100    8.6438968E-01    2.8252689E+00   -2.8251074E+00
 0.5200    8.9978462E-01    3.0574201E+00   -3.0573236E+00
 0.5300    9.3330885E-01    3.2944809E+00   -3.2944238E+00
 0.5400    9.6493400E-01    3.5358595E+00   -3.5358260E+00
 0.5500    9.9463715E-01    3.7809411E+00   -3.7809218E+00
 0.5600    1.0224004E+00    4.0290895E+00   -4.0290784E+00
 0.5700    1.0482109E+00    4.2796498E+00   -4.2796435E+00
 0.5800    1.0720614E+00    4.5319541E+00   -4.5319505E+00
 0.5900    1.0939502E+00    4.7853250E+00   -4.7853230E+00
 0.6000    1.1138810E+00    5.0390789E+00   -5.0390778E+00
 0.6100    1.1318624E+00    5.2925281E+00   -5.2925275E+00
 0.6200    1.1479077E+00    5.5449828E+00   -5.5449825E+00
 0.6300    1.1620345E+00    5.7957546E+00   -5.7957544E+00
 0.6400    1.1742650E+00    6.0441597E+00   -6.0441596E+00
 0.6500    1.1846256E+00    6.2895228E+00   -6.2895227E+00
 0.6600    1.1931467E+00    6.5311787E+00   -6.5311787E+00
 0.6700    1.1998622E+00    6.7684754E+00   -6.7684754E+00
 0.6800    1.2048098E+00    7.0007760E+00   -7.0007760E+00
 0.6900    1.2080301E+00    7.2274619E+00   -7.2274618E+00
 0.7000    1.2095672E+00    7.4479359E+00   -7.4479359E+00
 0.7100    1.2094678E+00    7.6616249E+00   -7.6616248E+00
 0.7200    1.2077818E+00    7.8679817E+00   -7.8679817E+00
 0.7300    1.2045611E+00    8.0664869E+00   -8.0664869E+00
 0.7400    1.1998599E+00    8.2566492E+00   -8.2566492E+00
 0.7500    1.1937339E+00    8.4380078E+00   -8.4380078E+00
 0.7600    1.1862409E+00    8.6101345E+00   -8.6101345E+00
 0.7700    1.1774399E+00    8.7726353E+00   -8.7726353E+00
 0.7800    1.1673913E+00    8.9251501E+00   -8.9251501E+00
 0.7900    1.1561561E+00    9.0673526E+00   -9.0673526E+00
 0.8000    1.1437956E+00    9.1989500E+00   -9.1989500E+00
 0.8100    1.1303719E+00    9.3196857E+00   -9.3196857E+00
 0.8200    1.1159475E+00    9.4293412E+00   -9.4293412E+00
 0.8300    1.1005854E+00    9.5277381E+00   -9.5277381E+00
 0.8400    1.0843487E+00    9.6147372E+00   -9.6147372E+00
 0.8500    1.0673005E+00    9.6902376E+00   -9.6902376E+00
 0.8600    1.0495034E+00    9.7541763E+00   -9.7541763E+00
 0.8700    1.0310196E+00    9.8065284E+00   -9.8065284E+00
 0.8800    1.0119111E+00    9.8473091E+00   -9.8473091E+00
 0.8900    9.9223927E-01    9.8765732E+00   -9.8765732E+00
 0.9000    9.7206490E-01    9.8944155E+00   -9.8944155E+00
 0.9100    9.5144794E-01    9.9009685E+00   -9.9009685E+00
 0.9200    9.3044717E-01    9.8963999E+00   -9.8963999E+00
 0.9300    9.0912004E-01    9.8809111E+00   -9.8809111E+00
 0.9400    8.8752256E-01    9.8547355E+00   -9.8547355E+00
 0.9500    8.6570932E-01    9.8181388E+00   -9.8181388E+00
 0.9600    8.4373362E-01    9.7714201E+00   -9.7714201E+00
 0.9700    8.2164764E-01    9.7149136E+00   -9.7149136E+00
 0.9800    7.9950253E-01    9.6489901E+00   -9.6489901E+00
