# total charge: 10.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    5.7321218E-01    0.0000000E+00    7.9788456E+01
 0.0100    5.7517442E-01    7.2278549E-04    7.9389787E+01
 0.0200    5.7765231E-01    2.9035972E-03    7.8205635E+01
 0.0300    5.8074834E-01    6.5681090E-03    7.6270995E+01
 0.0400    5.8457036E-01    1.1753484E-02    7.3642275E+01
 0.0500    5.8923536E-01    1.8511375E-02    7.0394554E+01
 0.0600    5.9487176E-01    2.6911364E-02    6.6618009E+01
 0.0700    6.0160837E-01    3.7044165E-02    6.2413743E+01
 0.0800    6.0954775E-01    4.9022739E-02    5.7889288E+01
 0.0900    6.1873911E-01    6.2979970E-02    5.3154070E+01
 0.1000    6.2917011E-01    7.9063847E-02    4.8315081E+01
 0.1100    6.4078174E-01    9.7432840E-02    4.3473003E+01
 0.1200    6.5349410E-01    1.1825351E-01    3.8718957E+01
 0.1300    6.6722763E-01    1.4170024E-01    3.4132018E+01
 0.1400    6.8191276E-01    1.6795570E-01    2.9777537E+01
 0.1500    6.9748929E-01    1.9721045E-01    2.5706309E+01
 0.1600    7.1390081E-01    2.2966124E-01    2.1954506E+01
 0.1700    7.3108939E-01    2.6550835E-01    1.8544307E+01
 0.1800    7.4899394E-01    3.0495319E-01    1.5485078E+01
 0.1900    7.6755256E-01    3.4819713E-01    1.2774966E+01
 0.2000    7.8670609E-01    3.9544161E-01    1.0402752E+01
 0.2100    8.0639956E-01    4.4688804E-01    8.3498312E+00
 0.2200    8.2658023E-01    5.0273630E-01    6.5921823E+00
 0.2300    8.4719416E-01    5.6318164E-01    5.1022259E+00
 0.2400    8.6818382E-01    6.2841137E-01    3.8504947E+00
 0.2500    8.8948787E-01    6.9860214E-01    2.8070580E+00
 0.2600    9.1104233E-01    7.7391830E-01    1.9426755E+00
 0.2700    9.3278198E-01    8.5451077E-01    1.2296762E+00
 0.2800    9.5464138E-01    9.4051599E-01    6.4257433E-01
 0.2900    9.7655550E-01    1.0320549E+00    1.5845160E-01
 0.3000    9.9846015E-01    1.1292318E+00   -2.4286215E-01
 0.3100    1.0202921E+00    1.2321336E+00   -5.7876974E-01
 0.3200    1.0419891E+00    1.3408277E+00   -8.6401009E-01
 0.3300    1.0634893E+00    1.4553614E+00   -1.1108476E+00
 0.3400    1.0847315E+00    1.5757596E+00   -1.3293158E+00
 0.3500    1.1056553E+00    1.7020241E+00   -1.5274876E+00
 0.3600    1.1262014E+00    1.8341335E+00   -1.7117531E+00
 0.3700    1.1463126E+00    1.9720431E+00   -1.8870870E+00
 0.3800    1.1659340E+00    2.1156851E+00   -2.0572957E+00
 0.3900    1.1850124E+00    2.2649675E+00   -2.2252364E+00
 0.4000    1.2034962E+00    2.4197726E+00   -2.3930066E+00
 0.4100    1.2213347E+00    2.5799559E+00   -2.5621036E+00
 0.4200    1.2384790E+00    2.7453460E+00   -2.7335574E+00
 0.4300    1.2548821E+00    2.9157461E+00   -2.9080390E+00
 0.4400    1.2705003E+00    3.0909358E+00   -3.0859473E+00
 0.4500    1.2852933E+00    3.2706731E+00   -3.2674763E+00
 0.4600    1.2992240E+00    3.4546938E+00   -3.4526657E+00
