# total charge: 11.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.7303042E-01    0.0000000E+00    8.7767302E+01
 0.0100    4.7608023E-01    5.9826006E-04    8.7328962E+01
 0.0200    4.7993153E-01    2.4123990E-03    8.6026980E+01
 0.0300    4.8474366E-01    5.4823217E-03    8.3899837E+01
 0.0400    4.9068435E-01    9.8657941E-03    8.1009565E+01
 0.0500    4.9793558E-01    1.5643108E-02    7.7438729E+01
 0.0600    5.0669722E-01    2.2922442E-02    7.3286490E+01
 0.0700    5.1716996E-01    3.1844852E-02    6.8664020E+01
 0.0800    5.2951414E-01    4.2586054E-02    6.3689556E+01
 0.0900    5.4380783E-01    5.5352895E-02    5.8483402E+01
 0.1000    5.6003417E-01    7.0375969E-02    5.3163183E+01
 0.1100    5.7810441E-01    8.7902559E-02    4.7839576E+01
 0.1200    5.9789781E-01    1.0819304E-01    4.2612739E+01
 0.1300    6.1929482E-01    1.3152067E-01    3.7569570E+01
 0.1400    6.4219181E-01    1.5817240E-01    3.2781870E+01
 0.1500    6.6649819E-01    1.8844792E-01    2.8305423E+01
 0.1600    6.9212380E-01    2.2265559E-01    2.4179928E+01
 0.1700    7.1896751E-01    2.6110607E-01    2.0429691E+01
 0.1800    7.4691699E-01    3.0410756E-01    1.7064927E+01
 0.1900    7.7586052E-01    3.5196600E-01    1.4083513E+01
 0.2000    8.0570156E-01    4.0498977E-01    1.1473023E+01
 0.2100    8.3636371E-01    4.6349348E-01    9.2128976E+00
 0.2200    8.6778354E-01    5.2779665E-01    7.2766138E+00
 0.2300    8.9989889E-01    5.9821769E-01    5.6337306E+00
 0.2400    9.3264000E-01    6.7506624E-01    4.2517304E+00
 0.2500    9.6592369E-01    7.5863470E-01    3.0975914E+00
 0.2600    9.9964758E-01    8.4918728E-01    2.1390660E+00
 0.2700    1.0336869E+00    9.4694857E-01    1.3456571E+00
 0.2800    1.0679006E+00    1.0520994E+00    6.8929998E-01
 0.2900    1.1021502E+00    1.1647873E+00    1.4476981E-01
 0.3000    1.1363216E+00    1.2851494E+00   -3.1014278E-01
 0.3100    1.1703351E+00    1.4133296E+00   -6.9462945E-01
 0.3200    1.2041311E+00    1.5494715E+00   -1.0249721E+00
 0.3300    1.2376390E+00    1.6936815E+00   -1.3147163E+00
 0.3400    1.2707531E+00    1.8459880E+00   -1.5748998E+00
 0.3500    1.3033363E+00    2.0063304E+00   -1.8143402E+00
 0.3600    1.3352511E+00    2.1745922E+00   -2.0399738E+00
 0.3700    1.3663903E+00    2.3506505E+00   -2.2571989E+00
 0.3800    1.3966841E+00    2.5344006E+00   -2.4701723E+00
 0.3900    1.4260848E+00    2.7257401E+00   -2.6820359E+00
 0.4000    1.4545433E+00    2.9245328E+00   -2.8950902E+00
 0.4100    1.4819926E+00    3.1305715E+00   -3.1109339E+00
 0.4200    1.5083382E+00    3.3435451E+00   -3.3305776E+00
