# total charge: 12.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.4996714E-01    0.0000000E+00    9.5746147E+01
 0.0100    3.5688180E-01    4.4847089E-04    9.5268163E+01
 0.0200    3.6560993E-01    1.8377559E-03    9.3848409E+01
 0.0300    3.7650756E-01    4.2582002E-03    9.1528818E+01
 0.0400    3.8994523E-01    7.8403141E-03    8.8376993E+01
 0.0500    4.0631972E-01    1.2764910E-02    8.4482914E+01
 0.0600    4.2606125E-01    1.9274557E-02    7.9954630E+01
 0.0700    4.4959545E-01    2.7683937E-02    7.4913260E+01
 0.0800    4.7725077E-01    3.8382784E-02    6.9487590E+01
 0.0900    5.0916437E-01    5.1826620E-02    6.3808633E+01
 0.1000    5.4525388E-01    6.8518624E-02    5.8004455E+01
 0.1100    5.8527004E-01    8.8992115E-02    5.2195530E+01
 0.1200    6.2888715E-01    1.1380074E-01    4.6490852E+01
 0.1300    6.7577811E-01    1.4351612E-01    4.0984946E+01
 0.1400    7.2564845E-01    1.7872784E-01    3.5755864E+01
 0.1500    7.7823380E-01    2.2004042E-01    3.0864183E+01
 0.1600    8.3327874E-01    2.6806501E-01    2.6352935E+01
 0.1700    8.9051716E-01    3.2340743E-01    2.2248371E+01
 0.1800    9.4966848E-01    3.8665791E-01    1.8561380E+01
 0.1900    1.0104513E+00    4.5838718E-01    1.5289408E+01
 0.2000    1.0726017E+00    5.3914842E-01    1.2418684E+01
 0.2100    1.1358800E+00    6.2947852E-01    9.9265845E+00
 0.2200    1.2000629E+00    7.2989308E-01    7.7840092E+00
 0.2300    1.2649296E+00    8.4087584E-01    5.9576132E+00
 0.2400    1.3302519E+00    9.6286685E-01    4.4118204E+00
 0.2500    1.3957896E+00    1.0962506E+00    3.1105415E+00
 0.2600    1.4612844E+00    1.2413416E+00    2.0185710E+00
 0.2700    1.5264551E+00    1.3983678E+00    1.1026566E+00
 0.2800    1.5910016E+00    1.5674603E+00    3.3224809E-01
 0.2900    1.6546260E+00    1.7486613E+00   -3.2005352E-01
 0.3000    1.7170610E+00    1.9419503E+00   -8.7830665E-01
 0.3100    1.7780903E+00    2.1472720E+00   -1.3632354E+00
 0.3200    1.8375410E+00    2.3645411E+00   -1.7923599E+00
 0.3300    1.8952533E+00    2.5936120E+00   -2.1801954E+00
 0.3400    1.9510468E+00    2.8342319E+00   -2.5384993E+00
 0.3500    2.0047115E+00    3.0860136E+00   -2.8765697E+00
 0.3600    2.0560273E+00    3.3484494E+00   -3.2015930E+00
 0.3700    2.1047973E+00    3.6209588E+00   -3.5190116E+00
 0.3800    2.1508699E+00    3.9029339E+00   -3.8328666E+00
 0.3900    2.1941400E+00    4.1937585E+00   -4.1460811E+00
 0.4000    2.2345322E+00    4.4927936E+00   -4.4606743E+00
 0.4100    2.2719764E+00    4.7993387E+00   -4.7779159E+00
 0.4200    2.3063873E+00    5.1125866E+00   -5.0984403E+00
 0.4300    2.3376573E+00    5.4315980E+00   -5.4223496E+00
 0.4400    2.3656693E+00    5.7553171E+00   -5.7493309E+00
 0.4500    2.3903190E+00    6.0826209E+00   -6.0787848E+00
 0.4600    2.4115325E+00    6.4123711E+00   -6.4099373E+00
 0.4700    2.4292719E+00    6.7434433E+00   -6.7419145E+00
 0.4800    2.4435323E+00    7.0747389E+00   -7.0737882E+00
 0.4900    2.4543355E+00    7.4051856E+00   -7.4046003E+00
 0.5000    2.4617212E+00    7.7337253E+00   -7.7333685E+00
 0.5100    2.4657377E+00    8.0592956E+00   -8.0590802E+00
 0.5200    2.4664427E+00    8.3808405E+00   -8.3807118E+00
 0.5300    2.4639154E+00    8.6973588E+00   -8.6972827E+00
 0.5400    2.4582559E+00    9.0079190E+00   -9.0078744E+00
 0.5500    2.4495543E+00    9.3115572E+00   -9.3115314E+00
 0.5600    2.4378474E+00    9.6071027E+00   -9.6070878E+00
 0.5700    2.4231120E+00    9.8931151E+00   -9.8931067E+00
 0.5800    2.4053232E+00    1.0168088E+01   -1.0168083E+01
 0.5900    2.3845444E+00    1.0430841E+01   -1.0430838E+01
 0.6000    2.3609806E+00    1.0680825E+01   -1.0680823E+01
 0.6100    2.3349462E+00    1.0918084E+01   -1.0918083E+01
 0.6200    2.3067614E+00    1.1142841E+01   -1.1142840E+01
 0.6300    2.2766403E+00    1.1354954E+01   -1.1354954E+01
 0.6400    2.2446384E+00    1.1553570E+01   -1.1553570E+01
 0.6500    2.2106901E+00    1.1737198E+01   -1.1737198E+01
 0.6600    2.1747187E+00    1.1904216E+01   -1.1904216E+01
 0.6700    2.1367657E+00    1.2053589E+01   -1.2053589E+01
 0.6800    2.0970772E+00    1.2185465E+01   -1.2185465E+01
 0.6900    2.0560904E+00    1.2301279E+01   -1.2301279E+01
 0.7000    2.0143023E+00    1.2403110E+01   -1.2403110E+01
 0.7100    1.9720831E+00    1.2492570E+01   -1.2492570E+01
 0.7200    1.9295554E+00    1.2569908E+01   -1.2569908E+01
 0.7300    1.8866203E+00    1.2633977E+01   -1.2633977E+01
 0.7400    1.8431009E+00    1.2683012E+01   -1.2683012E+01
 0.7500    1.7988877E+00    1.2715588E+01   -1.2715588E+01
 0.7600    1.7540007E+00    1.2731126E+01   -1.2731126E+01
 0.7700    1.7085696E+00    1.2729870E+01   -1.2729870E+01
 0.7800    1.6627820E+00    1.2712600E+01   -1.2712600E+01
 0.7900    1.6168406E+00    1.2680350E+01   -1.2680350E+01
 0.8000    1.5709391E+00    1.2634242E+01   -1.2634242E+01
 0.8100    1.5252556E+00    1.2575421E+01   -1.2575421E+01
 0.8200    1.4799485E+00    1.2505013E+01   -1.2505013E+01
 0.8300    1.4351435E+00    1.2423998E+01   -1.2423998E+01
 0.8400    1.3909099E+00    1.2332964E+01   -1.2332964E+01
 0.8500    1.3472442E+00    1.2231903E+01   -1.2231903E+01
 0.8600    1.3040874E+00    1.2120303E+01   -1.2120303E+01
 0.8700    1.2613816E+00    1.1997614E+01   -1.1997614E+01
 0.8800    1.2191302E+00    1.1863841E+01   -1.1863841E+01
 0.8900    1.1774194E+00    1.1719823E+01   -1.1719823E+01
 0.9000    1.1363857E+00    1.1566997E+01   -1.1566997E+01
 0.9100    1.0961585E+00    1.1406857E+01   -1.1406857E+01
 0.9200    1.0568242E+00    1.1240568E+01   -1.1240568E+01
 0.9300    1.0184292E+00    1.1068955E+01   -1.1068955E+01
 0.9400    9.8100515E-01    1.0892733E+01   -1.0892733E+01
 0.9500    9.4458130E-01    1.0712638E+01   -1.0712638E+01
 0.9600    9.0917834E-01    1.0529346E+01   -1.0529346E+01
 0.9700    8.7479805E-01    1.0343348E+01   -1.0343348E+01
 0.9800    8.4142490E-01    1.0154940E+01   -1.0154940E+01
 0.9900    8.0903383E-01    9.9643032E+00   -9.9643032E+00
 1.0000    7.7759307E-01    9.7715228E+00   -9.7715228E+00
 1.0100    7.4706507E-01    9.5765933E+00   -9.5765933E+00
 1.0200    7.1741707E-01    9.3795480E+00   -9.3795480E+00
 1.0300    6.8863996E-01    9.1807156E+00   -9.1807156E+00
 1.0400    6.6075835E-01    8.9808863E+00   -8.9808863E+00
 1.0500    6.3381854E-01    8.7811905E+00   -8.7811905E+00
 1.0600    6.0786082E-01    8.5827359E+00   -8.5827359E+00
 1.0700    5.8289592E-01    8.3862622E+00   -8.3862622E+00
 1.0800    5.5890088E-01    8.1920420E+00   -8.1920420E+00
 1.0900    5.3583284E-01    8.0000405E+00   -8.0000405E+00
 1.1000    5.1364624E-01    7.8101495E+00   -7.8101495E+00
 1.1100    4.9230017E-01    7.6222959E+00   -7.6222959E+00
 1.1200    4.7175568E-01    7.4364052E+00   -7.4364052E+00
 1.1300    4.5197357E-01    7.2523673E+00   -7.2523673E+00
 1.1400    4.3292027E-01    7.0701314E+00   -7.0701314E+00
 1.1500    4.1457688E-01    6.8898636E+00   -6.8898636E+00
 1.1600    3.9693988E-01    6.7119789E+00   -6.7119789E+00
 1.1700    3.8001042E-01    6.5369791E+00   -6.5369791E+00
 1.1800    3.6378210E-01    6.3652461E+00   -6.3652461E+00
 1.1900    3.4823842E-01    6.1969854E+00   -6.1969854E+00
 1.2000    3.3336016E-01    6.0323434E+00   -6.0323434E+00
 1.2100    3.1913246E-01    5.8715341E+00   -5.8715341E+00
 1.2200    3.0554407E-01    5.7148308E+00   -5.7148308E+00
 1.2300    2.9258083E-01    5.5624479E+00   -5.5624479E+00
 1.2400    2.8022157E-01    5.4144555E+00   -5.4144555E+00
 1.2500    2.6844004E-01    5.2708079E+00   -5.2708079E+00
 1.2600    2.5720957E-01    5.1314260E+00   -5.1314260E+00
 1.2700    2.4650426E-01    4.9962220E+00   -4.9962220E+00
 1.2800    2.3629585E-01    4.8650342E+00   -4.8650342E+00
 1.2900    2.2655090E-01    4.7375639E+00   -4.7375639E+00
 1.3000    2.1723385E-01    4.6134314E+00   -4.6134314E+00
 1.3100    2.0831604E-01    4.4923664E+00   -4.4923664E+00
 1.3200    1.9978396E-01    4.3743986E+00   -4.3743986E+00
 1.3300    1.9163841E-01    4.2598637E+00   -4.2598637E+00
 1.3400    1.8388287E-01    4.1491653E+00   -4.1491653E+00
 1.3500    1.7650943E-01    4.0424561E+00   -4.0424561E+00
 1.3600    1.6949413E-01    3.9395112E+00   -3.9395112E+00
 1.3700    1.6280653E-01    3.8399258E+00   -3.8399258E+00
 1.3800    1.5642589E-01    3.7434899E+00   -3.7434899E+00
 1.3900    1.5034991E-01    3.6504183E+00   -3.6504183E+00
 1.4000    1.4458834E-01    3.5612232E+00   -3.5612232E+00
 1.4100    1.3914607E-01    3.4763144E+00   -3.4763144E+00
 1.4200    1.3400946E-01    3.3956428E+00   -3.3956428E+00
 1.4300    1.2914585E-01    3.3186571E+00   -3.3186571E+00
 1.4400    1.2451515E-01    3.2445693E+00   -3.2445693E+00
 1.4500    1.2008369E-01    3.1727063E+00   -3.1727063E+00
 1.4600    1.1583172E-01    3.1027235E+00   -3.1027235E+00
 1.4700    1.1175243E-01    3.0346005E+00   -3.0346005E+00
 1.4800    1.0784488E-01    2.9684712E+00   -2.9684712E+00
 1.4900    1.0410586E-01    2.9044077E+00   -2.9044077E+00
 1.5000    1.0052567E-01    2.8422963E+00   -2.8422963E+00
 1.5100    9.7090508E-02    2.7818937E+00   -2.7818937E+00
