# total charge: 13.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.3098061E+00    0.0000000E+00    1.0372499E+02
 0.0100    2.3147004E+00    2.9087383E-03    1.0320475E+02
 0.0200    2.3208745E+00    1.1665988E-02    1.0165943E+02
 0.0300    2.3285747E+00    2.6335560E-02    9.9134496E+01
 0.0400    2.3380533E+00    4.7009351E-02    9.5703227E+01
 0.0500    2.3495743E+00    7.3814055E-02    9.1463171E+01
 0.0600    2.3634190E+00    1.0691856E-01    8.6531478E+01
 0.0700    2.3798597E+00    1.4654038E-01    8.1039482E+01
 0.0800    2.3990974E+00    1.9294686E-01    7.5126857E+01
 0.0900    2.4211972E+00    2.4644786E-01    6.8935717E+01
 0.1000    2.4460690E+00    3.0738209E-01    6.2605006E+01
 0.1100    2.4735017E+00    3.7610357E-01    5.6265462E+01
 0.1200    2.5032226E+00    4.5297249E-01    5.0035402E+01
 0.1300    2.5349465E+00    5.3835081E-01    4.4017483E+01
 0.1400    2.5684022E+00    6.3259969E-01    3.8296541E+01
 0.1500    2.6033402E+00    7.3607711E-01    3.2938498E+01
 0.1600    2.6395284E+00    8.4913388E-01    2.7990283E+01
 0.1700    2.6767412E+00    9.7210704E-01    2.3480653E+01
 0.1800    2.7147472E+00    1.1053104E+00    1.9421731E+01
 0.1900    2.7533036E+00    1.2490251E+00    1.5811087E+01
 0.2000    2.7921618E+00    1.4034936E+00    1.2634158E+01
 0.2100    2.8310834E+00    1.5689212E+00    9.8668138E+00
 0.2200    2.8698575E+00    1.7454827E+00    7.4779114E+00
 0.2300    2.9083068E+00    1.9333290E+00    5.4317008E+00
 0.2400    2.9462773E+00    2.1325831E+00    3.6899947E+00
 0.2500    2.9836127E+00    2.3433239E+00    2.2140342E+00
 0.2600    3.0201292E+00    2.5655595E+00    9.6601254E-01
 0.2700    3.0555971E+00    2.7991972E+00   -8.9754103E-02
 0.2800    3.0897250E+00    3.0440077E+00   -9.8599030E-01
 0.2900    3.1221498E+00    3.2995871E+00   -1.7519287E+00
 0.3000    3.1524628E+00    3.5653514E+00   -2.4130709E+00
 0.3100    3.1802969E+00    3.8406162E+00   -2.9912433E+00
 0.3200    3.2054543E+00    4.1247669E+00   -3.5049040E+00
 0.3300    3.2279982E+00    4.4174437E+00   -3.9695758E+00
 0.3400    3.2482435E+00    4.7186338E+00   -4.3982568E+00
 0.3500    3.2666429E+00    5.0286061E+00   -4.8017086E+00
 0.3600    3.2835914E+00    5.3476624E+00   -5.1885679E+00
 0.3700    3.2991833E+00    5.6757042E+00   -5.5652613E+00
 0.3800    3.3130139E+00    6.0117417E+00   -5.9358355E+00
 0.3900    3.3241979E+00    6.3536889E+00   -6.3020385E+00
 0.4000    3.3317026E+00    6.6987856E+00   -6.6639898E+00
 0.4100    3.3348379E+00    7.0445345E+00   -7.0213265E+00
 0.4200    3.3335381E+00    7.3894799E+00   -7.3741547E+00
 0.4300    3.3282165E+00    7.7331840E+00   -7.7231648E+00
 0.4400    3.3193635E+00    8.0755113E+00   -8.0690263E+00
 0.4500    3.3073043E+00    8.4160642E+00   -8.4119084E+00
 0.4600    3.2923148E+00    8.7544100E+00   -8.7517734E+00
 0.4700    3.2748584E+00    9.0907164E+00   -9.0890602E+00
 0.4800    3.2555298E+00    9.4257087E+00   -9.4246788E+00
 0.4900    3.2346192E+00    9.7594464E+00   -9.7588122E+00
 0.5000    3.2116950E+00    1.0089838E+01   -1.0089451E+01
 0.5100    3.1857055E+00    1.0412520E+01   -1.0412286E+01
 0.5200    3.1556478E+00    1.0722723E+01   -1.0722583E+01
 0.5300    3.1212970E+00    1.1017846E+01   -1.1017764E+01
 0.5400    3.0834112E+00    1.1298709E+01   -1.1298661E+01
 0.5500    3.0433214E+00    1.1568660E+01   -1.1568632E+01
 0.5600    3.0023220E+00    1.1831592E+01   -1.1831576E+01
 0.5700    2.9612794E+00    1.2090352E+01   -1.2090343E+01
 0.5800    2.9204880E+00    1.2345858E+01   -1.2345853E+01
 0.5900    2.8795826E+00    1.2596313E+01   -1.2596310E+01
 0.6000    2.8374906E+00    1.2836505E+01   -1.2836503E+01
 0.6100    2.7926449E+00    1.3058258E+01   -1.3058257E+01
 0.6200    2.7435892E+00    1.3252943E+01   -1.3252942E+01
 0.6300    2.6897381E+00    1.3415317E+01   -1.3415317E+01
 0.6400    2.6318148E+00    1.3546439E+01   -1.3546439E+01
 0.6500    2.5716211E+00    1.3653486E+01   -1.3653486E+01
 0.6600    2.5112029E+00    1.3746102E+01   -1.3746101E+01
 0.6700    2.4518713E+00    1.3831113E+01   -1.3831113E+01
 0.6800    2.3936682E+00    1.3908863E+01   -1.3908863E+01
 0.6900    2.3356097E+00    1.3973600E+01   -1.3973600E+01
 0.7000    2.2765199E+00    1.4017721E+01   -1.4017721E+01
 0.7100    2.2158717E+00    1.4036899E+01   -1.4036899E+01
 0.7200    2.1541021E+00    1.4032697E+01   -1.4032697E+01
 0.7300    2.0922974E+00    1.4011318E+01   -1.4011318E+01
 0.7400    2.0315629E+00    1.3979884E+01   -1.3979884E+01
 0.7500    1.9725166E+00    1.3942898E+01   -1.3942898E+01
 0.7600    1.9151647E+00    1.3900908E+01   -1.3900908E+01
 0.7700    1.8591177E+00    1.3851544E+01   -1.3851544E+01
 0.7800    1.8038901E+00    1.3791425E+01   -1.3791425E+01
 0.7900    1.7490605E+00    1.3717308E+01   -1.3717308E+01
 0.8000    1.6942801E+00    1.3626209E+01   -1.3626209E+01
 0.8100    1.6392899E+00    1.3515610E+01   -1.3515610E+01
 0.8200    1.5840420E+00    1.3384565E+01   -1.3384565E+01
 0.8300    1.5288225E+00    1.3234974E+01   -1.3234974E+01
 0.8400    1.4742016E+00    1.3071496E+01   -1.3071496E+01
 0.8500    1.4207979E+00    1.2899712E+01   -1.2899712E+01
 0.8600    1.3690270E+00    1.2723857E+01   -1.2723857E+01
 0.8700    1.3190019E+00    1.2545668E+01   -1.2545668E+01
