# total charge: 4.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.1059975E+00    0.0000000E+00    3.1915382E+01
 0.0100    1.1086785E+00    1.3932065E-03    3.1754811E+01
 0.0200    1.1120573E+00    5.5898095E-03    3.1277826E+01
 0.0300    1.1162641E+00    1.2624650E-02    3.0498401E+01
 0.0400    1.1214286E+00    2.2547660E-02    2.9439064E+01
 0.0500    1.1276813E+00    3.5427154E-02    2.8129799E+01
 0.0600    1.1351562E+00    5.1353257E-02    2.6606615E+01
 0.0700    1.1439763E+00    7.0440587E-02    2.4909874E+01
 0.0800    1.1542200E+00    9.2827878E-02    2.3082496E+01
 0.0900    1.1658863E+00    1.1867277E-01    2.1168147E+01
 0.1000    1.1788851E+00    1.4814307E-01    1.9209515E+01
 0.1100    1.1930581E+00    1.8140816E-01    1.7246766E+01
 0.1200    1.2082150E+00    2.1863344E-01    1.5316251E+01
 0.1300    1.2241637E+00    2.5997768E-01    1.3449510E+01
 0.1400    1.2407234E+00    3.0559124E-01    1.1672606E+01
 0.1500    1.2577243E+00    3.5561317E-01    1.0005794E+01
 0.1600    1.2749996E+00    4.1016620E-01    8.4635006E+00
 0.1700    1.2923785E+00    4.6935066E-01    7.0545755E+00
 0.1800    1.3096872E+00    5.3323966E-01    5.7827730E+00
 0.1900    1.3267556E+00    6.0187734E-01    4.6473878E+00
 0.2000    1.3434265E+00    6.7527982E-01    3.6439975E+00
 0.2100    1.3595580E+00    7.5343568E-01    2.7652520E+00
 0.2200    1.3750190E+00    8.3630350E-01    2.0016639E+00
 0.2300    1.3896828E+00    9.2380692E-01    1.3423561E+00
 0.2400    1.4034244E+00    1.0158308E+00    7.7573163E-01
 0.2500    1.4161228E+00    1.1122203E+00    2.9004376E-01
 0.2600    1.4276647E+00    1.2127821E+00   -1.2614461E-01
 0.2700    1.4379452E+00    1.3172849E+00   -4.8361015E-01
 0.2800    1.4468662E+00    1.4254575E+00   -7.9222142E-01
 0.2900    1.4543368E+00    1.5369893E+00   -1.0607868E+00
 0.3000    1.4602781E+00    1.6515357E+00   -1.2969878E+00
 0.3100    1.4646279E+00    1.7687260E+00   -1.5073805E+00
 0.3200    1.4673391E+00    1.8881666E+00   -1.6974395E+00
 0.3300    1.4683709E+00    2.0094329E+00   -1.8716273E+00
 0.3400    1.4676814E+00    2.1320604E+00   -2.0334828E+00
 0.3500    1.4652333E+00    2.2555514E+00   -2.1857367E+00
 0.3600    1.4610087E+00    2.3794011E+00   -2.3304489E+00
 0.3700    1.4550222E+00    2.5031273E+00   -2.4691449E+00
 0.3800    1.4473182E+00    2.6262803E+00   -2.6029246E+00
 0.3900    1.4379546E+00    2.7484274E+00   -2.7325349E+00
 0.4000    1.4269875E+00    2.8691286E+00   -2.8584222E+00
 0.4100    1.4144646E+00    2.9879247E+00   -2.9807838E+00
 0.4200    1.4004297E+00    3.1043435E+00   -3.0996281E+00
 0.4300    1.3849309E+00    3.2179174E+00   -3.2148345E+00
 0.4400    1.3680269E+00    3.3282034E+00   -3.3262080E+00
 0.4500    1.3497914E+00    3.4348007E+00   -3.4335220E+00
 0.4600    1.3303130E+00    3.5373607E+00   -3.5365495E+00
 0.4700    1.3096909E+00    3.6355857E+00   -3.6350762E+00
