# total charge: 14.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    4.0652372E+00    0.0000000E+00    1.1170384E+02
 0.0100    4.0686316E+00    5.1127932E-03    1.1114160E+02
 0.0200    4.0729098E+00    2.0472678E-02    1.0947148E+02
 0.0300    4.0782377E+00    4.6123781E-02    1.0674246E+02
 0.0400    4.0847801E+00    8.2129376E-02    1.0303351E+02
 0.0500    4.0927038E+00    1.2857608E-01    9.8449715E+01
 0.0600    4.1021790E+00    1.8557821E-01    9.3117311E+01
 0.0700    4.1133610E+00    2.5328109E-01    8.7177820E+01
 0.0800    4.1263460E+00    3.3186044E-01    8.0781774E+01
 0.0900    4.1411271E+00    4.2151540E-01    7.4082355E+01
 0.1000    4.1575838E+00    5.2245739E-01    6.7229345E+01
 0.1100    4.1755116E+00    6.3489942E-01    6.0363710E+01
 0.1200    4.1946702E+00    7.5904964E-01    5.3613046E+01
 0.1300    4.2148205E+00    8.9510844E-01    4.7088097E+01
 0.1400    4.2357376E+00    1.0432658E+00    4.0880425E+01
 0.1500    4.2572044E+00    1.2036962E+00    3.5061231E+01
 0.1600    4.2789981E+00    1.3765498E+00    2.9681284E+01
 0.1700    4.3008805E+00    1.5619427E+00    2.4771799E+01
 0.1800    4.3225973E+00    1.7599473E+00    2.0346097E+01
 0.1900    4.3438896E+00    1.9705880E+00    1.6401840E+01
 0.2000    4.3645138E+00    2.1938439E+00    1.2923627E+01
 0.2100    4.3842571E+00    2.4296542E+00    9.8857527E+00
 0.2200    4.4029327E+00    2.6779180E+00    7.2549680E+00
 0.2300    4.4203532E+00    2.9384784E+00    4.9930922E+00
 0.2400    4.4363087E+00    3.2111020E+00    3.0593664E+00
 0.2500    4.4505831E+00    3.4954798E+00    1.4124444E+00
 0.2600    4.4630084E+00    3.7912661E+00    1.1965288E-02
 0.2700    4.4735048E+00    4.0981260E+00   -1.1802642E+00
 0.2800    4.4820414E+00    4.4157227E+00   -2.1993962E+00
 0.2900    4.4885239E+00    4.7436147E+00   -3.0769056E+00
 0.3000    4.4926996E+00    5.0811235E+00   -3.8402060E+00
 0.3100    4.4941739E+00    5.4272912E+00   -4.5125819E+00
 0.3200    4.4925440E+00    5.7809893E+00   -5.1134446E+00
 0.3300    4.4875647E+00    6.1411325E+00   -5.6588132E+00
 0.3400    4.4792633E+00    6.5069024E+00   -6.1618810E+00
 0.3500    4.4679601E+00    6.8778902E+00   -6.6335391E+00
 0.3600    4.4541515E+00    7.2540384E+00   -7.0827058E+00
 0.3700    4.4382278E+00    7.6352437E+00   -7.5163053E+00
 0.3800    4.4201248E+00    8.0206874E+00   -7.9389423E+00
 0.3900    4.3991710E+00    8.4083335E+00   -8.3527099E+00
 0.4000    4.3743540E+00    8.7951605E+00   -8.7576881E+00
 0.4100    4.3449009E+00    9.1781987E+00   -9.1532054E+00
 0.4200    4.3107492E+00    9.5556713E+00   -9.5391672E+00
 0.4300    4.2725276E+00    9.9273115E+00   -9.9165217E+00
 0.4400    4.2310951E+00    1.0293617E+01   -1.0286633E+01
 0.4500    4.1870707E+00    1.0654797E+01   -1.0650322E+01
 0.4600    4.1407369E+00    1.1010402E+01   -1.1007562E+01
 0.4700    4.0922694E+00    1.1359777E+01   -1.1357993E+01
 0.4800    4.0419122E+00    1.1702515E+01   -1.1701406E+01
 0.4900    3.9898283E+00    1.2038053E+01   -1.2037370E+01
 0.5000    3.9357824E+00    1.2364625E+01   -1.2364209E+01
 0.5100    3.8790598E+00    1.2678757E+01   -1.2678506E+01
 0.5200    3.8188124E+00    1.2976121E+01   -1.2975971E+01
 0.5300    3.7546062E+00    1.3253360E+01   -1.3253271E+01
 0.5400    3.6867769E+00    1.3509654E+01   -1.3509602E+01
 0.5500    3.6164282E+00    1.3747227E+01   -1.3747196E+01
 0.5600    3.5451735E+00    1.3970869E+01   -1.3970852E+01
 0.5700    3.4747189E+00    1.4186630E+01   -1.4186620E+01
