# total charge: 15.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    6.5348449E+00    0.0000000E+00    1.1968268E+02
 0.0100    6.5344295E+00    8.2114063E-03    1.1907755E+02
 0.0200    6.5338960E+00    3.2842943E-02    1.1727997E+02
 0.0300    6.5332098E+00    7.3888862E-02    1.1434246E+02
 0.0400    6.5323244E+00    1.3134017E-01    1.1034970E+02
 0.0500    6.5311762E+00    2.0518295E-01    1.0541442E+02
 0.0600    6.5296823E+00    2.9539587E-01    9.9671985E+01
 0.0700    6.5277443E+00    4.0194726E-01    9.3274233E+01
 0.0800    6.5252567E+00    5.2479228E-01    8.6382674E+01
 0.0900    6.5221164E+00    6.6387059E-01    7.9161704E+01
 0.1000    6.5182275E+00    8.1910463E-01    7.1772113E+01
 0.1100    6.5135017E+00    9.9039802E-01    6.4365255E+01
 0.1200    6.5078579E+00    1.1776342E+00    5.7078182E+01
 0.1300    6.5012207E+00    1.3806751E+00    5.0029903E+01
 0.1400    6.4935141E+00    1.5993581E+00    4.3318882E+01
 0.1500    6.4846451E+00    1.8334902E+00    3.7021789E+01
 0.1600    6.4744811E+00    2.0828347E+00    3.1193416E+01
 0.1700    6.4628363E+00    2.3470960E+00    2.5867627E+01
 0.1800    6.4494872E+00    2.6259113E+00    2.1059136E+01
 0.1900    6.4342202E+00    2.9188581E+00    1.6765886E+01
 0.2000    6.4168830E+00    3.2254772E+00    1.2971813E+01
 0.2100    6.3974033E+00    3.5452934E+00    9.6497854E+00
 0.2200    6.3757607E+00    3.8778163E+00    6.7645615E+00
 0.2300    6.3519348E+00    4.2225186E+00    4.2755927E+00
 0.2400    6.3258715E+00    4.5788110E+00    2.1395481E+00
 0.2500    6.2974894E+00    4.9460366E+00    3.1245355E-01
 0.2600    6.2667120E+00    5.3234882E+00   -1.2485974E+00
 0.2700    6.2334837E+00    5.7104222E+00   -2.5841418E+00
 0.2800    6.1977450E+00    6.1060398E+00   -3.7314043E+00
 0.2900    6.1593877E+00    6.5094366E+00   -4.7236769E+00
 0.3000    6.1182441E+00    6.9195711E+00   -5.5900165E+00
 0.3100    6.0741316E+00    7.3352927E+00   -6.3552470E+00
 0.3200    6.0269180E+00    7.7554161E+00   -7.0401897E+00
 0.3300    5.9765598E+00    8.1787892E+00   -7.6620185E+00
 0.3400    5.9231145E+00    8.6043452E+00   -8.2346795E+00
 0.3500    5.8667547E+00    9.0311673E+00   -8.7693625E+00
 0.3600    5.8077559E+00    9.4585208E+00   -9.2749502E+00
 0.3700    5.7463872E+00    9.8857176E+00   -9.7582835E+00
 0.3800    5.6827151E+00    1.0311763E+01   -1.0224179E+01
 0.3900    5.6164768E+00    1.0735025E+01   -1.0675428E+01
 0.4000    5.5471924E+00    1.1153292E+01   -1.1113143E+01
