# total charge: 16.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    8.4302988E+00    0.0000000E+00    1.2766153E+02
 0.0100    8.4287642E+00    1.0591898E-02    1.2701422E+02
 0.0200    8.4268141E+00    4.2357788E-02    1.2509130E+02
 0.0300    8.4243512E+00    9.5277168E-02    1.2194882E+02
 0.0400    8.4212593E+00    1.6931946E-01    1.1767713E+02
 0.0500    8.4173946E+00    2.6444025E-01    1.1239646E+02
 0.0600    8.4125823E+00    3.8057626E-01    1.0625130E+02
 0.0700    8.4066259E+00    5.1763980E-01    9.9403619E+01
 0.0800    8.3993324E+00    6.7551439E-01    9.2025782E+01
 0.0900    8.3905362E+00    8.5405256E-01    8.4293227E+01
 0.1000    8.3801084E+00    1.0530755E+00    7.6377556E+01
 0.1100    8.3679472E+00    1.2723722E+00    6.8440324E+01
 0.1200    8.3539622E+00    1.5116974E+00    6.0627840E+01
 0.1300    8.3380598E+00    1.7707676E+00    5.3067182E+01
 0.1400    8.3201351E+00    2.0492565E+00    4.5863533E+01
 0.1500    8.3000672E+00    2.3467887E+00    3.9098842E+01
 0.1600    8.2777182E+00    2.6629344E+00    3.2831733E+01
 0.1700    8.2529369E+00    2.9972035E+00    2.7098501E+01
 0.1800    8.2255666E+00    3.3490428E+00    2.1915008E+01
 0.1900    8.1954557E+00    3.7178355E+00    1.7279225E+01
 0.2000    8.1624647E+00    4.1029023E+00    1.3174207E+01
 0.2100    8.1264656E+00    4.5034999E+00    9.5712508E+00
 0.2200    8.0873339E+00    4.9188162E+00    6.4330535E+00
 0.2300    8.0449387E+00    5.3479616E+00    3.7166905E+00
 0.2400    7.9991443E+00    5.7899642E+00    1.3762855E+00
 0.2500    7.9498268E+00    6.2437794E+00   -6.3472322E-01
 0.2600    7.8969003E+00    6.7083114E+00   -2.3617612E+00
 0.2700    7.8403278E+00    7.1824335E+00   -3.8477344E+00
 0.2800    7.7801072E+00    7.6649885E+00   -5.1320440E+00
 0.2900    7.7162387E+00    8.1547662E+00   -6.2499559E+00
 0.3000    7.6486987E+00    8.6504745E+00   -7.2322830E+00
 0.3100    7.5774325E+00    9.1507213E+00   -8.1053392E+00
 0.3200    7.5023613E+00    9.6540111E+00   -8.8911029E+00
 0.3300    7.4233949E+00    1.0158751E+01   -9.6075288E+00
 0.3400    7.3404541E+00    1.0663275E+01   -1.0268965E+01
 0.3500    7.2535051E+00    1.1165904E+01   -1.0886645E+01
 0.3600    7.1625942E+00    1.1665013E+01   -1.1469204E+01
 0.3700    7.0678531E+00    1.2159083E+01   -1.2023153E+01
 0.3800    6.9694643E+00    1.2646678E+01   -1.2553255E+01
 0.3900    6.8676053E+00    1.3126363E+01   -1.3062793E+01
 0.4000    6.7624090E+00    1.3596630E+01   -1.3553804E+01
 0.4100    6.6539698E+00    1.4055892E+01   -1.4027328E+01
 0.4200    6.5423865E+00    1.4502559E+01   -1.4483697E+01
 0.4300    6.4278077E+00    1.4935152E+01   -1.4922821E+01
 0.4400    6.3104385E+00    1.5352346E+01   -1.5344365E+01
 0.4500    6.1905055E+00    1.5752918E+01   -1.5747803E+01
 0.4600    6.0682090E+00    1.6135635E+01   -1.6132390E+01
 0.4700    5.9437059E+00    1.6499200E+01   -1.6497162E+01
 0.4800    5.8171333E+00    1.6842298E+01   -1.6841031E+01
 0.4900    5.6886535E+00    1.7163723E+01   -1.7162943E+01
 0.5000    5.5584827E+00    1.7462488E+01   -1.7462013E+01
 0.5100    5.4268815E+00    1.7737833E+01   -1.7737546E+01
 0.5200    5.2941168E+00    1.7989126E+01   -1.7988955E+01
 0.5300    5.1604245E+00    1.8215749E+01   -1.8215647E+01
 0.5400    5.0260084E+00    1.8417072E+01   -1.8417013E+01
 0.5500    4.8910767E+00    1.8592583E+01   -1.8592548E+01
 0.5600    4.7558807E+00    1.8742041E+01   -1.8742021E+01
 0.5700    4.6207156E+00    1.8865521E+01   -1.8865510E+01
 0.5800    4.4858759E+00    1.8963265E+01   -1.8963259E+01
 0.5900    4.3516029E+00    1.9035450E+01   -1.9035446E+01
 0.6000    4.2180654E+00    1.9082078E+01   -1.9082076E+01
 0.6100    4.0853881E+00    1.9103056E+01   -1.9103055E+01
 0.6200    3.9536985E+00    1.9098391E+01   -1.9098391E+01
 0.6300    3.8231595E+00    1.9068362E+01   -1.9068361E+01
 0.6400    3.6939725E+00    1.9013561E+01   -1.9013561E+01
 0.6500    3.5663600E+00    1.8934845E+01   -1.8934845E+01
 0.6600    3.4405448E+00    1.8833236E+01   -1.8833236E+01
 0.6700    3.3167334E+00    1.8709838E+01   -1.8709838E+01
 0.6800    3.1951009E+00    1.8565740E+01   -1.8565740E+01
 0.6900    3.0757808E+00    1.8401932E+01   -1.8401932E+01
 0.7000    2.9588673E+00    1.8219289E+01   -1.8219289E+01
 0.7100    2.8444367E+00    1.8018674E+01   -1.8018674E+01
 0.7200    2.7325730E+00    1.7801091E+01   -1.7801091E+01
 0.7300    2.6233793E+00    1.7567771E+01   -1.7567771E+01
 0.7400    2.5169678E+00    1.7320122E+01   -1.7320122E+01
 0.7500    2.4134361E+00    1.7059574E+01   -1.7059574E+01
 0.7600    2.3128467E+00    1.6787418E+01   -1.6787418E+01
 0.7700    2.2152230E+00    1.6504743E+01   -1.6504743E+01
 0.7800    2.1205672E+00    1.6212541E+01   -1.6212541E+01
 0.7900    2.0288921E+00    1.5911935E+01   -1.5911935E+01
 0.8000    1.9402491E+00    1.5604410E+01   -1.5604410E+01
 0.8100    1.8547285E+00    1.5291857E+01   -1.5291857E+01
 0.8200    1.7724270E+00    1.4976349E+01   -1.4976349E+01
 0.8300    1.6933989E+00    1.4659708E+01   -1.4659708E+01
 0.8400    1.6176146E+00    1.4343116E+01   -1.4343116E+01
 0.8500    1.5449530E+00    1.4026942E+01   -1.4026942E+01
 0.8600    1.4752344E+00    1.3710958E+01   -1.3710958E+01
 0.8700    1.4082818E+00    1.3394852E+01   -1.3394852E+01
 0.8800    1.3439765E+00    1.3078769E+01   -1.3078769E+01
 0.8900    1.2822745E+00    1.2763533E+01   -1.2763533E+01
 0.9000    1.2231767E+00    1.2450422E+01   -1.2450422E+01
 0.9100    1.1666819E+00    1.2140738E+01   -1.2140738E+01
 0.9200    1.1127624E+00    1.1835537E+01   -1.1835537E+01
 0.9300    1.0613717E+00    1.1535682E+01   -1.1535682E+01
 0.9400    1.0124629E+00    1.1242029E+01   -1.1242029E+01
 0.9500    9.6598847E-01    1.0955420E+01   -1.0955420E+01
 0.9600    9.2188025E-01    1.0676449E+01   -1.0676449E+01
 0.9700    8.8003320E-01    1.0405247E+01   -1.0405247E+01
 0.9800    8.4030752E-01    1.0141455E+01   -1.0141455E+01
 0.9900    8.0253958E-01    9.8843181E+00   -9.8843181E+00
 1.0000    7.6654805E-01    9.6327268E+00   -9.6327268E+00
 1.0100    7.3214272E-01    9.3853043E+00   -9.3853043E+00
 1.0200    6.9915167E-01    9.1407452E+00   -9.1407452E+00
 1.0300    6.6745895E-01    8.8983375E+00   -8.8983375E+00
 1.0400    6.3702296E-01    8.6582800E+00   -8.6582800E+00
 1.0500    6.0785625E-01    8.4214979E+00   -8.4214979E+00
 1.0600    5.7997990E-01    8.1890691E+00   -8.1890691E+00
 1.0700    5.5338460E-01    7.9616758E+00   -7.9616758E+00
 1.0800    5.2802074E-01    7.7394190E+00   -7.7394190E+00
 1.0900    5.0381585E-01    7.5220236E+00   -7.5220236E+00
 1.1000    4.8069963E-01    7.3091862E+00   -7.3091862E+00
 1.1100    4.5861703E-01    7.1007791E+00   -7.1007791E+00
 1.1200    4.3752418E-01    6.8968053E+00   -6.8968053E+00
 1.1300    4.1737777E-01    6.6972432E+00   -6.6972432E+00
 1.1400    3.9813192E-01    6.5019939E+00   -6.5019939E+00
 1.1500    3.7974473E-01    6.3109872E+00   -6.3109872E+00
 1.1600    3.6218493E-01    6.1242967E+00   -6.1242967E+00
 1.1700    3.4542955E-01    5.9421152E+00   -5.9421152E+00
 1.1800    3.2945536E-01    5.7646169E+00   -5.7646169E+00
 1.1900    3.1423396E-01    5.5918679E+00   -5.5918679E+00
 1.2000    2.9973452E-01    5.4238680E+00   -5.4238680E+00
 1.2100    2.8592919E-01    5.2606462E+00   -5.2606462E+00
 1.2200    2.7279454E-01    5.1022908E+00   -5.1022908E+00
 1.2300    2.6030864E-01    4.9489000E+00   -4.9489000E+00
 1.2400    2.4844808E-01    4.8005267E+00   -4.8005267E+00
 1.2500    2.3718789E-01    4.6571734E+00   -4.6571734E+00
 1.2600    2.2650267E-01    4.5188120E+00   -4.5188120E+00
 1.2700    2.1636600E-01    4.3853709E+00   -4.3853709E+00
 1.2800    2.0674791E-01    4.2566792E+00   -4.2566792E+00
 1.2900    1.9761336E-01    4.1324307E+00   -4.1324307E+00
 1.3000    1.8892536E-01    4.0122393E+00   -4.0122393E+00
 1.3100    1.8065275E-01    3.8958034E+00   -3.8958034E+00
 1.3200    1.7277774E-01    3.7830799E+00   -3.7830799E+00
 1.3300    1.6529620E-01    3.6743119E+00   -3.6743119E+00
 1.3400    1.5820786E-01    3.5698298E+00   -3.5698298E+00
 1.3500    1.5150283E-01    3.4697497E+00   -3.4697497E+00
 1.3600    1.4515577E-01    3.3738206E+00   -3.3738206E+00
 1.3700    1.3913354E-01    3.2815787E+00   -3.2815787E+00
 1.3800    1.3341071E-01    3.1927046E+00   -3.1927046E+00
 1.3900    1.2797997E-01    3.1072877E+00   -3.1072877E+00
 1.4000    1.2284755E-01    3.0257458E+00   -3.0257458E+00
 1.4100    1.1801579E-01    2.9484124E+00   -2.9484124E+00
 1.4200    1.1346585E-01    2.8750918E+00   -2.8750918E+00
 1.4300    1.0915511E-01    2.8049558E+00   -2.8049558E+00
 1.4400    1.0503259E-01    2.7368999E+00   -2.7368999E+00
 1.4500    1.0106083E-01    2.6701074E+00   -2.6701074E+00
