# total charge: 17.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.0323889E+01    0.0000000E+00    1.3564038E+02
 0.0100    1.0320340E+01    1.2968922E-02    1.3495090E+02
 0.0200    1.0315845E+01    5.1853094E-02    1.3290266E+02
 0.0300    1.0310200E+01    1.1660562E-01    1.2955525E+02
 0.0400    1.0303175E+01    2.0715763E-01    1.2500469E+02
 0.0500    1.0294501E+01    3.2341129E-01    1.1937880E+02
 0.0600    1.0283864E+01    4.6523105E-01    1.1283113E+02
 0.0700    1.0270926E+01    6.3243449E-01    1.0553390E+02
 0.0800    1.0255377E+01    8.2478637E-01    9.7670342E+01
 0.0900    1.0236989E+01    1.0419985E+00    8.9426986E+01
 0.1000    1.0215628E+01    1.2837337E+00    8.0986313E+01
 0.1100    1.0191231E+01    1.5496081E+00    7.2520132E+01
 0.1200    1.0163756E+01    1.8391900E+00    6.4184069E+01
 0.1300    1.0133142E+01    2.1519923E+00    5.6113329E+01
 0.1400    1.0099298E+01    2.4874658E+00    4.8419873E+01
 0.1500    1.0062113E+01    2.8449955E+00    4.1190987E+01
 0.1600    1.0021489E+01    3.2239040E+00    3.4489180E+01
 0.1700    9.9773605E+00    3.6234592E+00    2.8353227E+01
 0.1800    9.9296899E+00    4.0428773E+00    2.2800177E+01
 0.1900    9.8784338E+00    4.4813118E+00    1.7828065E+01
 0.2000    9.8235031E+00    4.9378312E+00    1.3419097E+01
 0.2100    9.7647515E+00    5.4114001E+00    9.5430225E+00
 0.2200    9.7019999E+00    5.9008761E+00    6.1604855E+00
 0.2300    9.6350757E+00    6.4050226E+00    3.2261702E+00
 0.2400    9.5638419E+00    6.9225282E+00    6.9161209E-01
 0.2500    9.4882099E+00    7.4520226E+00   -1.4924005E+00
 0.2600    9.4081410E+00    7.9920902E+00   -3.3738807E+00
 0.2700    9.3236404E+00    8.5412790E+00   -4.9981611E+00
 0.2800    9.2347395E+00    9.0980973E+00   -6.4068438E+00
 0.2900    9.1414681E+00    9.6609940E+00   -7.6371329E+00
 0.3000    9.0438284E+00    1.0228329E+01   -8.7215005E+00
 0.3100    8.9417930E+00    1.0798362E+01   -9.6876431E+00
 0.3200    8.8353350E+00    1.1369277E+01   -1.0558687E+01
 0.3300    8.7244728E+00    1.1939247E+01   -1.1353574E+01
 0.3400    8.6092959E+00    1.2506487E+01   -1.2087532E+01
 0.3500    8.4899484E+00    1.3069260E+01   -1.2772548E+01
 0.3600    8.3665833E+00    1.3625831E+01   -1.3417785E+01
 0.3700    8.2393249E+00    1.4174408E+01   -1.4029983E+01
 0.3800    8.1082676E+00    1.4713132E+01   -1.4613870E+01
 0.3900    7.9735030E+00    1.5240115E+01   -1.5172572E+01
 0.4000    7.8351497E+00    1.5753503E+01   -1.5708001E+01
 0.4100    7.6933673E+00    1.6251522E+01   -1.6221173E+01
 0.4200    7.5483566E+00    1.6732501E+01   -1.6712460E+01
