# total charge: 18.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.3685222E+01    0.0000000E+00    1.4361922E+02
 0.0100    1.3676595E+01    1.7186516E-02    1.4288573E+02
 0.0200    1.3665684E+01    6.8691219E-02    1.4070668E+02
 0.0300    1.3652015E+01    1.5440065E-01    1.3714521E+02
 0.0400    1.3635069E+01    2.7414933E-01    1.3230310E+02
 0.0500    1.3614261E+01    4.2770461E-01    1.2631581E+02
 0.0600    1.3588923E+01    6.1474841E-01    1.1934611E+02
 0.0700    1.3558362E+01    8.3485909E-01    1.1157656E+02
 0.0800    1.3521978E+01    1.0875020E+00    1.0320146E+02
 0.0900    1.3479391E+01    1.3720348E+00    9.4418655E+01
 0.1000    1.3430474E+01    1.6877232E+00    8.5421738E+01
 0.1100    1.3375288E+01    2.0337539E+00    7.6393030E+01
 0.1200    1.3313955E+01    2.4092365E+00    6.7497743E+01
 0.1300    1.3246561E+01    2.8131941E+00    5.8879499E+01
 0.1400    1.3173125E+01    3.2445521E+00    5.0657336E+01
 0.1500    1.3093632E+01    3.7021371E+00    4.2924197E+01
 0.1600    1.3008093E+01    4.1846916E+00    3.5746809E+01
 0.1700    1.2916598E+01    4.6908964E+00    2.9166771E+01
 0.1800    1.2819299E+01    5.2193827E+00    2.3202674E+01
 0.1900    1.2716331E+01    5.7687123E+00    1.7852981E+01
 0.2000    1.2607727E+01    6.3373349E+00    1.3099413E+01
 0.2100    1.2493396E+01    6.9235522E+00    8.9105423E+00
 0.2200    1.2373183E+01    7.5255224E+00    5.2453310E+00
 0.2300    1.2246966E+01    8.1413056E+00    2.0564280E+00
 0.2400    1.2114725E+01    8.7689159E+00   -7.0688499E-01
 0.2500    1.1976527E+01    9.4063424E+00   -3.0961543E+00
 0.2600    1.1832477E+01    1.0051531E+01   -5.1616625E+00
 0.2700    1.1682665E+01    1.0702354E+01   -6.9508177E+00
 0.2800    1.1527157E+01    1.1356595E+01   -8.5070325E+00
 0.2900    1.1366016E+01    1.2011967E+01   -9.8690554E+00
 0.3000    1.1199332E+01    1.2666146E+01   -1.1070681E+01
 0.3100    1.1027248E+01    1.3316816E+01   -1.2140761E+01
 0.3200    1.0849988E+01    1.3961725E+01   -1.3103454E+01
 0.3300    1.0667874E+01    1.4598748E+01   -1.3978623E+01
 0.3400    1.0481296E+01    1.5225890E+01   -1.4782291E+01
 0.3500    1.0290629E+01    1.5841193E+01   -1.5527027E+01
 0.3600    1.0096139E+01    1.6442588E+01   -1.6222303E+01
 0.3700    9.8979541E+00    1.7027808E+01   -1.6874887E+01
 0.3800    9.6961504E+00    1.7594478E+01   -1.7489378E+01
 0.3900    9.4908669E+00    1.8140321E+01   -1.8068805E+01
 0.4000    9.2823764E+00    1.8663325E+01   -1.8615146E+01
 0.4100    9.0710486E+00    1.9161746E+01   -1.9129612E+01
 0.4200    8.8572479E+00    1.9633930E+01   -1.9612711E+01
 0.4300    8.6412542E+00    2.0078144E+01   -2.0064271E+01
 0.4400    8.4232777E+00    2.0492566E+01   -2.0483586E+01
 0.4500    8.2035548E+00    2.0875504E+01   -2.0869750E+01
 0.4600    7.9824411E+00    2.1225662E+01   -2.1222011E+01
 0.4700    7.7604179E+00    2.1542231E+01   -2.1539938E+01
 0.4800    7.5380045E+00    2.1824722E+01   -2.1823296E+01
 0.4900    7.3156474E+00    2.2072666E+01   -2.2071788E+01
 0.5000    7.0936788E+00    2.2285449E+01   -2.2284914E+01
 0.5100    6.8723748E+00    2.2462446E+01   -2.2462123E+01
 0.5200    6.6520600E+00    2.2603345E+01   -2.2603152E+01
 0.5300    6.4331603E+00    2.2708371E+01   -2.2708257E+01
 0.5400    6.2161411E+00    2.2778140E+01   -2.2778073E+01
 0.5500    6.0013677E+00    2.2813162E+01   -2.2813123E+01
 0.5600    5.7890010E+00    2.2813375E+01   -2.2813353E+01
 0.5700    5.5790335E+00    2.2778155E+01   -2.2778142E+01
 0.5800    5.3714616E+00    2.2706925E+01   -2.2706918E+01
 0.5900    5.1664771E+00    2.2599998E+01   -2.2599994E+01
 0.6000    4.9645355E+00    2.2459029E+01   -2.2459027E+01
 0.6100    4.7662482E+00    2.2286721E+01   -2.2286720E+01
 0.6200    4.5721795E+00    2.2085972E+01   -2.2085971E+01
 0.6300    4.3826849E+00    2.1859046E+01   -2.1859046E+01
 0.6400    4.1978879E+00    2.1607307E+01   -2.1607307E+01
 0.6500    4.0177882E+00    2.1331609E+01   -2.1331609E+01
 0.6600    3.8424103E+00    2.1033012E+01   -2.1033012E+01
 0.6700    3.6718905E+00    2.0713295E+01   -2.0713295E+01
 0.6800    3.5064634E+00    2.0374971E+01   -2.0374971E+01
 0.6900    3.3463783E+00    2.0020876E+01   -2.0020876E+01
 0.7000    3.1918050E+00    1.9653608E+01   -1.9653608E+01
 0.7100    3.0427801E+00    1.9275121E+01   -1.9275121E+01
 0.7200    2.8992189E+00    1.8886690E+01   -1.8886690E+01
 0.7300    2.7609853E+00    1.8489267E+01   -1.8489267E+01
 0.7400    2.6279722E+00    1.8083982E+01   -1.8083982E+01
 0.7500    2.5001350E+00    1.7672413E+01   -1.7672413E+01
 0.7600    2.3774637E+00    1.7256429E+01   -1.7256429E+01
 0.7700    2.2599324E+00    1.6837855E+01   -1.6837855E+01
 0.7800    2.1474852E+00    1.6418340E+01   -1.6418340E+01
 0.7900    2.0400680E+00    1.5999584E+01   -1.5999584E+01
 0.8000    1.9376681E+00    1.5583651E+01   -1.5583651E+01
 0.8100    1.8403100E+00    1.5172980E+01   -1.5172980E+01
 0.8200    1.7480013E+00    1.4769960E+01   -1.4769960E+01
 0.8300    1.6606664E+00    1.4376344E+01   -1.4376344E+01
 0.8400    1.5781177E+00    1.3992903E+01   -1.3992903E+01
 0.8500    1.5000772E+00    1.3619505E+01   -1.3619505E+01
 0.8600    1.4262322E+00    1.3255527E+01   -1.3255527E+01
 0.8700    1.3562938E+00    1.2900370E+01   -1.2900370E+01
 0.8800    1.2900340E+00    1.2553834E+01   -1.2553834E+01
 0.8900    1.2272874E+00    1.2216201E+01   -1.2216201E+01
 0.9000    1.1679230E+00    1.1888008E+01   -1.1888008E+01
 0.9100    1.1118071E+00    1.1569700E+01   -1.1569700E+01
 0.9200    1.0587836E+00    1.1261409E+01   -1.1261409E+01
 0.9300    1.0086794E+00    1.0962987E+01   -1.0962987E+01
 0.9400    9.6132401E-01    1.0674201E+01   -1.0674201E+01
