# total charge: 19.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.6206750E+01    0.0000000E+00    1.5159807E+02
 0.0100    1.6194812E+01    2.0351001E-02    1.5082162E+02
 0.0200    1.6179718E+01    8.1328135E-02    1.4851490E+02
 0.0300    1.6160821E+01    1.8277457E-01    1.4474460E+02
 0.0400    1.6137414E+01    3.2446197E-01    1.3961819E+02
 0.0500    1.6108710E+01    5.0607005E-01    1.3327875E+02
 0.0600    1.6073814E+01    7.2716223E-01    1.2589819E+02
 0.0700    1.6031800E+01    9.8716154E-01    1.1766933E+02
 0.0800    1.5981871E+01    1.2853383E+00    1.0879745E+02
 0.0900    1.5923531E+01    1.6208180E+00    9.9491577E+01
 0.1000    1.5856639E+01    1.9926040E+00    8.9956271E+01
 0.1100    1.5781320E+01    2.3995983E+00    8.0384229E+01
 0.1200    1.5697813E+01    2.8406093E+00    7.0950092E+01
 0.1300    1.5606347E+01    3.3143458E+00    6.1805719E+01
 0.1400    1.5507077E+01    3.8194064E+00    5.3077031E+01
 0.1500    1.5400095E+01    4.3542742E+00    4.4862412E+01
 0.1600    1.5285478E+01    4.9173242E+00    3.7232593E+01
 0.1700    1.5163337E+01    5.5068403E+00    3.0231809E+01
 0.1800    1.5033823E+01    6.1210272E+00    2.3880033E+01
 0.1900    1.4897084E+01    6.7580024E+00    1.8176007E+01
 0.2000    1.4753208E+01    7.4157713E+00    1.3100796E+01
 0.2100    1.4602203E+01    8.0922042E+00    8.6215623E+00
 0.2200    1.4444023E+01    8.7850331E+00    4.6953122E+00
 0.2300    1.4278608E+01    9.4918616E+00    1.2724128E+00
 0.2400    1.4105916E+01    1.0210186E+01   -1.7002641E+00
 0.2500    1.3925978E+01    1.0937437E+01   -4.2766830E+00
 0.2600    1.3738958E+01    1.1671062E+01   -6.5095335E+00
 0.2700    1.3545195E+01    1.2408596E+01   -8.4486408E+00
 0.2800    1.3345134E+01    1.3147672E+01   -1.0139800E+01
 0.2900    1.3139185E+01    1.3885908E+01   -1.1623945E+01
 0.3000    1.2927572E+01    1.4620740E+01   -1.2936637E+01
 0.3100    1.2710311E+01    1.5349330E+01   -1.4107939E+01
 0.3200    1.2487340E+01    1.6068664E+01   -1.5162710E+01
 0.3300    1.2258742E+01    1.6775816E+01   -1.6121240E+01
 0.3400    1.2024888E+01    1.7468224E+01   -1.6999980E+01
 0.3500    1.1786401E+01    1.8143754E+01   -1.7812135E+01
 0.3600    1.1543951E+01    1.8800497E+01   -1.8567974E+01
 0.3700    1.1298039E+01    1.9436424E+01   -1.9275008E+01
 0.3800    1.1048900E+01    2.0049156E+01   -1.9938216E+01
 0.3900    1.0796577E+01    2.0635983E+01   -2.0560494E+01
 0.4000    1.0541098E+01    2.1194135E+01   -2.1143279E+01
 0.4100    1.0282657E+01    2.1721156E+01   -2.1687236E+01
 0.4200    1.0021733E+01    2.2215254E+01   -2.2192856E+01
 0.4300    9.7590664E+00    2.2675405E+01   -2.2660761E+01
 0.4400    9.4954719E+00    2.3101053E+01   -2.3091575E+01
 0.4500    9.2315669E+00    2.3491476E+01   -2.3485402E+01
 0.4600    8.9675850E+00    2.3845203E+01   -2.3841350E+01
 0.4700    8.7034441E+00    2.4159988E+01   -2.4157568E+01
 0.4800    8.4390457E+00    2.4433500E+01   -2.4431995E+01
 0.4900    8.1745859E+00    2.4664243E+01   -2.4663316E+01
 0.5000    7.9106236E+00    2.4851957E+01   -2.4851392E+01
 0.5100    7.6478732E+00    2.4997173E+01   -2.4996832E+01
 0.5200    7.3869300E+00    2.5100394E+01   -2.5100190E+01
 0.5300    7.1281742E+00    2.5161696E+01   -2.5161575E+01
 0.5400    6.8718873E+00    2.5181026E+01   -2.5180955E+01
 0.5500    6.6184202E+00    2.5158780E+01   -2.5158739E+01
 0.5600    6.3682478E+00    2.5096079E+01   -2.5096055E+01
 0.5700    6.1218950E+00    2.4994557E+01   -2.4994544E+01
 0.5800    5.8798256E+00    2.4855946E+01   -2.4855938E+01
 0.5900    5.6423788E+00    2.4681760E+01   -2.4681756E+01
 0.6000    5.4097684E+00    2.4473216E+01   -2.4473213E+01
 0.6100    5.1821157E+00    2.4231296E+01   -2.4231295E+01
 0.6200    4.9594851E+00    2.3956856E+01   -2.3956856E+01
 0.6300    4.7419144E+00    2.3650737E+01   -2.3650736E+01
 0.6400    4.5294504E+00    2.3313921E+01   -2.3313921E+01
 0.6500    4.3221941E+00    2.2947789E+01   -2.2947789E+01
 0.6600    4.1203530E+00    2.2554446E+01   -2.2554446E+01
 0.6700    3.9242883E+00    2.2137082E+01   -2.2137082E+01
 0.6800    3.7345353E+00    2.1700226E+01   -2.1700226E+01
 0.6900    3.5517370E+00    2.1249506E+01   -2.1249506E+01
 0.7000    3.3764456E+00    2.0790536E+01   -2.0790536E+01
 0.7100    3.2088681E+00    2.0327240E+01   -2.0327240E+01
 0.7200    3.0487631E+00    1.9860882E+01   -1.9860882E+01
 0.7300    2.8956092E+00    1.9390791E+01   -1.9390791E+01
 0.7400    2.7489016E+00    1.8916139E+01   -1.8916139E+01
 0.7500    2.6083007E+00    1.8436991E+01   -1.8436991E+01
 0.7600    2.4735340E+00    1.7953740E+01   -1.7953740E+01
 0.7700    2.3442415E+00    1.7466008E+01   -1.7466008E+01
 0.7800    2.2200056E+00    1.6972786E+01   -1.6972786E+01
 0.7900    2.1006016E+00    1.6474329E+01   -1.6474329E+01
 0.8000    1.9862616E+00    1.5974464E+01   -1.5974464E+01
 0.8100    1.8777010E+00    1.5481261E+01   -1.5481261E+01
 0.8200    1.7758217E+00    1.5005032E+01   -1.5005032E+01
 0.8300    1.6812246E+00    1.4554315E+01   -1.4554315E+01
 0.8400    1.5937873E+00    1.4131843E+01   -1.4131843E+01
 0.8500    1.5125494E+00    1.3732743E+01   -1.3732743E+01
 0.8600    1.4360112E+00    1.3346414E+01   -1.3346414E+01
 0.8700    1.3627310E+00    1.2961596E+01   -1.2961596E+01
 0.8800    1.2918865E+00    1.2571861E+01   -1.2571861E+01
 0.8900    1.2234473E+00    1.2177977E+01   -1.2177977E+01
 0.9000    1.1578833E+00    1.1785817E+01   -1.1785817E+01
 0.9100    1.0956935E+00    1.1402018E+01   -1.1402018E+01
 0.9200    1.0371355E+00    1.1031156E+01   -1.1031156E+01
 0.9300    9.8228997E-01    1.0676170E+01   -1.0676170E+01
 0.9400    9.3125427E-01    1.0340317E+01   -1.0340317E+01
 0.9500    8.8418702E-01    1.0027697E+01   -1.0027697E+01
 0.9600    8.4115074E-01    9.7415073E+00   -9.7415073E+00
 0.9700    8.0194203E-01    9.4819205E+00   -9.4819205E+00
 0.9800    7.6605898E-01    9.2453684E+00   -9.2453684E+00
 0.9900    7.3275520E-01    9.0248327E+00   -9.0248327E+00
 1.0000    7.0109728E-01    8.8102482E+00   -8.8102482E+00
 1.0100    6.7009824E-01    8.5899590E+00   -8.5899590E+00
 1.0200    6.3902494E-01    8.3546452E+00   -8.3546452E+00
 1.0300    6.0775153E-01    8.1023384E+00   -8.1023384E+00
 1.0400    5.7685629E-01    7.8405076E+00   -7.8405076E+00
 1.0500    5.4731106E-01    7.5826792E+00   -7.5826792E+00
 1.0600    5.1995132E-01    7.3414912E+00   -7.3414912E+00
 1.0700    4.9508698E-01    7.1229340E+00   -7.1229340E+00
 1.0800    4.7247696E-01    6.9252907E+00   -6.9252907E+00
 1.0900    4.5160518E-01    6.7425127E+00   -6.7425127E+00
 1.1000    4.3200348E-01    6.5687462E+00   -6.5687462E+00
 1.1100    4.1339404E-01    6.4005904E+00   -6.4005904E+00
 1.1200    3.9561789E-01    6.2362259E+00   -6.2362259E+00
 1.1300    3.7850405E-01    6.0734754E+00   -6.0734754E+00
 1.1400    3.6184911E-01    5.9094501E+00   -5.9094501E+00
 1.1500    3.4551765E-01    5.7421665E+00   -5.7421665E+00
 1.1600    3.2952383E-01    5.5720200E+00   -5.5720200E+00
 1.1700    3.1398475E-01    5.4011985E+00   -5.4011985E+00
 1.1800    2.9899545E-01    5.2316474E+00   -5.2316474E+00
 1.1900    2.8456005E-01    5.0638136E+00   -5.0638136E+00
 1.2000    2.7063291E-01    4.8972577E+00   -4.8972577E+00
 1.2100    2.5719906E-01    4.7320572E+00   -4.7320572E+00
 1.2200    2.4430337E-01    4.5693980E+00   -4.5693980E+00
 1.2300    2.3201807E-01    4.4110492E+00   -4.4110492E+00
 1.2400    2.2040242E-01    4.2586269E+00   -4.2586269E+00
 1.2500    2.0949261E-01    4.1133777E+00   -4.1133777E+00
 1.2600    1.9930823E-01    3.9762730E+00   -3.9762730E+00
