# total charge: 20.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.6422188E+01    0.0000000E+00    1.5957691E+02
 0.0100    1.6411710E+01    2.0623563E-02    1.5876040E+02
 0.0200    1.6398462E+01    8.2427659E-02    1.5633465E+02
 0.0300    1.6381870E+01    1.8527458E-01    1.5236985E+02
 0.0400    1.6361312E+01    3.2896369E-01    1.4697909E+02
 0.0500    1.6336086E+01    5.1321329E-01    1.4031292E+02
 0.0600    1.6305399E+01    7.3763885E-01    1.3255220E+02
 0.0700    1.6268420E+01    1.0017315E+00    1.2389984E+02
 0.0800    1.6224436E+01    1.3048466E+00    1.1457177E+02
 0.0900    1.6172997E+01    1.6462105E+00    1.0478789E+02
 0.1000    1.6113960E+01    2.0249400E+00    9.4763350E+01
 0.1100    1.6047414E+01    2.4400588E+00    8.4700812E+01
 0.1200    1.5973536E+01    2.8905029E+00    7.4783919E+01
 0.1300    1.5892480E+01    3.3751124E+00    6.5172324E+01
 0.1400    1.5804330E+01    3.8926201E+00    5.5998366E+01
 0.1500    1.5709115E+01    4.4416476E+00    4.7365391E+01
 0.1600    1.5606857E+01    5.0207116E+00    3.9347622E+01
 0.1700    1.5497612E+01    5.6282383E+00    3.1991393E+01
 0.1800    1.5381473E+01    6.2625729E+00    2.5317490E+01
 0.1900    1.5258527E+01    6.9219694E+00    1.9324357E+01
 0.2000    1.5128805E+01    7.6045668E+00    1.3991820E+01
 0.2100    1.4992266E+01    8.3083681E+00    9.2850703E+00
 0.2200    1.4848830E+01    9.0312413E+00    5.1585958E+00
 0.2300    1.4698430E+01    9.7709430E+00    1.5598720E+00
 0.2400    1.4541054E+01    1.0525149E+01   -1.5673367E+00
 0.2500    1.4376758E+01    1.1291479E+01   -4.2801592E+00
 0.2600    1.4205660E+01    1.2067519E+01   -6.6343308E+00
 0.2700    1.4027921E+01    1.2850816E+01   -8.6824423E+00
 0.2800    1.3843710E+01    1.3638871E+01   -1.0472690E+01
 0.2900    1.3653163E+01    1.4429096E+01   -1.2048083E+01
 0.3000    1.3456372E+01    1.5218798E+01   -1.3446059E+01
 0.3100    1.3253413E+01    1.6005195E+01   -1.4698468E+01
 0.3200    1.3044399E+01    1.6785485E+01   -1.5831850E+01
 0.3300    1.2829527E+01    1.7556923E+01   -1.6867895E+01
 0.3400    1.2609092E+01    1.8316881E+01   -1.7823993E+01
 0.3500    1.2383459E+01    1.9062855E+01   -1.8713781E+01
 0.3600    1.2153012E+01    1.9792415E+01   -1.9547654E+01
