# total charge: 21.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    1.5201414E+01    0.0000000E+00    1.6755576E+02
 0.0100    1.5199767E+01    1.9100591E-02    1.6670097E+02
 0.0200    1.5197765E+01    7.6392298E-02    1.6416154E+02
 0.0300    1.5195420E+01    1.7185615E-01    1.6001103E+02
 0.0400    1.5192805E+01    3.0546946E-01    1.5436799E+02
 0.0500    1.5190011E+01    4.7720827E-01    1.4739023E+02
 0.0600    1.5187017E+01    6.8704445E-01    1.3926729E+02
 0.0700    1.5183426E+01    9.3492271E-01    1.3021173E+02
 0.0800    1.5178174E+01    1.2207012E+00    1.2044975E+02
 0.0900    1.5169451E+01    1.5440621E+00    1.1021174E+02
 0.1000    1.5155243E+01    1.9044640E+00    9.9723240E+01
 0.1100    1.5134796E+01    2.3012924E+00    8.9196622E+01
 0.1200    1.5110675E+01    2.7343632E+00    7.8823780E+01
 0.1300    1.5090034E+01    3.2046956E+00    6.8770113E+01
 0.1400    1.5083021E+01    3.7149611E+00    5.9170574E+01
 0.1500    1.5097162E+01    4.2686221E+00    5.0128768E+01
 0.1600    1.5129724E+01    4.8672184E+00    4.1719532E+01
 0.1700    1.5163558E+01    5.5069209E+00    3.3993692E+01
 0.1800    1.5171881E+01    6.1772376E+00    2.6981829E+01
 0.1900    1.5131539E+01    6.8643620E+00    2.0694280E+01
 0.2000    1.5036390E+01    7.5581140E+00    1.5118092E+01
 0.2100    1.4900331E+01    8.2574200E+00    1.0215690E+01
 0.2200    1.4746881E+01    8.9692348E+00    5.9300942E+00
 0.2300    1.4593254E+01    9.7010260E+00    2.1963299E+00
 0.2400    1.4441698E+01    1.0453232E+01   -1.0475294E+00
 0.2500    1.4284749E+01    1.1219216E+01   -3.8573298E+00
 0.2600    1.4119034E+01    1.1993931E+01   -6.2890838E+00
 0.2700    1.3954877E+01    1.2783901E+01   -8.4071086E+00
 0.2800    1.3813357E+01    1.3608967E+01   -1.0284478E+01
 0.2900    1.3714200E+01    1.4493602E+01   -1.1993538E+01
 0.3000    1.3664711E+01    1.5454424E+01   -1.3593048E+01
 0.3100    1.3655313E+01    1.6490541E+01   -1.5118477E+01
 0.3200    1.3659429E+01    1.7576904E+01   -1.6575587E+01
 0.3300    1.3636105E+01    1.8660707E+01   -1.7937228E+01
 0.3400    1.3539981E+01    1.9669157E+01   -1.9151625E+01
 0.3500    1.3341041E+01    2.0536937E+01   -2.0170411E+01
 0.3600    1.3043515E+01    2.1242690E+01   -2.0985691E+01
 0.3700    1.2685998E+01    2.1824181E+01   -2.1645774E+01
 0.3800    1.2317222E+01    2.2350633E+01   -2.2228015E+01
 0.3900    1.1964160E+01    2.2867637E+01   -2.2784201E+01
 0.4000    1.1618327E+01    2.3360032E+01   -2.3303823E+01
 0.4100    1.1251863E+01    2.3768514E+01   -2.3731024E+01
