# total charge: 22.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.3747758E+01    0.0000000E+00    1.7553460E+02
 0.0100    2.3725137E+01    2.9813887E-02    1.7462931E+02
 0.0200    2.3696549E+01    1.1911185E-01    1.7193967E+02
 0.0300    2.3660780E+01    2.6759711E-01    1.6754304E+02
 0.0400    2.3616525E+01    4.7483841E-01    1.6156402E+02
 0.0500    2.3562339E+01    7.4023272E-01    1.5416851E+02
 0.0600    2.3496604E+01    1.0629613E+00    1.4555586E+02
 0.0700    2.3417660E+01    1.4419475E+00    1.3594978E+02
 0.0800    2.3324123E+01    1.8758373E+00    1.2558845E+02
 0.0900    2.3215199E+01    2.3630195E+00    1.1471449E+02
 0.1000    2.3090785E+01    2.9016736E+00    1.0356545E+02
 0.1100    2.2951289E+01    3.4898143E+00    9.2365144E+01
 0.1200    2.2797341E+01    4.1253097E+00    8.1316554E+01
 0.1300    2.2629541E+01    4.8058732E+00    7.0596307E+01
 0.1400    2.2448350E+01    5.5290479E+00    6.0351037E+01
 0.1500    2.2254114E+01    6.2922026E+00    5.0695539E+01
 0.1600    2.2047152E+01    7.0925485E+00    4.1712619E+01
 0.1700    2.1827828E+01    7.9271711E+00    3.3454423E+01
 0.1800    2.1596571E+01    8.7930527E+00    2.5945017E+01
 0.1900    2.1353801E+01    9.6870658E+00    1.9183893E+01
 0.2000    2.1099847E+01    1.0605940E+01    1.3150085E+01
 0.2100    2.0834925E+01    1.1546235E+01    7.8065472E+00
 0.2200    2.0559181E+01    1.2504348E+01    3.1044733E+00
 0.2300    2.0272774E+01    1.3476550E+01   -1.0126533E+00
 0.2400    1.9975932E+01    1.4459038E+01   -4.6054449E+00
 0.2500    1.9668981E+01    1.5447982E+01   -7.7355296E+00
 0.2600    1.9352366E+01    1.6439577E+01   -1.0463070E+01
 0.2700    1.9026643E+01    1.7430087E+01   -1.2844876E+01
 0.2800    1.8692412E+01    1.8415829E+01   -1.4933030E+01
 0.2900    1.8350205E+01    1.9393080E+01   -1.6773965E+01
 0.3000    1.8000393E+01    2.0357965E+01   -1.8407951E+01
 0.3100    1.7643214E+01    2.1306444E+01   -1.9869043E+01
 0.3200    1.7278938E+01    2.2234475E+01   -2.1185476E+01
 0.3300    1.6908065E+01    2.3138311E+01   -2.2380380E+01
 0.3400    1.6531423E+01    2.4014742E+01   -2.3472566E+01
 0.3500    1.6150067E+01    2.4861096E+01   -2.4477116E+01
 0.3600    1.5765022E+01    2.5674941E+01   -2.5405704E+01
 0.3700    1.5377017E+01    2.6453638E+01   -2.6266734E+01
 0.3800    1.4986358E+01    2.7194004E+01   -2.7065547E+01
 0.3900    1.4593030E+01    2.7892315E+01   -2.7804906E+01
 0.4000    1.4196967E+01    2.8544696E+01   -2.8485810E+01
