# total charge: 23.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.2338137E+01    0.0000000E+00    1.8351345E+02
 0.0100    2.2320810E+01    2.8049157E-02    1.8257012E+02
 0.0200    2.2298907E+01    1.1208653E-01    1.7976755E+02
 0.0300    2.2271489E+01    2.5188461E-01    1.7518651E+02
 0.0400    2.2237545E+01    4.4711237E-01    1.6895715E+02
 0.0500    2.2195942E+01    6.9730608E-01    1.6125274E+02
 0.0600    2.2145407E+01    1.0018346E+00    1.5228148E+02
 0.0700    2.2084625E+01    1.3598656E+00    1.4227694E+02
 0.0800    2.2012486E+01    1.7703491E+00    1.3148777E+02
 0.0900    2.1928324E+01    2.2320315E+00    1.2016718E+02
 0.1000    2.1831996E+01    2.7434895E+00    1.0856304E+02
 0.1100    2.1723741E+01    3.3031618E+00    9.6908840E+01
 0.1200    2.1603946E+01    3.9093579E+00    8.5416227E+01
 0.1300    2.1472956E+01    4.5602473E+00    7.4269305E+01
 0.1400    2.1331000E+01    5.2538437E+00    6.3620791E+01
 0.1500    2.1178224E+01    5.9880018E+00    5.3590092E+01
 0.1600    2.1014779E+01    6.7604353E+00    4.4263149E+01
 0.1700    2.0840889E+01    7.5687463E+00    3.5693829E+01
 0.1800    2.0656847E+01    8.4104437E+00    2.7906629E+01
 0.1900    2.0462934E+01    9.2829280E+00    2.0900347E+01
 0.2000    2.0259325E+01    1.0183447E+01    1.4652397E+01
 0.2100    2.0046055E+01    1.1109061E+01    9.1233928E+00
 0.2200    1.9823088E+01    1.2056647E+01    4.2616658E+00
 0.2300    1.9590425E+01    1.3022950E+01    7.4869038E-03
 0.2400    1.9348171E+01    1.4004650E+01   -3.7031659E+00
 0.2500    1.9096541E+01    1.4998388E+01   -6.9353698E+00
 0.2600    1.8835808E+01    1.6000768E+01   -9.7526018E+00
 0.2700    1.8566251E+01    1.7008328E+01   -1.2214698E+01
 0.2800    1.8288131E+01    1.8017530E+01   -1.4376422E+01
 0.2900    1.8001700E+01    1.9024768E+01   -1.6286604E+01
 0.3000    1.7707222E+01    2.0026396E+01   -1.7987746E+01
 0.3100    1.7405001E+01    2.1018771E+01   -1.9516034E+01
 0.3200    1.7095415E+01    2.1998317E+01   -2.0901637E+01
 0.3300    1.6778926E+01    2.2961587E+01   -2.2169205E+01
 0.3400    1.6456063E+01    2.3905269E+01   -2.3338449E+01
 0.3500    1.6127349E+01    2.4826125E+01   -2.4424691E+01
 0.3600    1.5793225E+01    2.5720873E+01   -2.5439398E+01
 0.3700    1.5454036E+01    2.6586136E+01   -2.6390737E+01
 0.3800    1.5110084E+01    2.7418516E+01   -2.7284220E+01
 0.3900    1.4761729E+01    2.8214756E+01   -2.8123375E+01
 0.4000    1.4409431E+01    2.8971880E+01   -2.8910318E+01
 0.4100    1.4053727E+01    2.9687191E+01   -2.9646130E+01
 0.4200    1.3695159E+01    3.0358164E+01   -3.0331051E+01
 0.4300    1.3334206E+01    3.0982320E+01   -3.0964593E+01
 0.4400    1.2971298E+01    3.1557215E+01   -3.1545741E+01
 0.4500    1.2606871E+01    3.2080580E+01   -3.2073227E+01
 0.4600    1.2241427E+01    3.2550492E+01   -3.2545827E+01
 0.4700    1.1875543E+01    3.2965454E+01   -3.2962524E+01
 0.4800    1.1509831E+01    3.3324321E+01   -3.3322498E+01
 0.4900    1.1144875E+01    3.3626157E+01   -3.3625035E+01
 0.5000    1.0781200E+01    3.3870140E+01   -3.3869456E+01
 0.5100    1.0419290E+01    3.4055586E+01   -3.4055173E+01
 0.5200    1.0059629E+01    3.4182084E+01   -3.4181837E+01
 0.5300    9.7027274E+00    3.4249594E+01   -3.4249449E+01
 0.5400    9.3490988E+00    3.4258405E+01   -3.4258319E+01
 0.5500    8.9992011E+00    3.4208907E+01   -3.4208858E+01
 0.5600    8.6533867E+00    3.4101386E+01   -3.4101357E+01
 0.5700    8.3119241E+00    3.3936039E+01   -3.3936022E+01
 0.5800    7.9750923E+00    3.3713324E+01   -3.3713314E+01
 0.5900    7.6432816E+00    3.3434417E+01   -3.3434412E+01
 0.6000    7.3170234E+00    3.3101434E+01   -3.3101431E+01
 0.6100    6.9969185E+00    3.2717217E+01   -3.2717215E+01
 0.6200    6.6835151E+00    3.2284806E+01   -3.2284805E+01
 0.6300    6.3772165E+00    3.1806957E+01   -3.1806957E+01
 0.6400    6.0782708E+00    3.1285987E+01   -3.1285986E+01
 0.6500    5.7868304E+00    3.0723970E+01   -3.0723970E+01
 0.6600    5.5030307E+00    3.0123100E+01   -3.0123100E+01
 0.6700    5.2270437E+00    2.9485982E+01   -2.9485982E+01
 0.6800    4.9590933E+00    2.8815753E+01   -2.8815753E+01
 0.6900    4.6994376E+00    2.8116026E+01   -2.8116026E+01
 0.7000    4.4483205E+00    2.7390629E+01   -2.7390629E+01
