# total charge: 5.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    3.6546236E+00    0.0000000E+00    3.9894228E+01
 0.0100    3.6550007E+00    4.5930094E-03    3.9690662E+01
 0.0200    3.6554632E+00    1.8374362E-02    3.9085895E+01
 0.0300    3.6560113E+00    4.1348514E-02    3.8097433E+01
 0.0400    3.6566301E+00    7.3520911E-02    3.6753493E+01
 0.0500    3.6572839E+00    1.1489696E-01    3.5091636E+01
 0.0600    3.6579146E+00    1.6548016E-01    3.3156980E+01
 0.0700    3.6584425E+00    2.2526938E-01    3.1000124E+01
 0.0800    3.6587662E+00    2.9425544E-01    2.8674900E+01
 0.0900    3.6587620E+00    3.7241661E-01    2.6236108E+01
 0.1000    3.6582840E+00    4.5971352E-01    2.3737359E+01
 0.1100    3.6571672E+00    5.5608356E-01    2.1229134E+01
 0.1200    3.6552331E+00    6.6143540E-01    1.8757170E+01
 0.1300    3.6522939E+00    7.7564373E-01    1.6361215E+01
 0.1400    3.6481580E+00    8.9854448E-01    1.4074202E+01
 0.1500    3.6426364E+00    1.0299312E+00    1.1921828E+01
 0.1600    3.6355507E+00    1.1695533E+00    9.9225301E+00
 0.1700    3.6267391E+00    1.3171160E+00    8.0877917E+00
 0.1800    3.6160553E+00    1.4722784E+00    6.4227374E+00
 0.1900    3.6033583E+00    1.6346490E+00    4.9269325E+00
 0.2000    3.5885013E+00    1.8037775E+00    3.5953192E+00
 0.2100    3.5713295E+00    1.9791485E+00    2.4192111E+00
 0.2200    3.5516887E+00    2.1601809E+00    1.3872784E+00
 0.2300    3.5294401E+00    2.3462342E+00    4.8646960E-01
 0.2400    3.5044729E+00    2.5366179E+00   -2.9716486E-01
 0.2500    3.4767089E+00    2.7306008E+00   -9.7777076E-01
 0.2600    3.4461020E+00    2.9274176E+00   -1.5691207E+00
 0.2700    3.4126313E+00    3.1262720E+00   -2.0841785E+00
 0.2800    3.3762938E+00    3.3263363E+00   -2.5347912E+00
 0.2900    3.3370977E+00    3.5267509E+00   -2.9314977E+00
 0.3000    3.2950616E+00    3.7266268E+00   -3.2834420E+00
 0.3100    3.2502195E+00    3.9250568E+00   -3.5983749E+00
 0.3200    3.2026288E+00    4.1211310E+00   -3.8827222E+00
 0.3300    3.1523729E+00    4.3139522E+00   -4.1416954E+00
 0.3400    3.0995601E+00    4.5026456E+00   -4.3794237E+00
 0.3500    3.0443177E+00    4.6863629E+00   -4.5990947E+00
 0.3600    2.9867879E+00    4.8642877E+00   -4.8030975E+00
