# total charge: 24.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.4169358E+01    0.0000000E+00    1.9149229E+02
 0.0100    2.4149657E+01    3.0347354E-02    1.9050688E+02
 0.0200    2.4124754E+01    1.2126424E-01    1.8757923E+02
 0.0300    2.4093587E+01    2.7249205E-01    1.8279366E+02
 0.0400    2.4055009E+01    4.8365465E-01    1.7628601E+02
 0.0500    2.4007743E+01    7.5422550E-01    1.6823713E+02
 0.0600    2.3950355E+01    1.0834885E+00    1.5886432E+02
 0.0700    2.3881364E+01    1.4705002E+00    1.4841139E+02
 0.0800    2.3799526E+01    1.9140714E+00    1.3713787E+02
 0.0900    2.3704105E+01    2.4127840E+00    1.2530814E+02
 0.1000    2.3594960E+01    2.9650301E+00    1.1318092E+02
 0.1100    2.3472393E+01    3.5690498E+00    1.0100000E+02
 0.1200    2.3336885E+01    4.2229433E+00    8.8986363E+01
 0.1300    2.3188884E+01    4.9246619E+00    7.7332262E+01
 0.1400    2.3028713E+01    5.6719920E+00    6.6197192E+01
 0.1500    2.2856592E+01    6.4625490E+00    5.5705897E+01
 0.1600    2.2672709E+01    7.2937897E+00    4.5948211E+01
 0.1700    2.2477292E+01    8.1630358E+00    3.6980521E+01
 0.1800    2.2270619E+01    9.0674914E+00    2.8828585E+01
 0.1900    2.2052965E+01    1.0004239E+01    2.1491352E+01
 0.2000    2.1824549E+01    1.0970215E+01    1.4945449E+01
 0.2100    2.1585500E+01    1.1962186E+01    9.1499397E+00
 0.2200    2.1335899E+01    1.2976757E+01    4.0510473E+00
 0.2300    2.1075844E+01    1.4010399E+01   -4.1342085E-01
 0.2400    2.0805498E+01    1.5059497E+01   -4.3101222E+00
 0.2500    2.0525113E+01    1.6120386E+01   -7.7068021E+00
 0.2600    2.0235012E+01    1.7189373E+01   -1.0669548E+01
 0.2700    1.9935559E+01    1.8262735E+01   -1.3260686E+01
 0.2800    1.9627127E+01    1.9336713E+01   -1.5537296E+01
 0.2900    1.9310077E+01    2.0407503E+01   -1.7550287E+01
 0.3000    1.8984755E+01    2.1471252E+01   -1.9343965E+01
 0.3100    1.8651509E+01    2.2524088E+01   -2.0956015E+01
