# total charge: 25.000000 
# r(A)     rho (e/A^3)     4*pi*r^2*rho(e/A)  dip  
 0.0000    2.5598523E+01    0.0000000E+00    1.9947114E+02
 0.0100    2.5572270E+01    3.2135063E-02    1.9844414E+02
 0.0200    2.5539102E+01    1.2837353E-01    1.9539297E+02
 0.0300    2.5497627E+01    2.8837136E-01    1.9040554E+02
 0.0400    2.5446360E+01    5.1162942E-01    1.8362344E+02
 0.0500    2.5383672E+01    7.9745156E-01    1.7523521E+02
 0.0600    2.5307754E+01    1.1448958E+00    1.6546741E+02
 0.0700    2.5216774E+01    1.5527283E+00    1.5457424E+02
 0.0800    2.5109234E+01    2.0194044E+00    1.4282637E+02
 0.0900    2.4984340E+01    2.5430961E+00    1.3049953E+02
 0.1000    2.4842106E+01    3.1217511E+00    1.1786361E+02
 0.1100    2.4683143E+01    3.7531481E+00    1.0517294E+02
 0.1200    2.4508311E+01    4.4349195E+00    9.2658108E+01
 0.1300    2.4318429E+01    5.1645453E+00    8.0519751E+01
 0.1400    2.4114162E+01    5.9393390E+00    6.8924394E+01
 0.1500    2.3896046E+01    6.7564479E+00    5.8002350E+01
 0.1600    2.3664589E+01    7.6128766E+00    4.7847541E+01
 0.1700    2.3420348E+01    8.5055234E+00    3.8519015E+01
 0.1800    2.3163939E+01    9.4312071E+00    3.0043872E+01
 0.1900    2.2895967E+01    1.0386664E+01    2.2421244E+01
 0.2000    2.2616945E+01    1.1368516E+01    1.5626967E+01
 0.2100    2.2327260E+01    1.2373253E+01    9.6185451E+00
 0.2200    2.2027239E+01    1.3397239E+01    4.3400578E+00
 0.2300    2.1717246E+01    1.4436778E+01   -2.7325936E-01
 0.2400    2.1397750E+01    1.5488183E+01   -4.2909175E+00
 0.2500    2.1069309E+01    1.6547796E+01   -7.7836461E+00
 0.2600    2.0732482E+01    1.7611967E+01   -1.0820482E+01
 0.2700    2.0387760E+01    1.8676991E+01   -1.3466524E+01
 0.2800    2.0035551E+01    1.9739094E+01   -1.5781369E+01
 0.2900    1.9676249E+01    2.0794485E+01   -1.7818219E+01
